id,3351029@基礎聲音製作@2@1,3352008@數位整合媒體實務@2@1,3352024@傳播理論@2@1,3352039@經濟學與傳播@2@1,3351006@基礎寫作@1@2,3351015@文選@1@1,3351023@基礎影像製作@1@1,3351024@傳播概論@1@1,3352007@研究方法@1@1,3352033@傳播倫理@1@1,3351026@新聞採訪寫作@2@1,3351027@基礎資訊製作@2@2,3352021@傳播典範人物@2@1,3352025@當代社會問題分析@2@1
404736015,90,88,85,85,78,68,78,82,66,80,-1,-1,-1,-1
404736025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,80,NaN,NaN,NaN,NaN
