id,2201001@普通物理實驗（一）@1@2,2201011@普通物理（一）@1@1,2201002@普通物理實驗（二）@2@2,2201012@普通物理（二）@2@1,2201031@基礎物理數學@2@1,2201011@普通物理（一）@1@2,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2201012@普通物理（二）@2@2,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2203090@物理專題（一）@2@1,2201001@普通物理實驗（一）@1@10,2203006@近代物理實驗學@1@1,2203008@進階實驗技術@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2204091@物理專題（二）@1@1,2201011@普通物理（一）@2@1,2202060@近代物理@2@1,2203005@進階光學實驗學@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203071@應用電子學（一）@2@1,2204092@物理專題（三）@2@1,2201011@普通物理（一）@1@5,2204001@固態物理導論（一）@1@1,2204010@基本粒子物理導論@1@1,2201002@普通物理實驗（二）@2@10,2203007@計算物理導論@2@1,2204021@進階光學@2@1,2204040@原子分子物理導論@2@1,2203006@近代物理實驗學@2@1
401235036,76,74,89,60,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235037,95,87,84,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235038,86,44,72,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235039,79,80,88,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235040,73,73,77,77,78,NaN,NaN,NaN,77,72,60,60,NaN,NaN,95,NaN,63,69,79,NaN,NaN,NaN,NaN,69,79,NaN,NaN,NaN,NaN,60,60,NaN,NaN,NaN,NaN,75,NaN,95,87,NaN,NaN
401235041,87,74,81,60,NaN,NaN,73,78,NaN,63,70,60,NaN,NaN,NaN,78,72,68,75,NaN,NaN,60,NaN,69,60,NaN,NaN,NaN,76,60,65,65,NaN,NaN,60,75,NaN,NaN,74,NaN,NaN
401235042,64,43,68,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235043,67,77,62,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235045,56,73,72,68,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235047,82,72,84,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235048,84,60,89,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235051,94,73,90,71,NaN,NaN,76,80,NaN,70,72,71,NaN,NaN,NaN,92,71,63,73,NaN,NaN,76,NaN,64,87,NaN,NaN,NaN,76,67,60,80,NaN,NaN,52,75,NaN,NaN,93,70,NaN
401235052,80,84,61,82,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235054,68,66,60,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401235056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,NaN,NaN
