id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201888@學系服務學習@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1,2202060@近代物理@2@1,2201011@普通物理（一）@1@2,2201011@普通物理（一）@1@5,2201025@程式語言@1@1,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2204001@固態物理導論（一）@1@1,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2203005@進階光學實驗學@2@1,2203022@量子物理（二）@2@1,2203071@應用電子學（一）@2@1,2203090@物理專題（一）@2@1,2204021@進階光學@2@1,2204040@原子分子物理導論@2@1,2203006@近代物理實驗學@1@1,2203008@進階實驗技術@1@1,2204091@物理專題（二）@1@1,2201002@普通物理實驗（二）@2@10,2203006@近代物理實驗學@2@1,2203041@熱統計物理學@2@1,2204091@物理專題（二）@2@1,2204092@物理專題（三）@2@1
403220037,74,80,80,70,70,79,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,72,79,79,69,88,NaN,NaN,NaN,72,83,81,79,NaN,-1,-1,71,-1,NaN,80,NaN,85,NaN,NaN,-1,NaN,NaN
403220038,83,60,NaN,82,60,62,70,76,NaN,NaN,NaN,NaN,NaN,81,63,68,20,35,75,NaN,NaN,60,NaN,61,60,-1,NaN,NaN,-1,NaN,-1,NaN,73,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220040,89,85,NaN,77,80,76,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220041,87,70,80,51,70,65,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,63,66,67,73,84,NaN,NaN,NaN,64,82,78,73,NaN,-1,-1,NaN,NaN,NaN,75,NaN,NaN,-1,NaN,-1,NaN,NaN
403220042,91,65,NaN,83,60,49,70,NaN,NaN,NaN,NaN,NaN,NaN,87,28,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220043,92,80,80,87,75,97,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,90,89,94,90,85,NaN,NaN,NaN,70,98,96,92,-1,-1,-1,78,NaN,-1,NaN,NaN,82,NaN,NaN,-1,NaN,-1
403220044,82,70,NaN,87,60,60,70,65,NaN,NaN,NaN,NaN,NaN,69,60,47,32,NaN,60,NaN,NaN,79,NaN,60,75,-1,NaN,NaN,NaN,NaN,-1,NaN,76,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220045,60,70,80,91,80,68,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,62,73,60,78,69,NaN,NaN,NaN,74,83,67,74,NaN,-1,NaN,80,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,NaN
403220046,94,95,NaN,86,90,87,70,NaN,NaN,NaN,NaN,NaN,NaN,73,74,68,72,65,78,NaN,NaN,80,NaN,69,72,68,NaN,-1,NaN,80,NaN,NaN,76,NaN,85,NaN,NaN,-1,NaN,-1
403220047,85,85,80,88,80,85,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,88,99,69,82,87,NaN,NaN,NaN,84,96,92,82,-1,-1,NaN,84,NaN,-1,NaN,NaN,82,NaN,NaN,-1,NaN,-1
403220048,86,65,NaN,73,65,67,70,NaN,NaN,NaN,NaN,NaN,NaN,84,66,83,67,64,63,NaN,NaN,94,NaN,76,-1,-1,NaN,-1,-1,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220049,81,70,80,92,65,61,NaN,65,NaN,NaN,NaN,NaN,86,NaN,77,60,15,67,71,NaN,NaN,NaN,73,77,70,-1,NaN,-1,-1,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220050,94,70,NaN,89,65,61,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220052,85,80,NaN,75,85,60,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220053,64,49,80,80,63,46,NaN,-1,71,NaN,NaN,60,87,NaN,43,48,18,NaN,NaN,NaN,NaN,NaN,66,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220058,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,80,78,NaN,71,NaN,83,85,NaN,NaN,NaN,NaN,88,NaN,98,NaN,80,NaN,-1,-1,80,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403220057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,76,63,NaN,NaN,NaN,NaN,NaN,NaN,60,62,77,NaN,78,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
