id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3151888@學系服務學習@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3152508@生理學(一)@1@1,3153003@心理測驗學理論@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153902@變態心理學@1@1,3151910@心理學閱讀技巧@2@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3153103@認知心理學專題研究@2@1,3153302@青少年發展@2@1,3153312@兒童發展：推理與決策專題@2@1
404315042,69,62,74,87,NaN,NaN,67,76,65,NaN,80,-1,-1,80,75,73,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404315043,70,75,64,94,85,85,92,83,75,NaN,NaN,-1,87,82,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315044,74,71,70,92,NaN,NaN,77,82,81,NaN,80,-1,80,79,64,72,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315045,65,76,53,92,85,NaN,72,69,-1,NaN,NaN,-1,65,71,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
404315046,74,88,67,93,NaN,80,71,78,81,NaN,80,-1,70,88,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315048,78,66,72,83,NaN,NaN,85,93,60,NaN,80,-1,83,100,90,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
404315049,77,62,66,84,85,75,72,87,73,NaN,NaN,-1,63,71,64,28,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315050,73,77,73,90,NaN,77,70,90,74,NaN,80,-1,78,82,75,73,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315051,71,70,68,87,85,NaN,76,76,-1,NaN,NaN,-1,78,78,NaN,80,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
404315052,63,61,68,88,NaN,NaN,81,79,73,NaN,80,-1,67,74,78,76,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404315053,67,57,66,89,85,NaN,83,88,79,NaN,NaN,-1,69,80,NaN,68,NaN,NaN,NaN,NaN,67,-1,NaN,-1,-1,NaN,NaN,NaN
404315054,78,65,66,NaN,NaN,76,75,89,70,NaN,80,-1,-1,83,71,73,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315055,76,63,83,88,85,NaN,81,88,64,NaN,NaN,-1,78,97,81,92,NaN,NaN,NaN,NaN,80,-1,-1,-1,-1,NaN,NaN,-1
404315056,95,82,NaN,97,NaN,NaN,91,-1,-1,NaN,-1,-1,-1,80,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404315058,96,88,NaN,95,NaN,NaN,90,-1,-1,NaN,-1,-1,-1,92,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404315060,NaN,NaN,NaN,NaN,80,NaN,91,NaN,NaN,NaN,NaN,-1,-1,90,85,76,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315057,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,-1,-1,90,NaN,97,94,78,85,74,87,NaN,-1,-1,-1,-1,NaN,NaN
