id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3151888@學系服務學習@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3152508@生理學(一)@1@1,3153003@心理測驗學理論@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153902@變態心理學@1@1,3151910@心理學閱讀技巧@2@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3153103@認知心理學專題研究@2@1,3153302@青少年發展@2@1,3153312@兒童發展：推理與決策專題@2@1
404315001,72,66,74,93,85,NaN,74,85,67,70,NaN,-1,-1,81,76,80,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404315002,67,72,79,90,NaN,NaN,82,72,81,80,80,-1,-1,85,84,84,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404315003,70,71,68,90,85,92,71,82,69,NaN,NaN,-1,77,84,80,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315004,81,77,82,NaN,NaN,NaN,92,88,84,NaN,80,-1,-1,88,82,85,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404315005,74,68,76,90,85,76,95,100,91,NaN,NaN,-1,83,90,87,81,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315006,76,67,NaN,95,NaN,NaN,78,81,78,NaN,80,-1,-1,92,78,63,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315010,83,60,75,96,NaN,85,91,95,75,NaN,80,-1,90,90,88,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN
404315011,88,73,80,95,85,85,99,94,82,NaN,NaN,-1,-1,86,82,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
404315012,73,54,63,75,NaN,75,66,88,69,NaN,80,-1,71,71,NaN,70,NaN,NaN,NaN,NaN,69,NaN,NaN,-1,-1,NaN,NaN,NaN
404315013,66,26,NaN,74,85,77,71,74,-1,NaN,NaN,-1,-1,64,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404315014,78,82,75,93,NaN,NaN,75,84,89,NaN,80,-1,-1,75,65,60,NaN,NaN,NaN,NaN,69,NaN,-1,-1,-1,NaN,NaN,NaN
404315015,69,73,79,80,85,76,81,87,84,NaN,NaN,-1,75,93,90,86,NaN,NaN,NaN,NaN,89,NaN,-1,-1,-1,NaN,NaN,NaN
404315016,91,75,94,92,NaN,NaN,95,88,93,NaN,80,-1,75,89,87,87,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN
404315017,78,79,81,93,85,NaN,95,89,93,NaN,NaN,-1,80,94,87,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315018,84,78,69,94,NaN,81,94,85,86,NaN,80,-1,-1,91,85,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315019,76,68,71,NaN,85,NaN,78,86,71,NaN,NaN,-1,91,86,77,87,NaN,NaN,NaN,NaN,79,-1,-1,-1,-1,-1,NaN,NaN
404315020,61,62,60,92,NaN,NaN,82,76,63,NaN,80,-1,65,78,77,71,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315021,71,67,69,92,85,80,92,92,73,80,NaN,-1,-1,87,90,75,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315023,72,80,70,93,85,NaN,75,75,-1,NaN,NaN,-1,63,83,NaN,80,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
404315024,77,84,NaN,94,NaN,NaN,96,95,90,NaN,80,90,90,100,89,90,NaN,85,87,84,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315025,63,49,60,85,85,NaN,73,82,73,NaN,NaN,-1,73,88,76,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404315026,75,62,NaN,92,NaN,NaN,81,69,61,NaN,80,-1,69,88,81,81,NaN,NaN,NaN,NaN,77,NaN,-1,-1,-1,NaN,NaN,NaN
404315027,72,61,69,80,85,81,86,77,70,NaN,NaN,-1,79,81,86,76,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315028,61,60,60,75,NaN,NaN,65,72,-1,NaN,80,-1,65,77,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404315029,87,76,84,96,85,NaN,83,94,77,NaN,NaN,-1,NaN,85,77,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315031,72,75,78,98,85,80,81,90,93,NaN,NaN,87,87,83,84,80,NaN,NaN,NaN,NaN,69,NaN,-1,-1,-1,NaN,NaN,NaN
404315032,64,51,36,84,NaN,NaN,57,68,7,NaN,80,-1,-1,40,44,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404315034,82,73,75,91,NaN,NaN,89,89,77,NaN,80,-1,69,85,82,89,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404315035,69,72,81,94,85,NaN,99,83,85,NaN,NaN,-1,84,83,72,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1
404315036,81,83,NaN,NaN,NaN,NaN,100,86,87,NaN,80,-1,-1,100,70,72,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN
404315037,69,63,64,84,85,66,83,83,65,NaN,NaN,-1,79,81,71,69,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404315038,71,84,79,92,NaN,NaN,78,87,83,NaN,80,-1,86,88,85,89,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1
404315039,74,52,NaN,NaN,85,NaN,71,86,61,NaN,NaN,-1,-1,66,68,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
