id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151503@生理學（二）@2@1,3151505@解剖與生理學@2@1,3151888@學系服務學習@2@1,3152702@性格心理學@2@1,3151512@生理學實驗@1@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153311@情緒心理學@1@1,3153503@心理藥物學@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152506@生理心理學（二）@2@1,3153312@兒童發展：推理與決策專題@2@1,3153751@組織行為學@2@1,3153911@優雅的銀髮生活：多層次照護環境之營造@2@1,3153963@行為改變技術@2@1,3154502@睡眠管理@2@1,3153003@心理測驗學理論@1@1,3153005@情緒與認知@1@1,3153031@高齡學：多元面向探討@1@1,3153103@認知心理學專題研究@1@1,3153008@神經行銷學專題@2@1,3153105@認知心理學專題研究（二）@2@1,3153302@青少年發展@2@1,3153311@情緒心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3152508@生理學(一)@1@1,3153104@設計心理學@1@1,3153261@語言心理學@1@1,3153704@人類關係導論@1@1,3153907@臨床心理學見習@1@1,3153965@諮商理論@1@1,3154918@領導心理學@1@1,3153104@設計心理學@2@1,3153966@諮商技術@2@1,3154903@心理學史@2@1
402315037,75,91,76,91,90,NaN,71,80,82,NaN,NaN,NaN,77,NaN,85,76,70,70,89,NaN,NaN,NaN,80,67,77,85,73,NaN,NaN,NaN,NaN,73,72,NaN,70,NaN,NaN,NaN,NaN,73,NaN,62,NaN,90,90,NaN,NaN,80,NaN,NaN,NaN,NaN
402315038,79,91,71,85,NaN,NaN,94,77,83,80,NaN,100,96,81,83,73,70,88,88,75,NaN,NaN,91,NaN,69,74,66,87,83,NaN,78,81,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
402315039,76,86,79,91,90,NaN,75,74,83,76,NaN,NaN,85,NaN,82,81,72,83,91,82,NaN,NaN,88,62,60,90,67,NaN,NaN,NaN,NaN,NaN,79,NaN,84,NaN,NaN,NaN,86,NaN,91,78,NaN,NaN,NaN,92,95,88,NaN,NaN,-1,NaN
402315040,82,88,72,91,NaN,84,88,80,96,NaN,NaN,100,92,NaN,81,89,88,89,85,80,NaN,NaN,91,88,85,89,78,NaN,NaN,NaN,NaN,NaN,81,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315041,82,91,71,92,90,97,79,87,86,72,NaN,NaN,75,NaN,89,75,78,79,89,NaN,NaN,NaN,84,74,79,88,77,NaN,NaN,NaN,NaN,77,75,NaN,NaN,NaN,NaN,NaN,83,81,81,68,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315042,70,80,68,89,NaN,NaN,89,76,100,NaN,NaN,100,83,NaN,82,83,66,87,92,NaN,NaN,89,90,NaN,67,82,75,NaN,NaN,NaN,NaN,NaN,79,NaN,87,87,NaN,87,NaN,96,92,NaN,NaN,NaN,96,NaN,NaN,81,NaN,NaN,NaN,NaN
402315043,68,75,66,86,90,89,72,63,62,NaN,NaN,NaN,70,NaN,77,74,77,70,88,NaN,NaN,NaN,76,33,62,73,69,NaN,77,NaN,NaN,NaN,63,NaN,NaN,NaN,82,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN
402315044,67,84,60,92,NaN,NaN,77,74,77,NaN,NaN,100,63,NaN,80,70,62,67,89,68,76,NaN,86,54,64,80,72,NaN,NaN,NaN,NaN,76,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,70,NaN,NaN,84,NaN,85,80,NaN,NaN,-1,NaN
402315045,92,90,85,95,90,NaN,77,85,82,80,NaN,NaN,69,48,87,89,75,88,89,80,NaN,NaN,85,60,73,74,66,87,-1,NaN,NaN,68,77,91,NaN,NaN,NaN,NaN,91,NaN,88,67,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,-1
402315046,72,78,70,NaN,NaN,NaN,70,70,68,73,NaN,100,66,NaN,76,81,65,69,89,NaN,NaN,NaN,86,41,60,81,67,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,64,NaN,95,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN
