id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3101035@社會工作概論@1@1,3101053@健康保險概論@1@1,3101888@學系服務學習@1@1,3102141@社會團體工作導論@1@1,3101013@人口學@2@1,3101022@社會學（二）@2@1,3101024@經濟學（二）@2@1,3101034@社會福利概論（二）@2@1,3101051@社會心理學@2@1,3101888@學系服務學習@2@1,3102152@社會工作管理@2@1,3102156@障礙研究：理論與議題@2@1,3102016@社會問題@1@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102143@人類行為與社會環境@1@1,3102157@高齡社會：機會與挑戰@1@1,3102158@社會福利區位分析@1@1,3103069@方案設計與評估@1@1,3103092@社會福利服務@1@1,3101054@心理學@2@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102135@法學緒論@2@1,3102145@社區工作@2@1,3102159@貧窮與福祉@2@1,3102160@公益創投與社會企業@2@1,3103035@社會福利行政@2@1,3103042@社會不均@2@1,3103066@家庭政策@2@1,3101054@心理學@1@1,3102010@人類行為與社會環境@1@1,3102161@兒童褔利服務@1@1,3102162@社會團體工作@1@1,3103014@社會研究法（一）@1@1,3103016@社會福利財政@1@1,3103075@社會福利區位分析@1@1,3103093@社會保險財務@1@1,3104055@健康與現代社會@1@1,3104902@社會政策與社會立法@1@1,3102012@社會福利經濟分析@2@1,3103018@社會研究法（二）@2@1,3103031@社會福利資料分析@2@1,3103077@社會福利實習（一）：A組@2@1,3103078@社會福利實習（一）：B組@2@1,3103079@社會福利實習（一）：C組@2@1,3104058@福利國家發展@2@1,3102135@法學緒論@1@1,3103094@長期照護服務的需求與供給@1@1,3104051@社會福利實習（二）：A組@1@1,3104052@社會福利實習（二）：B組@1@1,3104053@社會福利實習（二）：C組@1@1,3102163@行政法@2@1,3102164@精神與智能障礙者的社區照顧@2@1,3103096@倡議, 社會運動與社會政策@2@1,3102145@社區工作@1@1
401310001,75,77,63,70,NaN,85,78,NaN,73,86,72,75,NaN,84,NaN,72,70,74,NaN,77,NaN,83,NaN,80,79,72,84,85,86,NaN,75,79,82,NaN,NaN,85,NaN,NaN,85,75,NaN,NaN,NaN,71,NaN,83,NaN,83,NaN,NaN,86,NaN,NaN,NaN,NaN,90,86,NaN,NaN,NaN
401310002,81,63,80,79,81,NaN,80,NaN,84,81,79,77,80,84,NaN,66,83,83,NaN,NaN,NaN,95,NaN,NaN,76,84,88,75,93,86,NaN,87,89,NaN,94,89,NaN,NaN,89,77,92,NaN,NaN,87,NaN,90,NaN,88,NaN,NaN,87,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
401310003,77,66,71,76,82,85,87,NaN,81,69,80,90,NaN,90,NaN,72,82,81,83,85,NaN,88,NaN,NaN,63,81,93,83,82,NaN,NaN,95,92,NaN,92,NaN,NaN,NaN,86,95,NaN,94,NaN,92,NaN,88,NaN,NaN,NaN,95,85,NaN,NaN,NaN,85,NaN,NaN,79,NaN,NaN
401310004,90,72,80,82,NaN,NaN,81,NaN,83,75,73,83,88,86,84,75,75,84,NaN,82,NaN,87,NaN,NaN,65,85,NaN,87,NaN,NaN,NaN,77,87,NaN,92,NaN,NaN,NaN,88,85,NaN,92,NaN,80,80,87,89,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN
401310006,89,84,81,85,NaN,NaN,87,85,90,86,79,90,80,80,84,84,86,84,83,NaN,NaN,90,NaN,NaN,74,82,85,88,94,89,95,91,92,NaN,NaN,NaN,NaN,NaN,91,86,91,NaN,NaN,90,NaN,97,NaN,86,NaN,NaN,89,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
401310007,83,60,76,77,NaN,85,80,NaN,87,88,84,82,NaN,88,84,75,75,84,NaN,85,NaN,87,NaN,94,79,83,86,75,94,NaN,94,83,90,NaN,NaN,85,NaN,NaN,88,76,85,NaN,NaN,92,NaN,86,NaN,NaN,93,NaN,85,NaN,NaN,NaN,88,NaN,74,NaN,NaN,NaN
401310008,75,79,68,77,NaN,NaN,77,79,81,74,68,87,80,75,NaN,80,85,77,NaN,83,NaN,81,NaN,NaN,76,74,85,76,NaN,NaN,95,84,79,NaN,86,87,86,NaN,78,80,NaN,NaN,NaN,82,83,86,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401310009,74,80,72,78,NaN,85,70,82,77,77,75,82,NaN,84,NaN,67,68,76,NaN,76,NaN,74,NaN,NaN,78,78,88,86,84,NaN,93,82,87,NaN,90,87,84,NaN,81,72,NaN,NaN,NaN,74,NaN,80,NaN,NaN,89,NaN,85,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN
401310010,79,64,60,82,NaN,NaN,81,85,75,80,63,71,80,77,NaN,73,91,79,NaN,84,NaN,86,NaN,87,83,76,86,78,86,NaN,82,83,82,NaN,NaN,89,NaN,NaN,89,86,NaN,NaN,NaN,72,NaN,88,NaN,86,NaN,NaN,88,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
401310011,86,71,81,77,NaN,85,74,60,75,71,80,78,NaN,77,NaN,80,66,83,81,NaN,NaN,90,NaN,81,61,79,82,74,83,NaN,NaN,76,85,NaN,NaN,NaN,NaN,NaN,88,61,NaN,NaN,NaN,81,NaN,89,NaN,NaN,NaN,85,84,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
