id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3101035@社會工作概論@1@1,3101888@學系服務學習@1@1,3103069@方案設計與評估@1@1,3101022@社會學（二）@2@1,3101024@經濟學（二）@2@1,3101034@社會福利概論（二）@2@1,3101051@社會心理學@2@1,3101054@心理學@2@1,3101888@學系服務學習@2@1,3102152@社會工作管理@2@1,3102160@公益創投與社會企業@2@1,3101054@心理學@1@1,3102010@人類行為與社會環境@1@1,3102016@社會問題@1@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102157@高齡社會：機會與挑戰@1@1,3102161@兒童褔利服務@1@1,3102162@社會團體工作@1@1,3103014@社會研究法（一）@1@1,3103075@社會福利區位分析@1@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102135@法學緒論@2@1,3102145@社區工作@2@1,3103031@社會福利資料分析@2@1,3103035@社會福利行政@2@1,3104058@福利國家發展@2@1,3103016@社會福利財政@1@1,3103094@長期照護服務的需求與供給@1@1,3104902@社會政策與社會立法@1@1,3101013@人口學@2@1,3102016@社會問題@2@1,3102163@行政法@2@1,3102164@精神與智能障礙者的社區照顧@2@1,3103018@社會研究法（二）@2@1,3103042@社會不均@2@1,3103078@社會福利實習（一）：B組@2@1,3103079@社會福利實習（一）：C組@2@1,3103096@倡議, 社會運動與社會政策@2@1,3102145@社區工作@1@1,3103077@社會福利實習（一）：A組@1@1,3103097@非營利組織管理@1@1,3101035@社會工作概論@2@1,3103066@家庭政策@2@1,3103075@社會福利區位分析@2@1,3103093@社會保險財務@2@1
402310001,75,79,68,83,80,82,89,68,72,66,NaN,NaN,77,NaN,79,83,84,65,80,NaN,NaN,83,79,89,81,77,88,82,NaN,88,90,-1,86,NaN,86,NaN,NaN,NaN,NaN,77,87,NaN,NaN,NaN,91,87,NaN,NaN,-1,NaN,NaN
402310002,77,66,71,69,NaN,81,81,68,68,NaN,NaN,86,60,NaN,71,88,87,75,78,74,NaN,71,81,NaN,67,77,78,78,NaN,88,73,-1,79,NaN,82,NaN,NaN,NaN,NaN,77,87,NaN,NaN,90,90,NaN,NaN,NaN,NaN,-1,NaN
402310003,71,64,66,64,80,78,79,64,63,76,NaN,NaN,66,NaN,60,71,78,77,61,60,NaN,68,76,NaN,60,69,76,78,NaN,87,65,-1,75,NaN,84,NaN,NaN,65,NaN,81,87,NaN,NaN,88,84,NaN,NaN,NaN,-1,NaN,NaN
402310004,81,70,81,78,NaN,82,78,72,87,68,NaN,86,72,NaN,88,81,84,60,76,67,NaN,81,71,NaN,60,85,NaN,81,NaN,NaN,96,86,77,NaN,69,NaN,NaN,NaN,81,89,80,NaN,NaN,NaN,91,NaN,85,NaN,NaN,NaN,NaN
402310006,73,68,69,67,NaN,81,63,88,60,NaN,NaN,86,-1,NaN,60,69,72,51,70,60,NaN,77,64,76,60,60,74,69,NaN,NaN,68,86,74,NaN,80,NaN,NaN,NaN,NaN,71,74,NaN,NaN,NaN,79,87,NaN,NaN,NaN,NaN,NaN
402310007,83,81,82,84,80,84,90,79,73,83,NaN,NaN,80,NaN,89,65,87,85,77,NaN,NaN,84,80,93,60,75,65,72,NaN,87,94,84,93,85,89,NaN,NaN,NaN,NaN,89,86,NaN,85,NaN,87,NaN,NaN,NaN,-1,NaN,NaN
402310008,81,84,69,82,NaN,83,88,66,76,88,NaN,86,79,NaN,91,88,86,62,80,75,NaN,81,81,78,71,82,89,83,NaN,87,96,-1,81,89,86,NaN,NaN,66,76,83,85,NaN,NaN,NaN,89,87,NaN,NaN,NaN,NaN,NaN
402310009,80,64,79,75,80,83,83,77,76,78,NaN,NaN,69,82,80,78,80,66,79,78,NaN,80,80,87,72,86,81,81,NaN,NaN,91,85,85,NaN,80,NaN,NaN,NaN,NaN,81,84,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310010,73,69,78,77,NaN,87,88,66,78,68,NaN,86,NaN,NaN,71,79,69,76,79,72,NaN,74,70,NaN,69,77,73,79,NaN,NaN,64,-1,77,NaN,80,NaN,NaN,60,NaN,79,79,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,-1,NaN
402310011,81,75,70,74,80,84,91,89,71,75,NaN,NaN,79,NaN,86,89,80,72,79,78,NaN,88,79,85,77,82,86,85,NaN,NaN,90,80,89,NaN,79,NaN,NaN,NaN,NaN,86,82,84,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
