id,4251010@化學工程概論@1@1,4252300@數值計算方法@1@1,4252700@生物學@1@1,4252800@材料科學@1@1,4251020@化工質能均衡@2@1,4252400@單元操作與輸送現象（一）@2@1,4253970@特用化學品@2@1
404125014,82,NaN,NaN,NaN,NaN,NaN,NaN
404125041,78,64,66,66,-1,-1,-1
