id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4251910@計算機概論@2@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252700@生物學@1@1,4252710@生物化學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252810@無機材料物性@2@1,4252920@應用統計學@2@1,4253700@生物技術概論@2@1,4253720@生醫材料@2@1,4253400@單元操作與輸送現象（二）@1@1,4253410@化工熱力學@1@1,4253500@儀器分析@1@1,4253910@高分子概論@1@1,4253001@化工專題研究（一）@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@1,4253402@化學工程實驗（一）@2@2,4253403@單元操作與輸送現象（三）@2@1,4253501@儀器分析實驗@2@1,4253501@儀器分析實驗@2@2,4253730@分離程序@2@1,4253911@高分子加工概論@2@1,4253940@觸媒化學概論@2@1,4254410@化工反應工程@2@1,4253800@組織工程概論@1@1,4254001@化工專題研究（二）@1@1,4254100@程序設計@1@1,4254100@程序設計@1@2,4254402@化學工程實驗（二）@1@1,4254402@化學工程實驗（二）@1@2,4253910@高分子概論@2@1,4254200@化工學士畢業專題@2@1,4254500@組織工程實驗@2@1,4254970@專題討論與文獻選讀@2@1
402425045,69,80,68,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402425046,76,NaN,70,81,NaN,76,68,78,NaN,NaN,75,NaN,68,70,90,69,-1,NaN,82,80,61,67,88,68,NaN,88,96,87,NaN,84,85,82,72,NaN,NaN,NaN,74,NaN,88,NaN,NaN,NaN,-1
402425047,73,80,91,NaN,NaN,93,91,89,NaN,NaN,93,88,99,96,97,95,NaN,NaN,96,92,96,95,88,87,88,NaN,97,NaN,91,NaN,95,-1,99,NaN,88,82,NaN,87,NaN,NaN,-1,NaN,-1
402425048,77,NaN,87,89,92,70,70,NaN,68,NaN,88,74,74,86,75,NaN,NaN,NaN,81,82,76,86,88,77,NaN,89,77,88,NaN,NaN,84,NaN,75,77,88,NaN,76,NaN,86,NaN,-1,NaN,-1
402425049,78,77,60,NaN,NaN,61,61,75,68,NaN,70,77,61,62,NaN,66,NaN,NaN,83,83,81,76,NaN,79,86,NaN,69,NaN,82,NaN,81,NaN,60,NaN,NaN,80,NaN,81,NaN,NaN,NaN,NaN,-1
402425050,76,NaN,80,87,80,69,84,NaN,NaN,NaN,86,81,86,90,NaN,NaN,79,73,85,87,88,81,88,78,NaN,89,92,91,NaN,NaN,NaN,NaN,98,NaN,86,NaN,67,NaN,86,NaN,-1,NaN,-1
402425051,78,77,74,NaN,64,61,69,NaN,90,83,64,79,-1,66,NaN,74,NaN,NaN,62,74,76,NaN,NaN,62,86,NaN,62,NaN,86,NaN,70,NaN,57,NaN,NaN,81,NaN,80,NaN,-1,NaN,NaN,-1
402425052,80,NaN,69,86,NaN,75,64,64,64,NaN,72,74,60,62,NaN,66,-1,NaN,66,78,75,60,NaN,60,NaN,82,65,81,NaN,-1,83,85,60,NaN,NaN,NaN,67,NaN,83,NaN,NaN,NaN,-1
402425053,77,74,61,NaN,69,50,53,68,NaN,75,77,71,60,60,NaN,-1,83,67,60,75,62,NaN,NaN,60,79,NaN,67,NaN,81,NaN,60,-1,-1,NaN,NaN,79,NaN,76,NaN,-1,NaN,NaN,-1
402425054,80,80,60,NaN,NaN,60,64,62,NaN,75,68,75,-1,65,NaN,NaN,-1,NaN,60,69,76,63,NaN,60,NaN,82,73,82,NaN,NaN,60,68,60,NaN,NaN,NaN,68,NaN,82,NaN,NaN,NaN,-1
402425055,NaN,79,NaN,NaN,NaN,NaN,64,NaN,68,NaN,88,74,NaN,NaN,NaN,NaN,-1,NaN,NaN,63,60,60,NaN,68,85,NaN,67,NaN,82,NaN,60,81,-1,NaN,NaN,79,NaN,84,NaN,NaN,NaN,NaN,-1
