id,1255112@哲學基本問題討論（三）@1@1,1255403@進階邏輯@1@1,1256303@女性主義知識論與科學哲學@1@1,1257105@法律哲學@1@1,1257231@心靈哲學專題：人格同一@1@1,1257235@心靈哲學專題：感官經驗@1@1,1257240@自我表徵理論@1@1,1257423@數理邏輯@1@1,1255113@哲學基本問題討論（四）@2@1,1256154@莊子哲學@2@1,1256313@真理規範性與知識行動@2@1,1257127@康德《純粹理性批判》@2@1,1257232@心靈哲學專題：現象意識@2@1,1257536@道德哲學專題：規範性@2@1,1257538@道德心理學專題@2@1,1255110@哲學基本問題討論（一）@1@1,1255113@哲學基本問題討論（四）@1@1,1255202@認知科學導論@1@1,1256208@分析性與先驗性：「經驗論的兩個獨斷」一甲子後@1@1,1256223@意識哲學：高階思想理論@1@1,1256411@知識邏輯@1@1,1257316@科學史與科學哲學@1@1,1257410@不完備性@1@1,1257507@政治哲學專題：自由主義@1@1,1255111@哲學基本問題討論（二）@2@1,1257134@布倫塔諾@2@1,1257265@形上學專題：可能性與必然性@2@1,1257352@科學與政治：波以爾與霍布士@2@1,1257537@規範倫理學@2@1,1257552@倫理學專題：自主性、身份認同與自我@2@1,1256404@模態邏輯@1@1,1257236@心靈哲學專題：意識與感質@1@1,1257535@道德哲學專題：價值論@1@1,1256228@宗教哲學@2@1,1257273@思想實驗與知態直覺@2@1,1257346@生物學哲學專題：物種問題@2@1,1257556@倫理學專題：社會事實與結構@2@1,1258103@形上學專題：因果@2@1,1257504@政治哲學專題：平等@1@1,1257570@女性主義專題@1@1,1258255@知態直覺的系譜@1@1
600125003,88,90,90,NaN,NaN,NaN,80,NaN,88,94,NaN,NaN,NaN,NaN,87,95,NaN,70,NaN,NaN,NaN,80,NaN,NaN,82,NaN,NaN,84,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600125005,87,70,NaN,NaN,81,NaN,NaN,NaN,88,NaN,NaN,80,NaN,60,NaN,95,NaN,NaN,NaN,NaN,NaN,65,NaN,80,95,75,NaN,60,NaN,NaN,NaN,43,NaN,86,NaN,77,82,NaN,NaN,75,NaN
600125006,87,80,NaN,NaN,88,NaN,NaN,NaN,90,NaN,NaN,90,NaN,86,NaN,95,NaN,NaN,NaN,NaN,NaN,88,NaN,85,92,NaN,NaN,NaN,86,88,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600125007,87,82,NaN,88,NaN,NaN,80,NaN,90,91,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,90,NaN,85,90,NaN,NaN,88,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600125008,87,10,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600125009,87,90,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,88,70,NaN,NaN,80,NaN,NaN,NaN,85,NaN,NaN,84,76,88,84,79,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN
600125010,NaN,NaN,NaN,60,NaN,62,NaN,NaN,NaN,NaN,28,NaN,NaN,50,NaN,NaN,NaN,12,80,82,NaN,NaN,84,NaN,NaN,NaN,70,NaN,50,70,61,NaN,60,NaN,70,NaN,NaN,80,NaN,NaN,75
600125004,85,80,NaN,NaN,NaN,NaN,NaN,NaN,88,80,NaN,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,85,65,NaN,NaN,60,74,NaN,NaN,75,NaN,NaN,18,70,NaN,75,70,NaN
600125011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,80,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
