id,4205766@工具機控制器設計與分析@2@1,4205769@影像分析與應用@2@1,4205958@專題研討@2@1,4205960@微機電系統@2@1,4206701@數位控制系統設計@2@1,4206757@變異數分析與田口法@2@1,4205001@工程分析（一）@1@1,4205004@有限元素分析@1@1,4205005@線性系統@1@1,4205007@彈性力學@1@1,4205101@機構設計@1@1,4205106@齒輪原理@1@1,4205251@電腦控制製造系統@1@1,4205302@聲學@1@1,4205362@半導體元件及物理@1@1,4205451@材料機械性質@1@1,4205502@中等熱力學@1@1,4205510@進階流體力學@1@1,4205512@奈微米流體工程@1@1,4205563@氫能與燃料電池@1@1,4205602@磨潤學（一）@1@1,4205704@數位訊號處理@1@1,4205710@機器學習@1@1,4205712@界面物理與薄膜製程@1@1,4205763@工具機系統設計分析@1@1,4205769@影像分析與應用@1@1,4205803@機器人學@1@1,4205904@專題研討@1@1,4206154@精密機械設計@1@1,4206301@結構動力學@1@1,4205054@高等電腦輔助工程分析方法@2@1,4205109@高等電腦輔助幾何設計@2@1,4205151@高等機構設計@2@1,4205154@高等齒輪原理@2@1,4205160@高等逆向工程原理與實務@2@1,4205161@高等機器人學@2@1,4205356@高等聲學@2@1,4205363@工程塑性力學@2@1,4205401@銲接工程概論@2@1,4205601@中等流體力學@2@1,4205653@磨潤學（二）@2@1,4205711@電動車動力與控制@2@1,4205765@軟性電子印刷製程@2@1,4206356@疲勞分析與設計@2@1,4206502@中等熱傳學（一）@2@1,4206706@控制電子@2@1,4206754@邏輯系統設計@2@1,4206952@特論（二）：旋轉機械動力學@2@1,4206954@精密量測@2@1,4205110@微致動器@1@1,4205557@內燃機設計@1@1,4205562@奈微米流體科技特論-微操控技術@1@1,4205766@工具機控制器設計與分析@1@1,4205162@工具機PC NC架構之CNC人機介面設計與應用@2@1,4205756@振動控制@2@1,4205713@電動機驅動與控制@1@1,4205771@工具機結構分析與控制@2@1
602420014,93,NaN,95,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,96,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420022,NaN,84,81,80,NaN,91,NaN,92,NaN,87,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420008,NaN,NaN,99,NaN,NaN,NaN,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,78,NaN,92,NaN,NaN,NaN,NaN,NaN,79,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420013,NaN,NaN,96,NaN,77,NaN,77,82,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,87,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420019,NaN,NaN,87,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,83,72,91,80,NaN,NaN,93,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420029,NaN,NaN,96,NaN,64,NaN,57,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,87,NaN,89,92,88,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420031,NaN,NaN,87,NaN,NaN,NaN,74,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,93,79,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420039,NaN,NaN,89,NaN,NaN,NaN,64,NaN,NaN,NaN,79,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,90,NaN,NaN,NaN,NaN,83,95,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420041,NaN,NaN,88,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,87,NaN,93,NaN,NaN,NaN,95,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420082,NaN,NaN,77,NaN,NaN,NaN,86,85,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,83,95,NaN,NaN,NaN,NaN,70,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
