id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152014@FPGA數位設計實驗@1@2,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4153909@半導體物理導論@1@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153901@計算機組織@2@1,4152015@工數（三）︰複變@1@1,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153204@微處理機@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153255@演算法導論@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4152201@資料結構@2@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153017@電磁工程實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153244@工程倫理@2@1,4153251@通訊系統專題（一）@2@1,4153252@電磁積體電路專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153901@計算機組織@2@2,4153906@數位通訊導論@2@1,4153914@機器視覺@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4154102@電力與能源設備檢驗實務@2@1,4153304@電磁積體電路專題（二）@1@1,4153919@影像處理導論@1@1,4154035@數位訊號處理專題（二）@1@1,4154036@超大型積體電路專題（二）@1@1,4154038@網路技術與應用專題（二）@1@1,4154039@通訊系統專題（二）@1@1,4154040@綠色能源專題（二）@1@1,4154041@能源與電力系統專題(二)@1@1,4153250@類比積體電路設計導論@1@1
401415064,NaN,60,NaN,NaN,NaN,66,79,NaN,NaN,68,NaN,NaN,NaN,86,86,90,NaN,73,60,75,NaN,96,NaN,NaN,95,64,63,NaN,64,NaN,69,NaN,60,NaN,73,NaN,92,71,67,NaN,83,47,NaN,NaN,NaN,79,84,NaN,75,80,80,84,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,85,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN
401415065,NaN,63,NaN,90,49,66,NaN,78,NaN,67,NaN,NaN,NaN,67,63,NaN,NaN,80,60,67,NaN,80,NaN,NaN,79,1,63,62,35,NaN,65,NaN,60,67,NaN,NaN,75,61,67,NaN,67,61,NaN,NaN,68,NaN,61,NaN,60,43,NaN,62,85,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,60,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415067,69,49,85,NaN,NaN,80,NaN,80,NaN,77,NaN,NaN,73,NaN,84,NaN,NaN,80,61,60,NaN,75,NaN,85,NaN,71,70,38,60,NaN,71,NaN,78,87,NaN,NaN,73,NaN,73,NaN,63,67,NaN,NaN,NaN,NaN,NaN,84,68,76,NaN,73,87,NaN,NaN,72,74,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401415069,NaN,60,NaN,90,NaN,NaN,66,NaN,41,NaN,NaN,72,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415070,NaN,91,NaN,NaN,NaN,88,NaN,84,82,NaN,60,NaN,NaN,NaN,87,90,NaN,84,66,88,NaN,89,NaN,82,NaN,81,73,73,NaN,NaN,99,NaN,81,NaN,99,90,NaN,NaN,90,87,NaN,94,97,NaN,95,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,86,NaN,78,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,89,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
401415073,NaN,78,NaN,90,55,34,62,NaN,NaN,NaN,76,NaN,NaN,NaN,35,NaN,NaN,NaN,20,18,NaN,NaN,73,NaN,89,NaN,60,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415075,NaN,96,85,NaN,NaN,93,83,NaN,89,NaN,NaN,86,NaN,NaN,95,NaN,NaN,79,79,92,NaN,98,NaN,92,NaN,89,88,90,NaN,NaN,85,NaN,81,NaN,92,92,NaN,NaN,73,72,NaN,96,87,NaN,89,88,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,94,NaN,NaN,87,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,90,NaN,89,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
401415077,NaN,74,NaN,90,NaN,62,83,NaN,60,NaN,NaN,83,NaN,NaN,75,NaN,NaN,81,60,62,NaN,80,NaN,NaN,92,62,70,68,55,NaN,73,64,50,89,NaN,83,NaN,NaN,60,NaN,62,64,60,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,80,88,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,82,62,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN
401415078,80,56,NaN,NaN,NaN,62,68,NaN,29,60,NaN,60,NaN,NaN,68,90,NaN,83,35,61,NaN,NaN,78,NaN,60,NaN,60,67,NaN,NaN,67,39,NaN,75,NaN,75,NaN,60,60,63,53,NaN,NaN,NaN,61,NaN,49,NaN,60,44,NaN,NaN,84,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN
401415080,NaN,67,NaN,NaN,NaN,83,79,NaN,62,39,NaN,NaN,71,NaN,70,90,NaN,69,67,54,85,NaN,79,NaN,60,58,81,70,NaN,NaN,95,NaN,85,NaN,83,NaN,84,62,91,NaN,98,84,94,NaN,93,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,74,78,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,86,94,NaN,NaN,NaN,NaN,84,NaN,73,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415081,NaN,65,85,NaN,NaN,91,74,NaN,81,NaN,NaN,77,NaN,NaN,80,NaN,NaN,77,64,73,NaN,84,NaN,NaN,92,84,73,60,NaN,NaN,99,74,NaN,NaN,100,80,NaN,NaN,79,NaN,87,90,90,NaN,91,NaN,70,83,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
401415084,NaN,69,NaN,NaN,NaN,62,NaN,79,NaN,74,NaN,NaN,NaN,88,74,NaN,80,79,73,87,NaN,NaN,91,NaN,90,65,68,63,NaN,NaN,97,NaN,74,NaN,90,78,NaN,64,93,NaN,73,73,90,NaN,78,NaN,NaN,85,NaN,67,NaN,NaN,NaN,NaN,83,64,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,64,90,NaN,NaN,NaN,NaN,85,NaN,74,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415086,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,61,NaN,83,90,NaN,NaN,88,64,75,64,NaN,NaN,79,NaN,65,NaN,94,94,NaN,NaN,75,NaN,85,NaN,72,84,76,NaN,NaN,NaN,67,84,68,NaN,NaN,NaN,NaN,76,NaN,NaN,93,NaN,NaN,90,NaN,NaN,70,NaN,71,68,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
401415088,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,69,NaN,NaN,66,87,NaN,NaN,92,43,NaN,69,NaN,NaN,60,NaN,40,NaN,71,61,NaN,NaN,60,61,46,NaN,NaN,73,56,NaN,NaN,84,48,60,NaN,71,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,93,NaN,78,NaN,-1,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,64,-1,NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77
401415087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,86,65,87,NaN,90,60,NaN,70,91,NaN,NaN,87,66,45,NaN,71,NaN,NaN,NaN,81,96,NaN,NaN,89,NaN,60,67,NaN,NaN,NaN,NaN,NaN,70,NaN,88,NaN,67,NaN,NaN,NaN,NaN,NaN,91,99,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,81,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401415085,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,93,NaN,NaN,93,98,NaN,NaN,90,88,NaN,74,NaN,93,100,NaN,90,NaN,100,92,NaN,NaN,78,NaN,NaN,NaN,NaN,87,90,NaN,NaN,87,82,NaN,NaN,90,NaN,NaN,NaN,NaN,92,NaN,NaN,88,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
401415029,44,NaN,88,NaN,71,NaN,70,NaN,NaN,60,NaN,79,NaN,NaN,78,NaN,NaN,84,60,48,84,NaN,73,NaN,72,72,63,NaN,NaN,NaN,73,NaN,50,81,NaN,NaN,73,-1,56,NaN,60,NaN,NaN,NaN,65,NaN,NaN,NaN,64,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
