id,6201021@民法總則（一）@1@1,6201031@刑法總則（一）@1@1,6201041@憲法（一）@1@1,6201888@學系服務學習@1@1,6203063@勞動法總論@1@1,6201022@民法總則（二）@2@1,6201032@刑法總則（二）@2@1,6201042@憲法（二）@2@1,6201888@學系服務學習@2@1,6203043@警察法@2@1,6202017@民法債編總論（一）@1@1,6202023@民法物權（一）@1@1,6202025@民法親屬@1@1,6202031@刑法分則（一）@1@1,6202043@行政法總論（一）@1@1,6203020@公司法@1@1,6203041@地方自治法@1@1,6204060@國際海洋法@1@1,6202019@民法債編總論（二）@2@1,6202024@民法物權（二）@2@1,6202026@民法繼承@2@1,6202032@刑法分則（二）@2@1,6202044@行政法總論（二）@2@1,6203023@保險法@2@1,6203064@勞動法各論@2@1,6203075@證券交易法@2@1,6202037@立法技術與程序@1@1,6203022@票據法@1@1,6203025@民法債編各論（一）@1@1,6203033@刑事訴訟法（一）@1@1,6203035@民事訴訟法（一）@1@1,6203047@環境法@1@1,6203048@行政程序法@1@1,6203061@社會法總論@1@1,6204012@國際私法@1@1,6204034@刑事法實例演習（一）@1@1,6203024@海商法@2@1,6203026@民法債編各論（二）@2@1,6203034@刑事訴訟法（二）@2@1,6203036@民事訴訟法（二）@2@1,6203044@經濟行政法@2@1,6203045@教育法@2@1,6203062@社會法各論@2@1,6204035@刑事法實例演習 (二)@2@1,6204052@法律服務（二）@2@1,6202039@行政法實例演習（一）@1@1,6203042@憲法實例演習（一）@1@1,6204001@訴願及行政訴訟法（一）@1@1,6204026@勞動法實例演習 (四)@1@1,6204051@法律服務（一）@1@1,6202036@憲法訴訟@2@1,6203046@傳播法@2@1,6203047@環境法@2@1,6204002@訴願及行政訴訟法（二）@2@1
401620025,84,71,77,89,83,84,80,63,NaN,88,86,81,82,81,83,76,75,NaN,81,99,79,90,93,96,79,84,NaN,92,71,78,79,87,75,87,90,90,88,82,85,87,74,97,77,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,84,NaN,98
401620026,89,72,63,NaN,80,81,NaN,64,90,80,83,67,66,76,69,61,86,91,75,74,75,87,77,NaN,76,77,61,68,75,NaN,63,88,65,84,96,NaN,82,71,NaN,86,77,90,71,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,67,NaN,88
401620027,77,64,70,87,81,84,73,64,NaN,80,84,84,78,75,78,73,84,NaN,80,82,86,77,76,82,71,80,NaN,84,70,73,74,83,73,80,87,NaN,80,73,75,77,74,87,77,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,89
401620028,67,52,60,NaN,70,85,NaN,-1,90,71,84,81,60,73,81,76,80,92,83,81,69,82,78,82,69,73,NaN,70,71,NaN,68,83,NaN,88,63,81,80,68,NaN,76,73,83,69,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,-1
401620029,73,66,71,87,83,77,74,67,NaN,80,86,74,80,72,80,79,82,NaN,84,88,76,81,76,72,87,78,80,86,78,70,71,NaN,72,78,82,78,79,78,79,79,NaN,84,83,NaN,91,NaN,85,81,NaN,NaN,NaN,NaN,NaN,91
401620030,65,51,64,NaN,80,68,NaN,65,90,75,82,60,65,75,66,71,80,NaN,74,NaN,74,74,74,85,61,67,NaN,60,67,69,60,82,73,84,74,NaN,76,55,77,68,NaN,74,77,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,81
401620031,78,72,NaN,88,80,93,78,NaN,NaN,85,83,NaN,72,NaN,81,75,75,NaN,87,NaN,75,NaN,78,NaN,75,70,NaN,78,70,NaN,62,NaN,75,85,64,NaN,92,NaN,NaN,67,71,NaN,75,NaN,NaN,80,84,76,NaN,NaN,NaN,NaN,NaN,82
401620032,91,70,76,NaN,86,86,83,78,90,80,91,90,78,81,86,71,86,90,80,87,78,82,86,90,78,81,NaN,98,77,80,89,84,81,87,90,NaN,90,NaN,81,90,83,90,78,NaN,NaN,88,NaN,84,NaN,NaN,NaN,NaN,NaN,91
401620033,71,61,65,89,76,NaN,NaN,50,NaN,86,78,63,70,75,72,69,82,NaN,78,76,72,74,78,86,62,74,NaN,88,NaN,78,78,NaN,62,78,NaN,NaN,69,NaN,73,64,NaN,79,69,NaN,NaN,73,88,74,NaN,NaN,NaN,NaN,NaN,81
401620034,84,65,71,NaN,79,88,80,68,90,80,88,80,72,77,83,85,87,NaN,76,NaN,70,75,76,NaN,78,77,65,84,76,69,75,NaN,NaN,85,83,NaN,NaN,81,75,91,89,87,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN
401620035,73,68,60,87,76,77,NaN,50,NaN,80,81,57,65,70,67,69,85,NaN,78,72,79,77,82,76,77,70,NaN,76,54,17,61,NaN,68,76,70,NaN,78,NaN,60,74,77,83,66,NaN,NaN,NaN,80,81,NaN,NaN,NaN,NaN,NaN,89
401620036,83,74,NaN,NaN,80,76,80,NaN,90,84,89,85,72,75,82,77,86,NaN,83,91,84,81,81,92,70,77,79,96,74,NaN,78,89,65,80,68,83,76,NaN,NaN,85,78,88,75,86,95,NaN,NaN,80,NaN,84,NaN,NaN,NaN,88
401620037,78,53,69,88,75,74,77,69,NaN,81,86,86,77,72,81,80,83,NaN,80,80,88,79,83,93,91,86,NaN,80,72,76,80,81,71,81,72,80,92,71,76,78,NaN,90,78,NaN,92,NaN,81,80,NaN,NaN,NaN,NaN,NaN,87
401620038,71,60,70,NaN,81,64,60,50,90,84,82,73,78,76,73,72,82,NaN,77,NaN,74,76,73,96,72,77,NaN,90,63,68,69,84,63,79,80,NaN,84,70,75,93,NaN,89,86,90,NaN,NaN,NaN,80,NaN,NaN,NaN,69,NaN,86
401620039,80,75,75,89,83,86,79,67,NaN,82,81,65,74,74,72,72,80,NaN,78,73,73,79,79,72,71,71,NaN,84,NaN,NaN,78,NaN,73,87,80,NaN,80,NaN,NaN,86,68,88,82,NaN,NaN,NaN,NaN,84,90,NaN,NaN,NaN,NaN,90
401620040,75,67,70,NaN,84,72,NaN,72,90,80,81,74,84,73,89,68,75,NaN,79,88,78,84,76,72,87,78,NaN,92,72,NaN,75,86,80,85,94,NaN,83,NaN,NaN,86,67,88,74,NaN,NaN,NaN,NaN,84,92,NaN,NaN,NaN,NaN,91
401620041,79,70,68,87,76,77,NaN,70,NaN,74,84,74,67,83,73,64,75,NaN,79,77,72,80,68,78,73,68,NaN,76,63,NaN,60,86,66,80,80,NaN,85,NaN,NaN,77,75,80,83,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,89
401620042,75,62,67,NaN,76,67,NaN,63,90,85,77,63,71,71,79,64,75,NaN,81,70,64,78,80,78,92,76,NaN,76,64,NaN,62,88,66,82,80,NaN,79,NaN,NaN,74,73,83,74,NaN,NaN,NaN,NaN,80,90,NaN,NaN,NaN,NaN,91
401620043,60,60,60,88,71,73,55,60,NaN,70,74,62,66,70,77,65,70,NaN,66,65,72,71,82,82,69,60,NaN,60,68,NaN,70,77,60,79,76,NaN,77,51,NaN,73,NaN,72,70,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,85
401620044,88,77,NaN,NaN,84,83,71,NaN,90,93,84,78,74,NaN,82,89,88,88,85,NaN,86,80,NaN,98,80,84,88,74,80,NaN,75,90,70,80,88,NaN,98,73,NaN,NaN,NaN,NaN,82,NaN,90,NaN,NaN,90,95,NaN,NaN,NaN,NaN,85
401620045,NaN,NaN,NaN,92,83,NaN,NaN,NaN,NaN,80,90,NaN,60,76,78,74,88,NaN,82,NaN,69,NaN,80,NaN,60,NaN,77,NaN,NaN,NaN,73,NaN,74,83,70,NaN,NaN,68,NaN,68,NaN,85,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
