id,2501001@普通生物學（一）@1@1,2501002@普通生物學實驗（一）@1@1,2501004@普通生物學（二）@2@1,2501005@普通生物學實驗（二）@2@1,2501006@有機化學（一）@2@1,2501003@普通化學@1@1,2502001@有機化學（二）@1@1,2502011@生物化學（一）@1@1,2502014@生命科學實驗（一）@1@1,2502115@生態學概論@1@1,2502007@分子生物學@2@1,2502012@生物化學（二）@2@1,2502016@生命科學實驗（二）@2@1,2502017@生化分析@2@1,2502102@人體生理學@2@1,2503113@基礎藥理學@2@1,2502105@生物醫學應用@1@1,2503001@普通病毒學@1@1,2503002@遺傳學@1@1,2503007@微生物學@1@1,2503008@生命科學實驗（三）@1@1,2503112@系統生物學概論@1@1,2503121@發育生物學@1@1,2503005@細胞生物學@2@1,2503006@免疫學@2@1,2503102@分子癌症學@2@1,2504002@專題討論（一）@1@1,2504115@基因技術產業實習@1@1,2501008@生物統計導論@2@1,2504003@專題討論（二）@2@2
402520045,76,92,89,88,87,92,99,66,77,92,74,75,91,75,65,79,88,82,83,80,90,84,86,75,77,93,84,90,-1,-1
402520010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
