id,1405102@台灣文學專題研究@1@1,1405148@地方知識、深度報導與紀錄片製作（二）@1@1,1405162@日治時期文學專題@1@1,1405191@台語文學專題研究@1@1,1405199@西方當代文學理論與運用@1@1,1405223@文化、創意與部落產業專題@1@1,1406121@語言研習（英文一）@1@1,1406131@語言研習（日文一）@1@1,1406151@田野調查、文獻整理與資訊化（一）@1@1,1405119@殖民地旅行文學專題研究@2@1,1405127@臺灣文學英譯文獻閱讀@2@1,1405150@地方知識、深度報導與紀錄片製作 (一)@2@1,1405169@女性、文化與消費@2@1,1405172@東亞漢詩文專題研究@2@1,1405216@臺灣與東亞現代性專題@2@1,1406122@語言研習（英文二）@2@1,1406132@語言研習（日文二）@2@1,1406152@田野調查、文獻整理與資訊化（二）@2@1,1406170@文字、影像與策展專題@2@1
605141008,92,87,92,NaN,NaN,NaN,NaN,0,92,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1
605141001,NaN,88,88,NaN,NaN,89,NaN,80,89,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1
605141004,NaN,86,88,NaN,NaN,87,83,NaN,89,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,-1
605141006,NaN,84,NaN,88,80,NaN,86,NaN,91,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1
605141009,NaN,89,NaN,92,NaN,88,NaN,91,89,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,-1
605141010,NaN,86,NaN,88,84,NaN,NaN,81,90,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,-1
605141011,NaN,86,NaN,90,NaN,85,NaN,89,89,NaN,-1,-1,-1,NaN,NaN,NaN,-1,-1,NaN
605141013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1,-1
