id,4305019@錯誤更正碼@2@1,4305129@高等電腦網路@2@1,4305132@專題演講（二）@2@1,4305173@被動光接取網路@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305070@無線區域網路@1@1,4305087@消息理論@1@1,4305113@電腦網路結構@1@1,4305116@網路程式設計@1@1,4305122@個人及行動通訊@1@1,4305146@通訊訊號處理專論@1@1,4305159@網路最佳化@1@1,4305162@異質無線網路漫遊與換手技術@1@1,4305175@微處理機系統與介面技術@1@1,4305176@嵌入式聯網感測系統專論@1@1,4305070@無線區域網路@2@1,4305077@區域網路設備實作技術及效能分析@2@1,4305079@正交分頻多重進接技術@2@1,4305099@高存活網路與安全確保@2@1,4305110@格網結構@2@1,4305135@光通訊網路@2@1,4305153@錯誤更正碼專論@2@1,4305156@頻譜分析與方位估計@2@1,4305160@智慧型天線專論@2@1,4305165@合作式通訊@2@1,4305167@多天線多重輸入輸出技術@2@1,4305171@無線感測網路@2@1,4305174@網路路由與傳輸控制專論@2@1,4305177@JAVA在網路的應用@2@1,4305153@錯誤更正碼專論@1@1,4305157@前瞻網路技術專論@1@1,4305164@下世代行動通訊系統(一)@1@1,4305166@多天線信號處理專論@1@1,4305178@新興網路架構專論@1@1,4305179@嵌入式作業系統@1@1,4305104@排隊理論@2@1,4305144@網路安全專論@2@1,4305168@網路最佳化專論@2@1,4305172@合作式通訊專論@2@1,4305180@聯網嵌入式系統@2@1,4305181@無線通訊理論@2@1,4305182@下世代行動通訊系統(二)@2@1,4305156@頻譜分析與方位估計@1@1
601430076,NaN,NaN,89,NaN,81,96,86,NaN,NaN,80,NaN,70,60,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,89,NaN,70,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN
601430081,NaN,NaN,86,NaN,91,93,86,NaN,NaN,83,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,95,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430082,NaN,NaN,89,NaN,100,91,86,NaN,NaN,95,NaN,NaN,NaN,NaN,89,95,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,91,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430083,NaN,NaN,89,NaN,90,NaN,84,NaN,NaN,84,NaN,77,61,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,89,NaN,84,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,NaN
601430084,NaN,NaN,89,NaN,81,83,88,NaN,NaN,56,NaN,NaN,NaN,NaN,75,95,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,83,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430085,NaN,NaN,89,NaN,70,86,88,NaN,NaN,73,NaN,NaN,NaN,NaN,84,95,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,89,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430086,NaN,NaN,89,NaN,95,89,88,NaN,NaN,87,NaN,NaN,NaN,NaN,87,95,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,89,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430089,NaN,NaN,89,NaN,75,97,86,NaN,NaN,70,NaN,71,60,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,85,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430007,NaN,NaN,86,NaN,NaN,88,84,NaN,NaN,70,NaN,83,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,94,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430009,NaN,NaN,86,NaN,70,87,84,NaN,NaN,52,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,90,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430025,NaN,NaN,89,NaN,NaN,84,86,89,NaN,57,NaN,73,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,83,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430049,NaN,NaN,82,NaN,NaN,96,82,85,NaN,NaN,NaN,71,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
601430056,NaN,NaN,83,NaN,NaN,90,82,84,NaN,NaN,NaN,72,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
601430059,NaN,NaN,82,NaN,NaN,97,82,NaN,NaN,79,NaN,80,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
601430002,NaN,NaN,87,NaN,NaN,NaN,86,89,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,92,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430003,NaN,NaN,89,NaN,NaN,NaN,82,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430005,NaN,NaN,88,NaN,NaN,NaN,86,86,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430011,NaN,NaN,88,NaN,NaN,NaN,86,85,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430013,NaN,NaN,88,NaN,NaN,NaN,84,NaN,NaN,NaN,85,NaN,NaN,NaN,71,NaN,NaN,NaN,94,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430015,NaN,NaN,89,NaN,NaN,NaN,84,NaN,80,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,82,NaN,NaN,NaN,NaN,88,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430017,NaN,NaN,88,NaN,NaN,NaN,86,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430018,NaN,NaN,88,NaN,NaN,NaN,84,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430026,NaN,NaN,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,77,89,NaN,NaN,80,75,NaN,NaN,89,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430029,NaN,NaN,85,NaN,NaN,NaN,86,NaN,89,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430030,NaN,NaN,84,NaN,NaN,NaN,86,NaN,89,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
601430031,NaN,84,86,58,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,92,91,NaN,NaN,88,NaN,84,NaN,79,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430032,NaN,NaN,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,80,72,NaN,NaN,73,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430033,NaN,84,89,NaN,NaN,NaN,86,NaN,NaN,NaN,77,NaN,79,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430034,NaN,NaN,89,NaN,NaN,NaN,86,NaN,NaN,NaN,87,NaN,79,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430038,NaN,NaN,89,NaN,NaN,NaN,84,84,NaN,NaN,NaN,NaN,NaN,88,86,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430039,NaN,NaN,89,NaN,NaN,NaN,86,NaN,90,NaN,88,NaN,84,87,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,80,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430040,NaN,85,89,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,92,91,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430041,NaN,82,86,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,88,86,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430044,NaN,84,86,NaN,NaN,NaN,86,NaN,NaN,NaN,80,NaN,87,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430047,NaN,NaN,86,NaN,NaN,NaN,86,NaN,75,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,30,NaN
601430048,NaN,92,89,NaN,NaN,NaN,86,NaN,NaN,NaN,83,NaN,86,87,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,78,NaN,NaN,55,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430053,NaN,NaN,86,NaN,NaN,NaN,86,NaN,90,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430055,NaN,92,89,NaN,NaN,NaN,86,NaN,NaN,NaN,82,NaN,86,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430057,NaN,92,86,90,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,80,90,NaN,NaN,98,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
601430058,NaN,NaN,86,NaN,NaN,NaN,86,85,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430062,NaN,NaN,86,NaN,NaN,94,84,84,NaN,NaN,73,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430063,NaN,NaN,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,80,78,NaN,NaN,84,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430067,NaN,86,88,NaN,NaN,NaN,84,NaN,78,NaN,NaN,NaN,NaN,84,NaN,NaN,70,NaN,82,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,56,NaN,NaN
601430068,NaN,NaN,89,NaN,NaN,NaN,86,84,NaN,NaN,NaN,NaN,78,86,88,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430074,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,70,89,NaN,NaN,82,NaN,NaN,NaN,71,84,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN
601430078,NaN,80,86,58,74,96,86,NaN,NaN,NaN,NaN,81,75,89,91,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
601430080,NaN,82,86,NaN,NaN,NaN,82,NaN,NaN,NaN,86,NaN,86,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430088,NaN,92,86,90,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,89,87,NaN,NaN,92,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
601430079,NaN,NaN,81,NaN,70,98,80,NaN,NaN,NaN,NaN,81,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,74,NaN
601430087,NaN,NaN,NaN,NaN,70,94,84,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601430090,NaN,NaN,92,NaN,75,NaN,85,86,NaN,99,NaN,85,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86
