id,4305070@無線區域網路@2@1,4305129@高等電腦網路@2@1,4305132@專題演講（二）@2@1,4305177@JAVA在網路的應用@2@1,4305180@聯網嵌入式系統@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305087@消息理論@1@1,4305113@電腦網路結構@1@1,4305116@網路程式設計@1@1,4305122@個人及行動通訊@1@1,4305146@通訊訊號處理專論@1@1,4305156@頻譜分析與方位估計@1@1,4305159@網路最佳化@1@1,4305164@下世代行動通訊系統(一)@1@1,4305169@分散式訊源編碼@1@1,4305175@微處理機系統與介面技術@1@1,4305176@嵌入式聯網感測系統專論@1@1,4305019@錯誤更正碼@2@1,4305079@正交分頻多重進接技術@2@1,4305099@高存活網路與安全確保@2@1,4305106@適應性陣列信號處理@2@1,4305110@格網結構@2@1,4305127@資料網路規劃與設計@2@1,4305135@光通訊網路@2@1,4305160@智慧型天線專論@2@1,4305162@異質無線網路漫遊與換手技術@2@1,4305165@合作式通訊@2@1,4305167@多天線多重輸入輸出技術@2@1,4305182@下世代行動通訊系統(二)@2@1,4305183@最佳化導論@2@1,4305070@無線區域網路@1@1,4305153@錯誤更正碼專論@1@1,4305174@網路路由與傳輸控制專論@1@1,4305179@嵌入式作業系統@1@1,4305087@消息理論@2@1,4305130@通訊系統模擬@2@1,4305133@網路互連@2@1,4305136@網路模擬技術與應用@2@1,4305144@網路安全專論@2@1,4305166@多天線信號處理專論@2@1,4305172@合作式通訊專論@2@1
603430059,NaN,NaN,70,NaN,NaN,78,79,79,NaN,NaN,89,NaN,NaN,NaN,72,90,NaN,NaN,74,NaN,NaN,NaN,NaN,78,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,68,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430061,NaN,NaN,87,NaN,NaN,73,NaN,83,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,81,NaN,70,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,85,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430068,NaN,NaN,90,NaN,NaN,54,70,84,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,80,75,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430070,NaN,NaN,85,NaN,NaN,36,27,82,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,86,NaN,39,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,75,NaN,70,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,91,NaN
603430072,NaN,NaN,83,NaN,NaN,49,29,81,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,83,NaN,25,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,76,NaN,85,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,90,NaN
603430073,NaN,NaN,83,NaN,NaN,73,NaN,82,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,80,NaN,50,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,77,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN
603430074,NaN,NaN,85,NaN,NaN,70,NaN,84,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,77,NaN,NaN,80,65,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN
603430075,NaN,NaN,86,NaN,NaN,70,39,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,80,77,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN
603430052,NaN,NaN,85,NaN,NaN,NaN,37,85,NaN,NaN,94,75,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,72,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603430054,NaN,NaN,87,NaN,NaN,70,49,88,80,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,86,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90
