id,3305010@政治學方法論@1@1,3305300@公共行政理論@1@1,3305310@國際關係理論@1@1,3305850@人事管理@1@1,3306420@國際組織專題研究@1@1,3306570@政治傳播@1@1,3305020@社會科學統計@2@1,3306632@人權與女權@2@1,3305492@東亞政治經濟學@1@1,3305691@政府治理與政策工具@1@1,3305870@國際法@1@1,3306001@研究設計與論文寫作@1@1,3306401@公共政策專題研究@1@1,3305300@公共行政理論@2@1
602330003,90,92,88,NaN,88,NaN,87,NaN,94,NaN,86,90,NaN,NaN
602330004,90,NaN,90,NaN,88,90,76,90,NaN,NaN,90,NaN,NaN,NaN
602330007,92,93,92,96,NaN,NaN,99,94,NaN,94,NaN,NaN,93,NaN
602330009,88,92,88,96,NaN,NaN,81,92,NaN,96,NaN,NaN,90,NaN
602330016,88,NaN,90,92,NaN,NaN,85,NaN,NaN,94,89,NaN,90,93
