id,4105015@資料工程@2@1,4105477@WWW 技術與應用@2@1,4105597@醫療電子臨床導入@2@1,4105700@計算機結構@2@1,4105807@嵌入式作業系統設計與實作@2@1,4106002@計算機專題（二）@2@1,4105100@影像處理@1@1,4105105@圖形識別@1@1,4105107@生醫影像處理系統@1@1,4105108@視覺品質評估@1@1,4105111@計算攝影學：應用圖學與影像技術@1@1,4105210@類神經網路@1@1,4105306@社會網路分析@1@1,4105310@計算方法@1@1,4105345@最佳化問題算法設計@1@1,4105398@物聯網應用系統@1@1,4105400@電腦網路@1@1,4105402@網路安全攻防技術@1@1,4105408@無線感測網路@1@1,4105414@物聯網核心技術@1@1,4105417@行動通訊網路@1@1,4105460@網際網路資訊檢索@1@1,4105507@雲端適地性服務之實證方法@1@1,4105509@雲端學習科技@1@1,4105511@雲端數位學習系統@1@1,4105567@高等數位積體電路設計@1@1,4105594@可程式化硬體設計@1@1,4105598@車用電子系統應用專題@1@1,4105605@編譯器@1@1,4105730@作業系統@1@1,4105803@嵌入式開發軟體工具組@1@1,4105812@軟體測試@1@1,4105813@軟體分析與最佳化@1@1,4105817@系統軟體設計@1@1,4105915@計算生物學概論@1@1,4105931@機器學習@1@1,4106000@科技英文寫作與溝通技巧@1@1,4106001@計算機專題（一）@1@1,4105113@視訊處理@2@1,4105205@模糊系統@2@1,4105247@創作智慧@2@1,4105248@深層學習與應用@2@1,4105317@近似演算法@2@1,4105347@最佳化導論@2@1,4105399@物聯網概論@2@1,4105401@無線區域網路@2@1,4105446@網路程式設計@2@1,4105448@多媒體學習系統設計@2@1,4105454@網路效能分析@2@1,4105506@進階資料庫系統@2@1,4105508@雲端計算@2@1,4105512@雲端資料處理與方法@2@1,4105559@超大型積體電路系統設計概論@2@1,4105566@數位積體電路設計@2@1,4105599@晶片系統設計@2@1,4105610@高等編譯器@2@1,4105755@分散式系統@2@1,4105797@嵌入式計算系統@2@1,4105818@嵌入式作業系統設計與實作研討@2@1,4106004@計算機專題（四）@2@1,4105109@電腦視覺@1@1,4105317@近似演算法@1@1,4105334@演化式計算@1@1,4105444@多媒體內容分析@1@1,4105467@多媒體網路系統與技術@1@1,4105476@網際網路資料庫系統@1@1,4105753@即時作業系統@1@1,4105911@生物資訊演算法@1@1,4106003@計算機專題（三）@1@1,4105316@圖論演算法@2@1,4105397@創意物聯網應用設計@2@1,4105466@射頻辨識系統與應用@2@1,4105933@高等機器學習與應用@2@1,4105401@無線區域網路@1@1
602410016,90,91,NaN,71,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN
602410061,NaN,70,84,85,90,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN
602410009,NaN,NaN,NaN,85,NaN,82,93,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
602410010,NaN,NaN,NaN,NaN,NaN,85,86,NaN,NaN,NaN,88,NaN,NaN,72,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,86,NaN,NaN,NaN,NaN,NaN,86,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN
602410015,NaN,NaN,NaN,NaN,NaN,78,95,NaN,NaN,94,NaN,NaN,NaN,91,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,84,89,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
602410033,NaN,NaN,NaN,82,NaN,82,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,95,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
602410043,NaN,NaN,NaN,81,NaN,74,95,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,74,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,82,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
602410045,NaN,NaN,NaN,69,NaN,82,84,NaN,NaN,94,NaN,NaN,NaN,77,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
602410052,NaN,72,NaN,87,NaN,74,77,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,74,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,74,NaN,NaN,NaN,NaN,NaN
602410059,NaN,NaN,NaN,81,NaN,74,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,88,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,90,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
