id,6055102@社會法專題研究（二）@2@1,6055184@勞動法專題研究（四）@2@1,6055200@日本勞動法專題研究（二）@2@1,6055352@法學英文（二）@2@1
606605001,-1,-1,NaN,-1
606605007,-1,-1,-1,NaN
