id,1151017@英文作文（一）@1@2,1151021@西洋文學概論（一）@1@1,1151023@法文（一）@1@1,1151029@西班牙文（一）@1@1,1151018@英文作文（二）@2@2,1151022@西洋文學概論（二）@2@1,1151030@西班牙文（二）@2@1,1151025@德文（一）@1@1,1151031@英語聽講（一）@1@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152101@德文（三）@1@1,1153011@英國文學：中世紀@1@1,1154099@戲劇與電影@1@1,1151018@英文作文（二）@2@1,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151032@英語聽講（二）@2@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1153016@英國文學：二十世紀@2@1,1154258@大眾小說@2@1,1152077@英語聽講（三）@1@2,1152105@法文（三）@1@1,1153001@美國文學（一）@1@1,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1154213@台灣與愛爾蘭－全球化下的兩個島嶼@1@1,1154259@進階英語聽講@1@1,1154261@雙語數位出版實作@1@1,1152078@英語聽講（四）@2@2,1153012@英國文學：十八世紀@2@1,1153014@英國文學：維多利亞@2@1,1154172@閱讀與討論@2@1,1154255@後現代小說與電影@2@1,1151027@日文（一）@1@1,1154091@言談分析@1@1,1154222@媒體英文@1@1,1154241@奇幻文學與電影@1@1,1154248@戲劇演出與實務@1@1,1153002@美國文學（二）@2@1,1154097@性別與閱讀@2@1,1154224@小說選讀@2@1,1154269@文學與電影@2@1
402125014,68,82,70,NaN,NaN,76,NaN,75,84,70,NaN,NaN,80,65,83,NaN,80,87,77,NaN,69,50,NaN,NaN,83,91,NaN,86,92,NaN,NaN,NaN,78,85,88,NaN,88,NaN,NaN,95,NaN,NaN,NaN,-1
402125028,84,78,65,NaN,83,80,NaN,NaN,85,60,89,NaN,72,NaN,NaN,67,NaN,85,67,87,NaN,NaN,85,67,68,NaN,83,NaN,NaN,84,89,85,NaN,86,85,NaN,NaN,80,94,NaN,-1,-1,-1,NaN
402125020,NaN,67,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,90,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125031,NaN,78,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125027,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125019,NaN,NaN,NaN,87,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
