id,1151017@英文作文（一）@1@3,1151021@西洋文學概論（一）@1@2,1151025@德文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@3,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153011@英國文學：中世紀@1@1,1151018@英文作文（二）@2@3,1151022@西洋文學概論（二）@2@2,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@3,1152106@法文(四)@2@1,1152108@日文 (四)@2@1,1153016@英國文學：二十世紀@2@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@2,1152077@英語聽講（三）@1@2,1152103@西班牙文（三）@1@1,1153013@英國文學：文藝復興@1@1,1154213@台灣與愛爾蘭－全球化下的兩個島嶼@1@1,1154241@奇幻文學與電影@1@1,1151026@德文（二）@2@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@2,1152078@英語聽講（四）@2@2,1152104@西班牙文(四)@2@1,1153012@英國文學：十八世紀@2@1,1154172@閱讀與討論@2@1,1154224@小說選讀@2@1,1151023@法文（一）@1@1
402330029,87,76,93,76,100,NaN,NaN,79,81,88,62,89,NaN,NaN,64,64,88,84,64,90,92,91,85,62,91,87,69,86,84,83,NaN
402330050,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330025,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330030,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330039,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70
