id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151021@西洋文學概論（一）@1@1,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151888@學系服務學習@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151022@西洋文學概論（二）@2@1,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151888@學系服務學習@2@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1152101@德文（三）@1@1,1152103@西班牙文（三）@1@1,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153011@英國文學：中世紀@1@1,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1154213@台灣與愛爾蘭－全球化下的兩個島嶼@1@1,1154251@第二/外語教學實作@1@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152078@英語聽講（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1152102@德文(四)@2@1,1152104@西班牙文(四)@2@1,1152106@法文(四)@2@1,1152108@日文 (四)@2@1,1153012@英國文學：十八世紀@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154140@旅行與文學@2@1,1154172@閱讀與討論@2@1,1154243@愛爾蘭戲劇@2@1,1151021@西洋文學概論（一）@1@2,1153001@美國文學（一）@1@1,1154099@戲劇與電影@1@1,1154222@媒體英文@1@1,1154223@旅遊英文@1@1,1154234@電腦輔助語言學習@1@1,1154246@西方戲劇：易卜生@1@1,1154247@閱讀愛爾蘭@1@1,1154248@戲劇演出與實務@1@1,1153002@美國文學（二）@2@1,1154091@言談分析@2@1,1154097@性別與閱讀@2@1,1154168@翻譯@2@1,1154187@高階閱讀@2@1,1154224@小說選讀@2@1,1154257@媒體、閱讀與旅行@2@1,1154258@大眾小說@2@1,1154185@懸疑小說：偵探@1@1,1154241@奇幻文學與電影@1@1,1154259@進階英語聽講@1@1,1154260@英語的故事:英語演化成今日英語的故事@1@1,1154261@雙語數位出版實作@1@1,1154262@小說選讀@1@1,1154251@第二/外語教學實作@2@1,1154255@後現代小說與電影@2@1,1154263@專題：職涯發展英文@2@1,1154264@莎士比亞戲劇選讀@2@1,1154265@懸疑小說：驚悚@2@1,1154091@言談分析@1@1,1154266@現/當代美國小說@1@1,1154260@英語的故事:英語演化成今日英語的故事@2@1
401115004,NaN,91,NaN,89,NaN,99,92,NaN,NaN,81,NaN,NaN,NaN,88,NaN,86,NaN,91,89,NaN,NaN,84,NaN,80,77,89,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,87,NaN,NaN,76,92,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,83,NaN,86,NaN,NaN,NaN,88,NaN,89,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,87,85,82,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
401115009,NaN,91,NaN,82,NaN,97,NaN,83,85,NaN,NaN,80,NaN,87,NaN,90,NaN,85,NaN,70,85,NaN,NaN,NaN,80,97,NaN,NaN,NaN,NaN,89,NaN,66,NaN,NaN,79,NaN,93,NaN,NaN,79,91,NaN,NaN,NaN,NaN,93,NaN,74,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,82,NaN,83,NaN,93,NaN,88,NaN,89,92,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115012,NaN,80,NaN,62,NaN,NaN,NaN,77,NaN,NaN,80,NaN,NaN,75,NaN,68,NaN,NaN,NaN,72,NaN,NaN,79,85,62,91,NaN,NaN,77,NaN,NaN,NaN,70,NaN,NaN,62,65,NaN,NaN,NaN,61,87,NaN,NaN,80,NaN,NaN,NaN,64,NaN,NaN,NaN,60,57,70,NaN,NaN,NaN,51,NaN,NaN,76,NaN,NaN,78,96,60,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115015,NaN,91,NaN,81,NaN,98,NaN,81,NaN,NaN,91,80,NaN,89,NaN,80,NaN,94,NaN,68,NaN,NaN,89,NaN,71,NaN,83,NaN,83,NaN,NaN,NaN,69,NaN,NaN,88,NaN,90,NaN,NaN,75,NaN,83,NaN,80,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,90,NaN,85,NaN,NaN,78,NaN,86,86,NaN,NaN,92,98,88,NaN,84,87,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,91,NaN,NaN
401115018,NaN,89,NaN,75,NaN,NaN,92,NaN,85,NaN,NaN,NaN,NaN,87,NaN,80,NaN,NaN,93,NaN,86,NaN,NaN,85,63,NaN,86,NaN,83,NaN,NaN,NaN,NaN,NaN,94,76,NaN,89,NaN,NaN,73,NaN,83,NaN,83,NaN,NaN,NaN,NaN,NaN,85,NaN,74,NaN,NaN,NaN,NaN,NaN,86,75,NaN,84,92,NaN,92,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,84,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115020,NaN,85,NaN,63,NaN,NaN,87,76,NaN,85,NaN,NaN,NaN,84,NaN,60,NaN,NaN,92,60,NaN,84,NaN,80,68,NaN,83,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,80,76,NaN,NaN,NaN,69,NaN,79,NaN,NaN,82,NaN,NaN,NaN,NaN,92,NaN,NaN,84,NaN,NaN,NaN,NaN,81,NaN,83,NaN,NaN,NaN,95,NaN,85,NaN,NaN,83,NaN,88,NaN,NaN,NaN,87,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115024,NaN,76,NaN,76,NaN,77,NaN,NaN,74,NaN,NaN,NaN,NaN,78,NaN,70,NaN,87,NaN,NaN,82,NaN,NaN,60,71,NaN,NaN,84,NaN,NaN,77,88,NaN,NaN,NaN,73,NaN,75,NaN,NaN,80,NaN,NaN,80,NaN,NaN,66,90,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,79,85,NaN,76,NaN,NaN,NaN,65,91,NaN,86,NaN,NaN,NaN,NaN,83,NaN,NaN,86,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115027,NaN,81,NaN,81,64,94,NaN,60,83,NaN,NaN,75,NaN,86,NaN,83,67,98,NaN,NaN,87,NaN,NaN,NaN,76,89,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,91,NaN,NaN,79,NaN,NaN,85,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,80,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,94,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115028,NaN,90,NaN,76,NaN,99,72,84,NaN,86,NaN,NaN,NaN,84,NaN,78,NaN,95,NaN,83,NaN,72,NaN,75,79,NaN,87,NaN,NaN,NaN,88,91,NaN,NaN,NaN,NaN,87,88,NaN,NaN,85,NaN,87,NaN,NaN,NaN,90,98,NaN,NaN,NaN,94,NaN,75,NaN,86,NaN,NaN,79,NaN,NaN,87,NaN,NaN,95,88,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
401115031,NaN,89,NaN,76,NaN,95,84,NaN,86,NaN,NaN,75,NaN,88,NaN,78,NaN,90,90,NaN,85,NaN,NaN,NaN,71,96,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,90,77,NaN,83,NaN,NaN,74,90,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,83,78,75,NaN,86,NaN,NaN,NaN,81,80,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,86,88,NaN,NaN,89,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115034,NaN,85,NaN,68,NaN,97,69,60,82,NaN,NaN,NaN,NaN,85,NaN,74,NaN,96,82,NaN,85,NaN,NaN,85,78,97,NaN,NaN,NaN,NaN,84,92,NaN,NaN,87,NaN,74,86,NaN,NaN,82,88,NaN,NaN,NaN,NaN,84,94,NaN,NaN,NaN,74,NaN,70,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,95,NaN,88,NaN,NaN,78,NaN,83,NaN,89,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115042,NaN,86,NaN,79,73,97,81,NaN,NaN,NaN,85,NaN,NaN,86,NaN,87,NaN,98,NaN,NaN,NaN,NaN,87,85,77,85,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,76,91,79,NaN,NaN,86,93,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,89,NaN,NaN,NaN,NaN,NaN,84,NaN,86,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,92,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
401115045,NaN,91,NaN,87,NaN,NaN,87,NaN,NaN,NaN,84,80,NaN,89,NaN,78,NaN,NaN,85,NaN,NaN,NaN,82,NaN,62,NaN,86,NaN,76,NaN,NaN,NaN,NaN,NaN,94,NaN,74,80,NaN,NaN,68,NaN,85,NaN,67,NaN,NaN,NaN,NaN,NaN,95,NaN,62,69,NaN,NaN,NaN,NaN,75,77,79,NaN,NaN,NaN,93,NaN,62,NaN,NaN,NaN,NaN,84,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
401115046,NaN,89,NaN,79,81,92,NaN,NaN,82,NaN,NaN,NaN,NaN,86,NaN,75,83,NaN,NaN,NaN,83,NaN,NaN,80,78,99,NaN,NaN,NaN,NaN,88,NaN,NaN,85,NaN,NaN,77,96,NaN,NaN,79,95,NaN,NaN,NaN,NaN,89,NaN,NaN,80,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,84,NaN,89,NaN,91,NaN,90,98,79,NaN,85,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,100,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115048,NaN,88,NaN,89,75,NaN,86,NaN,NaN,90,NaN,NaN,NaN,84,NaN,81,NaN,NaN,93,NaN,NaN,85,NaN,85,63,NaN,NaN,85,90,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,80,NaN,NaN,71,NaN,NaN,81,87,NaN,NaN,NaN,NaN,NaN,89,87,77,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,82,NaN,NaN,NaN,95,82,87,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115053,NaN,94,NaN,72,NaN,NaN,NaN,78,NaN,NaN,77,80,NaN,88,NaN,77,NaN,NaN,NaN,63,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115003,NaN,NaN,93,86,NaN,99,NaN,93,NaN,74,NaN,80,NaN,NaN,99,92,NaN,98,NaN,90,NaN,81,NaN,NaN,88,91,NaN,NaN,NaN,NaN,95,94,65,NaN,NaN,85,NaN,95,NaN,NaN,92,97,NaN,NaN,NaN,NaN,97,96,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,87,NaN,86,NaN,92,NaN,93,98,85,92,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401115006,NaN,NaN,88,84,NaN,NaN,83,NaN,87,NaN,NaN,NaN,NaN,NaN,99,85,NaN,NaN,73,NaN,87,NaN,NaN,85,65,91,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,79,NaN,90,NaN,NaN,60,93,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,81,NaN,76,NaN,NaN,NaN,86,96,79,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,93,NaN,91,NaN,NaN,NaN,NaN
401115007,NaN,NaN,99,86,NaN,99,NaN,92,NaN,NaN,91,85,NaN,NaN,99,94,NaN,99,NaN,88,NaN,NaN,93,NaN,81,NaN,88,NaN,98,NaN,NaN,99,73,NaN,NaN,NaN,93,92,NaN,NaN,88,NaN,87,NaN,100,NaN,NaN,94,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,95,NaN,91,98,85,NaN,NaN,NaN,NaN,90,85,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115010,NaN,NaN,92,60,NaN,NaN,80,47,NaN,NaN,91,NaN,NaN,NaN,76,66,NaN,NaN,36,NaN,NaN,NaN,84,85,70,NaN,NaN,80,NaN,NaN,76,NaN,NaN,NaN,NaN,62,NaN,67,NaN,NaN,60,NaN,NaN,75,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,70,73,NaN,NaN,NaN,NaN,NaN,96,64,NaN,NaN,NaN,NaN,76,75,62,48,79,NaN,87,NaN,NaN,NaN,66,NaN,NaN,0,NaN,NaN,NaN
401115011,NaN,NaN,86,66,NaN,91,NaN,62,86,NaN,NaN,85,NaN,NaN,87,80,NaN,90,NaN,60,86,NaN,NaN,NaN,61,NaN,NaN,83,88,NaN,NaN,NaN,60,NaN,NaN,NaN,71,84,90,NaN,76,NaN,NaN,75,93,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,76,NaN,87,NaN,NaN,65,NaN,85,88,NaN,NaN,NaN,96,62,NaN,85,89,NaN,85,NaN,NaN,82,NaN,90,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN
401115016,NaN,NaN,99,86,NaN,NaN,NaN,88,NaN,81,NaN,NaN,NaN,NaN,99,76,NaN,NaN,NaN,81,NaN,82,NaN,80,65,NaN,83,NaN,86,NaN,NaN,NaN,73,NaN,NaN,NaN,74,83,86,NaN,66,NaN,80,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,75,NaN,NaN,NaN,60,80,75,NaN,NaN,NaN,NaN,99,74,NaN,NaN,NaN,NaN,87,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
401115017,NaN,NaN,91,86,NaN,NaN,85,87,NaN,75,NaN,80,NaN,NaN,85,92,NaN,NaN,93,81,NaN,66,NaN,NaN,81,NaN,85,NaN,NaN,NaN,70,NaN,79,NaN,92,NaN,92,73,NaN,NaN,85,NaN,80,NaN,NaN,NaN,77,NaN,82,NaN,87,NaN,NaN,91,NaN,77,NaN,NaN,67,NaN,NaN,73,NaN,NaN,NaN,95,81,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN
401115021,NaN,NaN,12,50,NaN,NaN,74,60,NaN,NaN,56,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115029,NaN,NaN,86,77,84,NaN,82,93,NaN,NaN,90,80,NaN,NaN,87,93,85,NaN,NaN,87,NaN,NaN,90,NaN,85,100,NaN,NaN,NaN,NaN,90,NaN,71,88,NaN,79,NaN,96,NaN,NaN,88,94,NaN,NaN,NaN,NaN,92,NaN,NaN,86,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,85,NaN,90,NaN,NaN,NaN,93,98,90,90,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401115030,NaN,NaN,99,81,NaN,NaN,91,NaN,NaN,NaN,88,NaN,NaN,NaN,99,78,NaN,NaN,92,NaN,NaN,NaN,86,88,66,NaN,NaN,78,NaN,NaN,78,NaN,NaN,NaN,92,82,NaN,76,NaN,NaN,67,NaN,NaN,80,NaN,NaN,87,NaN,NaN,NaN,NaN,81,NaN,77,NaN,NaN,NaN,NaN,NaN,73,79,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,78,86,88,73,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
