id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151021@西洋文學概論（一）@1@1,1151025@德文（一）@1@1,1151029@西班牙文（一）@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151022@西洋文學概論（二）@2@1,1151026@德文（二）@2@1,1151030@西班牙文（二）@2@1,1154124@英語語音學@2@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152103@西班牙文（三）@1@1,1152107@日文（三）@1@1,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1151028@日文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152104@西班牙文(四)@2@1,1152108@日文 (四)@2@1,1153012@英國文學：十八世紀@2@1,1151027@日文（一）@1@1,1152077@英語聽講（三）@1@2,1152101@德文（三）@1@1,1153001@美國文學（一）@1@1,1154099@戲劇與電影@1@1,1154223@旅遊英文@1@1,1152002@語言學概論（二）@2@1,1152078@英語聽講（四）@2@2,1153002@美國文學（二）@2@1,1153016@英國文學：二十世紀@2@1,1152001@語言學概論（一）@1@1,1154248@戲劇演出與實務@1@1,1154260@英語的故事:英語演化成今日英語的故事@1@1,1154261@雙語數位出版實作@1@1,1152078@英語聽講（四）@2@1,1154255@後現代小說與電影@2@1,1154257@媒體、閱讀與旅行@2@1,1154265@懸疑小說：驚悚@2@1
400110053,83,NaN,75,NaN,76,90,NaN,83,NaN,81,87,81,NaN,NaN,75,NaN,NaN,NaN,88,NaN,86,NaN,NaN,81,NaN,NaN,72,NaN,85,NaN,83,NaN,82,66,NaN,68,80,72,97,91,91,87,78,90,83
400110011,NaN,81,83,NaN,86,NaN,83,74,NaN,74,NaN,NaN,84,81,NaN,75,NaN,87,84,89,NaN,87,84,NaN,79,NaN,79,95,84,NaN,80,73,81,76,87,NaN,68,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110038,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110002,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110035,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400110055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
