id,4251010@化學工程概論@1@1,4251888@學系服務學習@1@1,4251020@化工質能均衡@2@1,4251888@學系服務學習@2@1,4251910@計算機概論@2@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252410@工程力學@1@1,4252700@生物學@1@1,4252800@材料科學@1@1,4252912@化學工業安全概論@1@1,4253990@光電材料@1@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4252810@無機材料物性@2@1,4252920@應用統計學@2@1,4253700@生物技術概論@2@1,4253720@生醫材料@2@1,4253910@高分子概論@2@1,4253970@特用化學品@2@1,4252710@生物化學@1@1,4253400@單元操作與輸送現象（二）@1@1,4253500@儀器分析@1@1,4253800@組織工程概論@1@1,4254100@程序設計@1@2,4253001@化工專題研究（一）@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@1,4253402@化學工程實驗（一）@2@2,4253403@單元操作與輸送現象（三）@2@1,4253410@化工熱力學@2@1,4253501@儀器分析實驗@2@1,4253501@儀器分析實驗@2@2,4253730@分離程序@2@1,4253916@高分子物理@2@1,4253940@觸媒化學概論@2@1,4254500@組織工程實驗@2@1,4254970@專題討論與文獻選讀@2@1,4253910@高分子概論@1@1,4254001@化工專題研究（二）@1@1,4254100@程序設計@1@1,4254402@化學工程實驗（二）@1@1,4254402@化學工程實驗（二）@1@2,4254410@化工反應工程@1@1,4253915@塑橡膠材料與加工@2@1,4254200@化工學士畢業專題@2@1,4254410@化工反應工程@2@1
401425032,89,NaN,82,78,79,72,88,NaN,83,86,NaN,NaN,68,61,NaN,NaN,NaN,78,77,NaN,75,81,90,83,82,NaN,85,NaN,94,85,90,89,NaN,NaN,NaN,82,86,82,NaN,NaN,NaN,NaN,89,96,NaN,NaN,NaN
401425033,81,81,93,NaN,NaN,88,90,NaN,80,77,89,NaN,82,73,NaN,NaN,NaN,NaN,97,85,97,86,85,NaN,NaN,88,88,94,NaN,95,84,NaN,90,95,NaN,NaN,NaN,77,NaN,86,88,91,NaN,77,NaN,NaN,NaN
401425034,94,NaN,74,78,NaN,60,88,83,72,73,79,NaN,75,74,NaN,92,NaN,NaN,NaN,72,NaN,75,83,NaN,63,NaN,70,NaN,80,70,90,85,NaN,95,NaN,91,NaN,75,61,NaN,NaN,NaN,84,93,NaN,NaN,NaN
401425035,91,85,69,NaN,81,75,NaN,67,71,88,80,NaN,69,65,NaN,NaN,NaN,82,89,NaN,82,67,81,NaN,NaN,88,74,88,NaN,81,82,NaN,86,83,NaN,NaN,NaN,88,NaN,88,77,85,NaN,51,NaN,NaN,70
401425036,90,NaN,64,86,NaN,79,62,75,76,81,78,NaN,73,64,83,NaN,NaN,63,NaN,NaN,NaN,71,87,NaN,76,NaN,74,NaN,81,75,81,88,NaN,93,77,83,86,84,74,NaN,NaN,NaN,80,70,NaN,NaN,NaN
401425037,80,80,60,NaN,57,75,77,NaN,78,82,87,NaN,79,73,NaN,68,82,70,NaN,85,NaN,74,81,82,NaN,NaN,70,87,NaN,66,83,NaN,87,NaN,NaN,NaN,NaN,76,NaN,NaN,86,76,NaN,70,NaN,NaN,NaN
401425039,76,78,80,NaN,5,87,83,70,64,0,NaN,NaN,94,66,NaN,60,56,NaN,72,NaN,80,69,78,NaN,NaN,NaN,66,82,NaN,67,81,NaN,84,NaN,72,64,NaN,75,NaN,NaN,62,80,NaN,43,NaN,NaN,60
401425040,79,NaN,73,78,75,94,74,82,70,88,94,NaN,92,85,NaN,NaN,70,81,95,NaN,93,78,92,NaN,87,86,89,NaN,94,98,94,85,NaN,NaN,NaN,88,NaN,86,NaN,89,NaN,NaN,89,81,91,90,NaN
401425041,76,81,60,NaN,58,73,79,NaN,89,73,77,NaN,73,75,NaN,91,78,99,NaN,NaN,91,70,94,89,NaN,NaN,74,85,NaN,76,82,NaN,91,NaN,NaN,88,87,79,NaN,88,76,84,NaN,51,NaN,NaN,40
401425042,86,NaN,75,78,74,71,NaN,61,61,64,NaN,NaN,60,60,NaN,NaN,NaN,NaN,NaN,73,63,63,80,63,73,NaN,61,NaN,78,63,79,87,NaN,NaN,NaN,60,83,80,NaN,NaN,NaN,NaN,83,60,NaN,NaN,NaN
401425043,76,81,70,NaN,85,74,79,67,65,79,NaN,76,66,62,NaN,NaN,80,NaN,60,NaN,74,69,79,NaN,73,NaN,69,79,NaN,73,80,NaN,83,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,79,NaN,60,NaN,NaN,NaN
401425044,100,NaN,77,87,79,73,NaN,NaN,93,98,90,83,87,87,NaN,NaN,NaN,NaN,95,90,NaN,75,98,NaN,96,88,90,NaN,96,80,90,93,NaN,NaN,98,95,NaN,90,NaN,88,NaN,NaN,95,64,NaN,90,NaN
401425045,80,83,71,NaN,90,62,84,NaN,63,76,88,NaN,63,63,75,NaN,NaN,NaN,70,NaN,NaN,68,71,NaN,NaN,NaN,73,88,NaN,64,66,NaN,84,66,75,79,NaN,78,NaN,NaN,73,94,NaN,75,NaN,NaN,NaN
401425046,89,NaN,63,88,70,71,76,NaN,67,79,75,NaN,66,60,NaN,88,NaN,NaN,NaN,77,NaN,75,89,69,92,NaN,76,NaN,90,75,81,89,NaN,NaN,NaN,NaN,85,83,79,NaN,NaN,NaN,83,95,NaN,NaN,NaN
401425047,91,80,66,NaN,71,77,NaN,NaN,88,86,87,NaN,78,78,NaN,NaN,NaN,67,NaN,83,NaN,79,93,89,NaN,NaN,75,90,NaN,70,86,NaN,87,NaN,NaN,95,87,81,NaN,NaN,84,80,NaN,72,NaN,NaN,NaN
401425048,89,NaN,60,85,79,72,NaN,67,67,75,90,NaN,64,62,NaN,NaN,NaN,NaN,81,87,NaN,68,74,71,75,NaN,68,NaN,87,68,81,95,NaN,NaN,72,60,NaN,82,NaN,NaN,NaN,NaN,87,60,NaN,NaN,NaN
401425049,93,81,61,NaN,NaN,83,71,NaN,78,84,NaN,NaN,69,68,NaN,84,67,NaN,75,NaN,NaN,78,87,87,NaN,NaN,77,87,NaN,69,89,NaN,86,88,NaN,73,85,78,NaN,NaN,68,87,NaN,83,81,NaN,NaN
401425050,80,NaN,77,86,74,70,82,62,67,NaN,75,NaN,63,63,70,NaN,NaN,NaN,NaN,81,NaN,60,73,NaN,69,NaN,60,NaN,91,62,90,87,NaN,NaN,NaN,72,NaN,76,60,NaN,NaN,NaN,83,46,NaN,NaN,60
401425051,87,80,79,NaN,NaN,92,99,94,98,NaN,95,NaN,95,81,NaN,NaN,NaN,NaN,95,91,99,84,92,NaN,NaN,88,79,92,NaN,99,92,NaN,89,97,96,94,NaN,81,NaN,88,82,87,NaN,70,NaN,NaN,NaN
401425052,82,NaN,65,88,78,75,NaN,78,92,90,87,NaN,75,76,NaN,NaN,NaN,84,84,89,NaN,80,97,95,81,86,91,NaN,90,89,92,91,NaN,NaN,NaN,NaN,86,84,NaN,89,NaN,NaN,86,67,NaN,85,NaN
401425055,67,NaN,70,NaN,NaN,64,77,69,NaN,NaN,NaN,NaN,70,64,NaN,NaN,NaN,NaN,85,NaN,NaN,60,73,75,NaN,NaN,67,86,NaN,77,80,NaN,83,89,84,87,NaN,76,NaN,NaN,68,82,NaN,69,NaN,NaN,NaN
401425056,NaN,NaN,64,87,NaN,77,69,70,NaN,66,72,NaN,69,78,NaN,NaN,65,NaN,77,NaN,NaN,72,67,NaN,60,NaN,60,NaN,84,75,90,87,NaN,NaN,76,85,NaN,89,NaN,NaN,NaN,NaN,76,65,80,NaN,NaN
