id,5261104@初級會計學（一）@1@1,5261104@初級會計學（一）@1@5,5262207@採購管理@1@1,5261105@初級會計學（二）@2@5,5261104@初級會計學（一）@1@4,5262100@中級會計學（一）@1@1,5263504@租稅法規@1@1,5261105@初級會計學（二）@2@4,5261608@資料庫管理@2@1,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262300@系統分析與設計@2@1,5263102@高級會計學（一）@1@1,5263106@成本及管理會計學（二）@1@1,5263605@企業資源規劃@1@1,5263615@中級會計學(三)@1@1,5264020@資訊安全與管理@1@1,5263002@企業分析與評價@2@1,5263108@高級會計學（二）@2@1,5263109@審計學（一）@2@1,5264000@會計資訊系統@2@1,5264001@審計學（二）@1@1,5264002@財務報表分析@1@1,5264019@電腦審計@1@1,5261611@商用軟體應用與設計@2@1,5262208@網頁應用與程式設計@2@1
401310029,90,NaN,78,80,NaN,76,71,NaN,84,78,75,79,92,85,86,84,86,91,78,93,90,94,85,77,-1,-1
401310028,NaN,99,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401310036,NaN,NaN,NaN,NaN,74,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
