id,5261104@初級會計學（一）@1@1,5261611@商用軟體應用與設計@1@1,5261888@學系服務學習@1@1,5262207@採購管理@1@1,5261105@初級會計學（二）@2@1,5261608@資料庫管理@2@1,5261609@統計學@2@1,5261888@學系服務學習@2@1,5262100@中級會計學（一）@1@1,5263504@租稅法規@1@1,5263605@企業資源規劃@1@1,5261105@初級會計學（二）@2@4,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262300@系統分析與設計@2@1,5263002@企業分析與評價@2@1,5263109@審計學（一）@2@1,5261104@初級會計學（一）@1@2,5262203@公司法@1@1,5263001@中級會計學(三)@1@1,5263102@高級會計學（一）@1@1,5263106@成本及管理會計學（二）@1@1,5264001@審計學（二）@1@1,5264002@財務報表分析@1@1,5264020@資訊安全與管理@1@1,5261105@初級會計學（二）@2@2,5261611@商用軟體應用與設計@2@1,5262205@政府會計@2@1,5262208@網頁應用與程式設計@2@1,5263108@高級會計學（二）@2@1,5264004@會計資訊系統@2@1
403526033,70,NaN,90,NaN,61,74,99,NaN,77,83,83,NaN,77,76,70,83,-1,NaN,65,90,83,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403526034,76,NaN,NaN,75,70,58,82,90,80,76,82,NaN,82,79,64,74,-1,NaN,NaN,85,76,78,NaN,NaN,79,NaN,NaN,-1,NaN,-1,-1
403526035,64,63,90,69,-1,63,47,NaN,60,64,63,49,-1,-1,-1,NaN,-1,NaN,60,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
403526037,85,67,90,77,90,75,95,NaN,88,93,84,NaN,88,89,73,76,-1,NaN,NaN,94,99,84,NaN,NaN,76,NaN,NaN,-1,NaN,-1,-1
403526038,50,NaN,NaN,76,47,67,93,90,70,70,80,NaN,71,77,73,75,-1,68,NaN,75,56,63,NaN,NaN,79,-1,NaN,NaN,NaN,-1,-1
403526040,73,NaN,NaN,71,67,78,83,90,84,88,87,NaN,86,80,71,NaN,-1,NaN,60,89,88,78,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526041,66,78,90,77,68,80,84,NaN,76,93,73,NaN,72,71,75,NaN,-1,NaN,64,86,75,76,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526042,60,NaN,NaN,68,-1,55,75,90,62,60,61,38,-1,-1,60,NaN,-1,NaN,60,NaN,NaN,64,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403526043,70,76,90,70,70,78,80,NaN,66,70,67,NaN,74,61,66,NaN,61,NaN,60,63,58,45,69,60,NaN,NaN,NaN,-1,NaN,-1,NaN
403526044,80,70,NaN,76,68,57,80,90,82,78,78,NaN,87,89,73,NaN,-1,NaN,63,87,84,83,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526045,71,78,90,70,45,66,80,NaN,12,24,44,NaN,20,14,35,NaN,NaN,NaN,NaN,NaN,NaN,16,NaN,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN
403526046,90,76,NaN,76,70,85,99,90,82,98,87,NaN,86,85,86,NaN,78,NaN,62,84,86,78,87,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403526047,61,75,90,89,53,80,82,NaN,62,73,72,84,76,80,75,NaN,-1,NaN,60,85,72,73,NaN,62,NaN,NaN,NaN,-1,NaN,-1,NaN
403526048,62,56,NaN,75,64,81,85,90,69,69,78,NaN,69,69,66,NaN,-1,NaN,68,81,60,72,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
403526049,80,NaN,90,83,86,80,99,NaN,81,79,80,NaN,73,83,76,NaN,-1,NaN,69,82,83,72,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526050,70,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403526051,80,NaN,90,78,70,79,90,NaN,66,78,79,NaN,63,72,73,NaN,-1,NaN,60,76,60,68,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403526052,60,69,NaN,83,50,65,78,90,67,78,80,73,65,65,60,NaN,-1,NaN,60,80,70,61,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526053,32,58,90,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403526054,38,30,NaN,82,50,62,69,90,51,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403526055,82,82,90,76,76,86,91,NaN,85,90,81,NaN,83,75,78,NaN,-1,NaN,60,91,88,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
403526056,66,NaN,NaN,80,63,69,91,90,72,83,74,NaN,60,71,60,NaN,-1,NaN,68,86,76,82,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
403526057,65,78,90,74,-1,72,60,NaN,62,68,81,29,64,65,-1,71,-1,NaN,60,81,74,67,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
