id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201024@個體經濟學@1@1,3201888@學系服務學習@1@1,3202032@性別與工作@1@1,3202043@勞工互助與合作@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201027@勞工關係實用英語@2@1,3201888@學系服務學習@2@1,3202026@勞工運動理論@2@1,3202034@組織理論@2@1,3202035@勞動法概論@2@1,3202039@總體經濟學@2@1,3202021@組織行為@1@1,3202031@就業安全理論與實務@1@1,3202038@人力資源發展@1@1,3202040@職業安全衛生法規@1@1,3202044@勞工教育與職業訓練@1@1,3203001@集體協商@1@1,3203002@勞動經濟學@1@1,3203029@薪資福利管理@1@1,3203032@勞資談判@1@1,3203043@國際勞工運動@1@1,3203053@國際人力資源管理@1@1,3201024@個體經濟學@2@1,3202004@勞動基準法@2@1,3202030@勞工保險理論與實務@2@1,3202032@性別與工作@2@1,3202037@統計學@2@1,3202041@企業倫理@2@1,3203031@勞資爭議處理@2@1,3203033@勞工政策@2@1,3203044@研究方法@2@1,3203047@績效考核與管理@2@1,3203059@國際遷移與勞動人權@2@1
404320040,73,86,88,74,NaN,NaN,NaN,NaN,77,60,73,NaN,88,-1,NaN,66,NaN,83,NaN,NaN,NaN,83,86,NaN,NaN,84,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320041,70,93,86,78,NaN,91,NaN,NaN,71,80,95,NaN,NaN,-1,NaN,70,-1,88,89,NaN,93,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320042,80,87,93,74,NaN,NaN,NaN,NaN,-1,73,68,NaN,80,NaN,NaN,NaN,-1,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320043,70,69,79,68,NaN,88,NaN,NaN,73,69,73,NaN,NaN,-1,NaN,67,NaN,85,NaN,NaN,75,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320044,73,76,72,79,NaN,NaN,NaN,NaN,63,66,68,85,80,NaN,NaN,NaN,-1,77,86,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320045,80,87,97,NaN,NaN,93,NaN,NaN,77,75,85,NaN,NaN,-1,NaN,64,-1,75,83,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320046,78,87,92,NaN,88,NaN,NaN,NaN,79,70,76,NaN,83,-1,NaN,68,-1,76,85,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
404320047,85,86,82,73,NaN,92,NaN,NaN,66,79,79,NaN,NaN,-1,NaN,63,-1,74,85,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320048,60,89,74,71,NaN,NaN,NaN,NaN,62,52,55,NaN,70,NaN,NaN,NaN,-1,68,86,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320049,82,93,90,NaN,NaN,93,NaN,NaN,74,78,83,NaN,NaN,NaN,NaN,75,-1,84,86,NaN,87,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1
404320050,80,83,91,NaN,94,NaN,NaN,NaN,66,74,70,76,95,NaN,NaN,NaN,NaN,65,NaN,77,NaN,NaN,NaN,NaN,76,NaN,NaN,82,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
404320051,84,90,97,82,NaN,92,NaN,NaN,73,78,83,NaN,NaN,NaN,74,NaN,90,80,86,NaN,90,85,NaN,NaN,NaN,82,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
404320052,86,96,87,85,100,NaN,NaN,NaN,87,88,94,NaN,93,NaN,NaN,62,85,90,90,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320053,71,76,86,80,NaN,91,NaN,NaN,86,92,82,NaN,NaN,-1,NaN,73,83,73,87,NaN,88,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
404320054,78,91,83,NaN,89,NaN,NaN,NaN,87,82,80,NaN,85,-1,75,NaN,-1,78,85,NaN,60,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404320055,77,89,83,80,NaN,93,NaN,NaN,-1,80,80,NaN,NaN,-1,NaN,58,NaN,82,85,NaN,66,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404320056,75,87,82,85,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,81,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1
404320057,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,16,85,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
