id,5355000@金融市場與機構@1@1,5355001@財務管理@1@1,5355102@國際金融@1@1,5355202@投資管理學@1@1,5355302@高階財務管理@1@1,5355409@計量經濟學@1@1,5355410@經濟數學@1@1,5355603@網路行銷策略@1@1,5355010@新興金融商品之創新與運用@2@1,5355102@國際金融@2@1,5355106@個體計量經濟學@2@1,5355107@貿易與外人投資專題@2@1,5355213@選擇權市場@2@1,5355301@投資分析@2@1,5355303@人力資源發展@2@1,5355404@投資實務@2@1,5355505@資訊安全管理@2@1
605535004,93,NaN,NaN,97,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,-1
605535005,85,85,NaN,71,NaN,82,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
605535008,81,85,NaN,71,NaN,90,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
605535009,83,85,NaN,79,NaN,75,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,-1
605535015,93,91,NaN,94,NaN,95,NaN,96,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
605535002,NaN,83,NaN,92,92,NaN,NaN,95,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
605535003,NaN,87,75,NaN,NaN,81,90,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
605535006,NaN,80,50,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
