id,5355000@金融市場與機構@1@1,5355001@財務管理@1@1,5355010@新興金融商品之創新與運用@1@1,5355101@會計數量方法@1@1,5355301@投資分析@2@1,5355404@投資實務@2@1,5355502@網路消費者行為@2@1,5355507@策略與資訊管理@2@1,5355203@金融風險與金控公司管理@1@1,5355302@高階財務管理@1@1,5355409@計量經濟學@1@1,5355102@國際金融@2@1
604535006,81,79,70,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604535007,93,85,88,93,94,85,87,95,90,93,91,-1
604535008,95,90,86,93,96,87,88,96,96,97,93,-1
604535010,80,80,77,88,91,82,86,94,93,95,92,-1
