id,4301002@計算機概論@1@1,4301002@計算機概論@1@2,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301005@邏輯設計@1@2,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4303013@電腦網路導論@1@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4302020@通訊工程導論@2@1,4304004@工程倫理@2@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303024@離散數學@1@1,4303033@電磁科技導論@1@1,4303035@演算法導論@1@1,4303042@數據通訊@1@1,4304004@工程倫理@1@1,4302005@資料結構@2@1,4302016@計算機組織@2@2,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303027@計算機結構@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303038@數位訊號處理導論@2@1,4303043@電力電子導論@1@1,4303044@影像處理導論@1@1,4304002@通訊系統專題（二）@1@1,4304003@電磁積體電路專題（二）@1@1,4304006@網路技術與應用專題（二）@1@1
401430008,NaN,64,78,NaN,86,NaN,67,NaN,50,NaN,NaN,NaN,79,90,68,54,NaN,94,74,53,60,90,76,NaN,80,NaN,NaN,75,NaN,85,64,54,NaN,90,NaN,70,NaN,78,71,NaN,NaN,80,NaN,68,85,NaN,NaN,NaN,80,68,NaN,92,NaN,NaN,NaN,88,NaN,70,NaN,NaN,NaN,NaN,NaN
401430009,NaN,78,76,67,NaN,90,63,60,NaN,82,NaN,NaN,NaN,NaN,71,46,NaN,79,72,75,45,NaN,NaN,89,72,NaN,NaN,76,NaN,82,66,69,85,NaN,62,72,93,80,NaN,NaN,NaN,NaN,73,76,NaN,NaN,NaN,89,NaN,71,NaN,NaN,79,NaN,76,NaN,86,NaN,NaN,82,NaN,NaN,NaN
401430010,NaN,87,86,NaN,79,NaN,75,NaN,68,NaN,NaN,NaN,95,90,61,60,NaN,89,82,NaN,76,90,83,71,NaN,63,NaN,68,NaN,87,67,63,77,NaN,NaN,76,84,61,NaN,NaN,71,NaN,55,72,NaN,NaN,NaN,NaN,NaN,60,90,NaN,NaN,NaN,71,NaN,90,NaN,NaN,NaN,NaN,NaN,92
401430012,NaN,80,88,NaN,66,NaN,60,NaN,31,NaN,NaN,70,NaN,90,69,NaN,64,79,74,78,NaN,88,60,NaN,NaN,74,NaN,NaN,NaN,96,69,NaN,NaN,81,NaN,81,NaN,NaN,60,68,NaN,64,NaN,NaN,88,NaN,60,NaN,60,NaN,NaN,92,68,NaN,NaN,98,NaN,87,NaN,NaN,NaN,NaN,NaN
401430015,NaN,69,77,NaN,76,90,65,NaN,75,NaN,NaN,90,NaN,NaN,92,60,NaN,89,76,79,NaN,90,68,79,77,NaN,85,94,NaN,96,68,57,72,NaN,NaN,83,71,76,NaN,NaN,85,NaN,91,85,NaN,NaN,88,79,NaN,NaN,NaN,NaN,72,NaN,69,NaN,80,NaN,NaN,NaN,NaN,NaN,90
401430022,NaN,74,80,NaN,70,NaN,73,NaN,60,NaN,NaN,NaN,76,90,72,NaN,NaN,82,60,33,60,89,50,62,62,NaN,76,48,NaN,82,88,NaN,83,NaN,60,64,NaN,75,NaN,NaN,NaN,NaN,63,75,78,NaN,NaN,NaN,NaN,96,88,NaN,NaN,82,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN
401430026,NaN,81,78,61,NaN,NaN,70,NaN,65,NaN,NaN,NaN,78,90,68,60,NaN,82,88,70,NaN,91,74,61,71,NaN,68,65,NaN,80,60,60,85,NaN,NaN,74,81,77,NaN,72,NaN,78,NaN,72,NaN,NaN,NaN,NaN,NaN,62,88,NaN,NaN,84,NaN,NaN,NaN,60,NaN,NaN,88,NaN,NaN
401430031,NaN,96,85,78,NaN,90,72,76,NaN,81,NaN,NaN,NaN,NaN,87,71,NaN,90,82,60,NaN,91,73,96,88,NaN,92,65,NaN,76,87,75,NaN,84,NaN,74,73,88,NaN,NaN,87,NaN,96,84,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,84,NaN,81,NaN,88,NaN,NaN,NaN,NaN,NaN,90
401430032,NaN,80,86,60,NaN,NaN,76,71,NaN,84,NaN,NaN,NaN,90,72,60,NaN,82,66,67,43,87,54,79,NaN,63,75,60,NaN,83,81,NaN,68,NaN,NaN,69,NaN,74,NaN,NaN,NaN,NaN,65,63,80,NaN,76,67,NaN,83,NaN,NaN,NaN,NaN,72,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
401430033,NaN,63,82,NaN,62,90,61,60,NaN,NaN,88,NaN,NaN,NaN,78,60,NaN,73,66,60,NaN,90,61,80,60,NaN,60,45,NaN,84,73,66,82,NaN,NaN,81,NaN,79,NaN,65,NaN,NaN,72,77,71,NaN,NaN,72,NaN,76,NaN,NaN,NaN,NaN,73,NaN,90,NaN,NaN,NaN,NaN,NaN,90
