id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202341@宋史（一）@1@1,1202449@美國現代文化史@1@1,1202823@日文（三）@1@1,1202901@古希臘文（一）@1@1,1203351@明史（一）@1@1,1203419@文藝復興史@1@1,1203629@北亞草原民族歷史與文化@1@1,1203691@明清文化史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202329@清史@2@1,1202342@宋史（二）@2@1,1203311@遼夏金史（一）@2@1,1203352@明史(二)@2@1,1203532@日本史（二）@2@1,1203564@德國文化史（二）@2@1,1204612@中國藝術史（二）@2@1,1204759@世界現代建築史與文化理論@2@1,1204959@博物館學@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202151@世界現代史（一）@1@1,1202231@台灣史（一）@1@1,1202311@魏晉南北朝史（一）@1@1,1202329@清史@1@1,1202331@中國現代史（一）@1@1,1202411@世界中古史（一）@1@1,1202583@俄國史(一)@1@1,1202822@日文（二）@1@1,1203312@遼夏金史（二）@1@1,1203421@世界近世文明史（一）@1@1,1203439@古代希臘史@1@1,1203532@日本史（二）@1@1,1203551@英國史（一）@1@1,1203639@世界古代法律與社會@1@1,1203711@中國史學史（一）@1@1,1204611@中國藝術史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204929@近代中國城市文化的變遷@1@1,1204979@藝術創作技法@1@1,1202152@世界現代史（二）@2@1,1202232@台灣史（二）@2@1,1202312@魏晉南北朝史（二）@2@1,1202332@中國現代史（二）@2@1,1202412@世界中古史（二）@2@1,1202584@俄國史(二)@2@1,1202699@中國經濟史@2@1,1202823@日文（三）@2@1,1203322@清史(二)@2@1,1203449@古代羅馬史@2@1,1203531@日本史（一）@2@1,1203552@英國史（二）@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1203829@鄉土史研究法@2@1,1204641@中國庶民文化史（一）@2@1,1204682@台灣藝術史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204841@中國歷史地理（一）@2@1,1204989@希臘羅馬神話與歷史@2@1,1202351@中國上古史（一）@1@1,1203161@史學方法（一）@1@1,1203371@秦漢史（一）@1@1,1203721@西洋史學史（一）@1@1,1203781@歷史日文（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203969@西域文明與敦煌文化@1@1,1204631@中國共產黨史（一）@1@1,1204692@西洋藝術史（二）@1@1,1204842@中國歷史地理（二）@1@1,1202821@日文（一）@2@1,1203162@史學方法（二）@2@1,1203372@秦漢史（二）@2@1,1203422@世界近世文明史（二）@2@1,1203809@三國史事與人物@2@1,1203852@滿文閱讀入門（二）@2@1,1204632@中國共產黨史（二）@2@1,1204801@從出土資料看漢唐文明(一)@2@1,1204949@《資治通鑑》選讀@2@1,1202141@中國近代史（一）@1@1,1202342@宋史（二）@1@1,1202352@中國上古史（二）@1@1,1203509@古代地中海史@1@1,1203513@臺灣近代史(一)@1@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1204691@西洋藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1204802@從出土資料看漢唐文明(二)@1@1,1204871@滿文文獻閱讀進階（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202531@美洲史(一)@2@1,1202651@中國政治制度史(一)@2@1,1202902@古希臘文(二)@2@1,1203431@世界上古史（一）@2@1,1203514@臺灣近代史(二)@2@1,1203629@北亞草原民族歷史與文化@2@1,1204692@西洋藝術史（二）@2@1,1204872@滿文文獻閱讀進階（二）@2@1,1204999@西洋政治思想史@2@1
402120024,62,64,83,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,66,87,80,NaN,73,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,80,NaN,NaN,NaN,NaN,82,NaN,NaN,78,NaN,NaN,85,NaN,NaN,NaN,NaN,64,91,NaN,90,NaN,NaN,70,NaN,NaN,NaN,78,NaN,-1,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,82,NaN,76,NaN,93,86,NaN,NaN,NaN,96,82,NaN,84,NaN,91,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120025,85,70,78,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,82,80,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,64,83,NaN,NaN,93,82,65,NaN,60,NaN,81,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,70,69,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,64,NaN,80,NaN,NaN,NaN,NaN,61,NaN,74,NaN,NaN,NaN,73,NaN,NaN,95,62,NaN,NaN,86,NaN,NaN,64,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120026,77,65,74,NaN,NaN,NaN,NaN,80,70,NaN,NaN,NaN,71,81,69,85,60,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,58,65,85,NaN,NaN,67,76,NaN,NaN,40,NaN,NaN,67,NaN,NaN,76,NaN,NaN,NaN,NaN,65,86,NaN,67,66,NaN,NaN,NaN,NaN,89,78,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,71,NaN,87,82,77,NaN,NaN,NaN,64,NaN,70,NaN,NaN,NaN,71,84,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,78,76,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120027,65,50,66,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120028,72,77,77,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,81,76,80,76,85,60,77,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,80,78,NaN,NaN,NaN,73,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,80,NaN,NaN,70,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,60,-1,-1,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,70,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120029,88,67,80,85,81,NaN,84,NaN,80,88,NaN,77,80,78,91,NaN,64,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,70,NaN,70,NaN,NaN,84,NaN,72,82,NaN,NaN,79,NaN,80,NaN,NaN,82,NaN,NaN,89,80,79,NaN,78,NaN,75,NaN,NaN,NaN,85,NaN,80,84,NaN,85,NaN,72,-1,NaN,NaN,NaN,86,79,NaN,84,NaN,85,NaN,NaN,77,NaN,NaN,63,64,45,NaN,NaN,66,NaN,NaN,NaN,NaN,90,NaN,80,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120030,76,68,92,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,70,61,80,80,48,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,61,88,NaN,NaN,NaN,NaN,NaN,NaN,40,NaN,NaN,76,NaN,75,72,NaN,NaN,NaN,NaN,-1,NaN,60,64,60,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,-1,NaN,NaN,65,NaN,63,NaN,88,NaN,NaN,72,NaN,NaN,NaN,NaN,75,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,91,75,NaN,80,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN,NaN
402120031,85,72,70,85,86,NaN,NaN,NaN,75,NaN,NaN,72,79,79,81,NaN,86,86,83,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,86,NaN,80,NaN,84,NaN,NaN,NaN,81,81,84,76,NaN,NaN,NaN,65,76,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,-1,NaN,85,NaN,NaN,NaN,84,80,NaN,72,NaN,NaN,NaN,NaN,NaN,87,NaN,84,NaN,79,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120032,88,66,83,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,83,77,80,87,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,84,74,83,84,84,74,NaN,NaN,NaN,84,85,NaN,NaN,NaN,NaN,NaN,90,NaN,80,NaN,84,68,70,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,78,NaN,88,NaN,NaN,89,81,NaN,NaN,70,70,NaN,83,87,NaN,NaN,93,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120033,86,67,79,85,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,78,75,NaN,NaN,81,NaN,NaN,74,NaN,85,NaN,NaN,NaN,NaN,71,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,81,81,71,75,NaN,NaN,80,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,68,NaN,NaN,NaN,74,NaN,84,NaN,70,NaN,NaN,73,NaN,80,NaN,NaN,NaN,NaN,69,NaN,NaN,67,NaN,79,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120034,82,80,70,NaN,85,NaN,NaN,NaN,80,NaN,NaN,71,77,80,85,90,70,81,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,81,74,NaN,NaN,82,NaN,79,86,82,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,78,NaN,80,60,78,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,85,NaN,84,NaN,NaN,95,82,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120035,73,60,70,95,85,NaN,NaN,NaN,NaN,74,NaN,NaN,67,76,65,NaN,NaN,49,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,60,86,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,62,NaN,NaN,NaN,NaN,NaN,NaN,-1,84,60,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,60,60,62,73,NaN,NaN,NaN,86,-1,NaN,NaN,NaN,60,NaN,60,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402120036,64,62,68,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,62,77,72,80,NaN,NaN,NaN,60,NaN,40,64,NaN,NaN,NaN,NaN,66,89,NaN,NaN,71,NaN,65,NaN,78,NaN,76,63,NaN,NaN,65,NaN,NaN,NaN,NaN,82,NaN,80,65,NaN,73,60,NaN,NaN,83,NaN,NaN,-1,NaN,61,72,75,NaN,NaN,NaN,NaN,75,NaN,78,70,NaN,71,NaN,NaN,NaN,73,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120037,78,67,66,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,70,72,NaN,NaN,NaN,62,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,87,NaN,NaN,62,NaN,67,71,73,NaN,79,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,79,NaN,65,NaN,NaN,NaN,NaN,NaN,86,71,NaN,-1,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,66,NaN,NaN,81,68,NaN,NaN,86,75,NaN,NaN,NaN,NaN,NaN,81,82,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,70,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120038,68,78,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,75,79,95,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120039,77,71,87,85,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,77,79,91,NaN,NaN,NaN,NaN,-1,93,NaN,88,84,84,NaN,NaN,65,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,83,NaN,NaN,NaN,70,81,87,NaN,91,75,73,NaN,-1,NaN,72,NaN,NaN,NaN,86,90,NaN,85,NaN,NaN,NaN,86,NaN,NaN,74,NaN,NaN,71,NaN,NaN,85,89,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,92,92,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402120040,77,82,89,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,84,85,81,90,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,91,94,NaN,77,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,84,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,76,NaN,75,-1,90,NaN,NaN,NaN,NaN,78,93,83,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402120041,86,68,93,95,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,85,70,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,89,NaN,NaN,71,90,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,69,83,NaN,NaN,NaN,NaN,-1,NaN,82,NaN,NaN,NaN,-1,NaN,88,NaN,NaN,NaN,NaN,85,NaN,83,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120042,92,92,86,NaN,NaN,NaN,NaN,NaN,NaN,87,88,NaN,87,77,80,90,77,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,89,80,81,NaN,NaN,86,NaN,78,NaN,87,NaN,NaN,NaN,88,NaN,89,NaN,NaN,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,69,NaN,NaN,90,NaN,NaN,NaN,NaN,74,-1,NaN,NaN,82,NaN,89,64,NaN,86,76,NaN,82,NaN,NaN,NaN,NaN,72,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120043,90,69,90,85,NaN,NaN,NaN,NaN,NaN,NaN,91,83,76,88,90,NaN,NaN,NaN,NaN,78,83,NaN,NaN,NaN,92,NaN,56,72,90,NaN,NaN,78,82,NaN,NaN,91,NaN,NaN,NaN,84,94,86,NaN,NaN,NaN,NaN,68,84,NaN,87,82,NaN,NaN,NaN,NaN,88,83,91,NaN,NaN,93,NaN,NaN,NaN,NaN,90,NaN,79,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,96,NaN,NaN,NaN,NaN,100,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120044,72,73,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,87,89,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120045,79,71,84,85,NaN,NaN,NaN,NaN,70,90,NaN,72,79,71,82,NaN,NaN,NaN,73,75,79,NaN,NaN,NaN,NaN,NaN,77,67,NaN,NaN,86,NaN,83,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,80,NaN,81,73,72,NaN,NaN,91,75,87,NaN,NaN,80,NaN,NaN,NaN,NaN,80,NaN,82,NaN,86,NaN,81,90,79,NaN,NaN,NaN,81,83,66,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120047,70,65,78,85,NaN,NaN,NaN,80,NaN,90,NaN,79,73,66,83,NaN,62,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,64,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,60,71,NaN,80,60,NaN,NaN,NaN,NaN,60,83,86,NaN,-1,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,74,NaN,NaN,76,NaN,NaN,NaN,NaN,70,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120048,83,66,74,NaN,NaN,0,NaN,NaN,NaN,83,NaN,NaN,70,62,73,80,60,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,54,74,88,NaN,NaN,NaN,NaN,NaN,82,NaN,79,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,60,60,84,NaN,68,NaN,NaN,NaN,NaN,62,NaN,72,NaN,-1,NaN,77,NaN,NaN,NaN,NaN,94,NaN,74,NaN,84,NaN,NaN,86,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1
402120049,75,62,84,85,NaN,NaN,NaN,NaN,88,NaN,NaN,75,74,69,77,NaN,NaN,84,NaN,80,73,NaN,NaN,NaN,NaN,NaN,74,69,54,NaN,NaN,NaN,74,50,NaN,NaN,NaN,NaN,79,NaN,NaN,63,80,65,NaN,NaN,65,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,62,NaN,-1,NaN,55,-1,-1,NaN,0,NaN,NaN,61,79,82,NaN,NaN,NaN,NaN,60,NaN,NaN,63,85,61,94,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,74,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120050,80,73,72,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,79,92,94,90,78,NaN,NaN,NaN,94,NaN,NaN,NaN,85,NaN,NaN,80,NaN,NaN,81,NaN,NaN,84,82,NaN,NaN,NaN,92,NaN,81,NaN,NaN,NaN,NaN,90,76,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,78,NaN,91,NaN,95,87,NaN,86,NaN,-1,68,NaN,78,NaN,96,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
402120051,77,64,76,90,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,77,78,NaN,75,NaN,NaN,NaN,NaN,NaN,79,NaN,89,88,84,67,NaN,NaN,85,NaN,74,NaN,NaN,NaN,NaN,NaN,79,NaN,84,74,76,NaN,NaN,79,72,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,88,74,89,NaN,NaN,78,78,NaN,NaN,74,NaN,NaN,74,NaN,NaN,NaN,83,NaN,83,NaN,NaN,NaN,78,NaN,66,NaN,91,NaN,90,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120055,82,89,91,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,86,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,94,NaN,75,NaN,NaN,84,NaN,NaN,NaN,NaN,80,NaN,NaN,95,NaN,NaN,79,NaN,80,NaN,NaN,85,NaN,80,NaN,81,NaN,NaN,NaN,NaN,86,NaN,87,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,79,NaN,92,NaN,NaN,NaN,87,NaN,NaN,92,82,NaN,85,NaN,NaN,85,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402120056,76,76,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,71,87,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,84,NaN,76,NaN,NaN,73,NaN,NaN,NaN,NaN,75,78,71,NaN,NaN,70,75,NaN,83,NaN,75,NaN,NaN,NaN,NaN,88,NaN,85,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,67,NaN,76,NaN,NaN,NaN,60,69,60,NaN,NaN,84,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120054,NaN,NaN,90,90,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,92,75,NaN,NaN,NaN,80,78,NaN,77,NaN,80,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,93,NaN,NaN,NaN,84,94,NaN,82,88,86,NaN,NaN,NaN,-1,NaN,NaN,NaN,94,NaN,90,91,NaN,80,NaN,85,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
