id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202231@台灣史（一）@1@1,1202691@藏族史（一）@1@1,1202821@日文（一）@1@1,1203161@史學方法（一）@1@1,1203341@隋唐史（一）@1@1,1203531@日本史（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203981@戰爭與記憶（一）@1@1,1204641@中國庶民文化史（一）@1@1,1204691@西洋藝術史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202232@台灣史（二）@2@1,1202412@世界中古史（二）@2@1,1202822@日文（二）@2@1,1202823@日文（三）@2@1,1203342@隋唐史（二）@2@1,1203359@明史@2@1,1203379@春秋戰國史@2@1,1203422@世界近世文明史（二）@2@1,1203564@德國文化史（二）@2@1,1203852@滿文閱讀入門（二）@2@1,1203982@戰爭與記憶（二）@2@1,1204439@世界上古史：古埃及卷@2@1,1204642@中國庶民文化史（二）@2@1,1202141@中國近代史（一）@1@1,1202151@世界現代史（一）@1@1,1202331@中國現代史（一）@1@1,1202449@美國現代文化史@1@1,1202901@古希臘文（一）@1@1,1203351@明史（一）@1@1,1203419@文藝復興史@1@1,1203563@德國文化史（一）@1@1,1204611@中國藝術史（一）@1@1,1204871@滿文文獻閱讀進階（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202152@世界現代史（二）@2@1,1202329@清史@2@1,1202332@中國現代史（二）@2@1,1203162@史學方法（二）@2@1,1203311@遼夏金史（一）@2@1,1203352@明史(二)@2@1,1203449@古代羅馬史@2@1,1203532@日本史（二）@2@1,1203969@西域文明與敦煌文化@2@1,1204612@中國藝術史（二）@2@1,1204759@世界現代建築史與文化理論@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202311@魏晉南北朝史（一）@1@1,1202329@清史@1@1,1202411@世界中古史（一）@1@1,1202583@俄國史(一)@1@1,1203312@遼夏金史（二）@1@1,1203421@世界近世文明史（一）@1@1,1203439@古代希臘史@1@1,1203532@日本史（二）@1@1,1203551@英國史（一）@1@1,1203639@世界古代法律與社會@1@1,1203711@中國史學史（一）@1@1,1203721@西洋史學史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1204929@近代中國城市文化的變遷@1@1,1202312@魏晉南北朝史（二）@2@1,1202584@俄國史(二)@2@1,1202699@中國經濟史@2@1,1203322@清史(二)@2@1,1203531@日本史（一）@2@1,1203552@英國史（二）@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1203829@鄉土史研究法@2@1,1204641@中國庶民文化史（一）@2@1,1204682@台灣藝術史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204841@中國歷史地理（一）@2@1,1204989@希臘羅馬神話與歷史@2@1,1202341@宋史（一）@1@1,1203781@歷史日文（一）@1@1,1203969@西域文明與敦煌文化@1@1,1204631@中國共產黨史（一）@1@1,1204692@西洋藝術史（二）@1@1,1204842@中國歷史地理（二）@1@1,1202821@日文（一）@2@1,1203809@三國史事與人物@2@1,1204632@中國共產黨史（二）@2@1,1204801@從出土資料看漢唐文明(一)@2@1,1204949@《資治通鑑》選讀@2@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1203431@世界上古史（一）@2@1,1203629@北亞草原民族歷史與文化@2@1
401120001,60,80,72,85,64,NaN,88,81,NaN,82,NaN,NaN,NaN,NaN,67,85,84,NaN,76,86,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,82,72,NaN,NaN,73,91,NaN,69,NaN,NaN,NaN,83,NaN,85,80,60,78,NaN,NaN,86,NaN,NaN,NaN,84,NaN,76,NaN,NaN,84,NaN,89,71,NaN,64,80,NaN,84,NaN,74,NaN,NaN,NaN,NaN,74,84,81,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120002,69,77,78,NaN,73,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,80,75,79,85,75,60,NaN,NaN,68,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,76,79,NaN,NaN,78,73,NaN,NaN,NaN,NaN,NaN,79,NaN,85,82,70,70,NaN,NaN,73,NaN,NaN,NaN,85,NaN,NaN,NaN,70,84,NaN,84,76,NaN,69,88,NaN,81,NaN,77,NaN,NaN,NaN,91,80,82,87,NaN,77,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120003,81,60,92,85,84,NaN,NaN,85,84,91,NaN,88,NaN,NaN,87,82,90,NaN,97,75,NaN,NaN,85,83,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,89,83,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,89,NaN,86,95,89,75,NaN,NaN,NaN,93,NaN,NaN,90,NaN,93,82,NaN,NaN,NaN,NaN,89,NaN,87,93,91,82,NaN,NaN,NaN,NaN,92,NaN,88,93,91,NaN,NaN,90,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120004,82,97,93,NaN,79,NaN,NaN,81,82,NaN,NaN,86,NaN,NaN,87,92,93,85,92,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,90,87,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,89,98,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,89,NaN,NaN,84,NaN,NaN,82,78,85,NaN,89,NaN,NaN,93,NaN,91,93,NaN,90,92,NaN,NaN,NaN,89,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120005,67,79,80,85,73,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,80,87,82,NaN,92,95,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,83,78,80,82,64,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,85,NaN,85,82,83,NaN,82,NaN,NaN,76,NaN,NaN,NaN,83,98,88,NaN,NaN,NaN,NaN,83,86,72,86,80,89,NaN,NaN,84,NaN,93,91,NaN,91,88,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120006,86,94,90,NaN,81,NaN,86,97,84,NaN,NaN,NaN,NaN,NaN,95,96,92,85,90,93,90,NaN,86,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,87,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,86,91,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,93,91,NaN,NaN,97,NaN,80,97,NaN,NaN,NaN,NaN,89,NaN,NaN,92,NaN,87,94,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401120007,81,79,78,85,74,NaN,NaN,85,NaN,87,NaN,86,NaN,NaN,80,84,82,NaN,94,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,65,88,83,NaN,NaN,73,NaN,NaN,84,NaN,NaN,76,92,NaN,89,93,NaN,NaN,NaN,87,87,85,NaN,97,NaN,84,NaN,82,NaN,92,NaN,NaN,83,NaN,75,86,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,90,89,NaN,NaN,NaN,88,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120008,74,91,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,87,84,85,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120010,76,75,76,NaN,69,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,75,82,81,85,83,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,62,85,75,68,NaN,85,NaN,NaN,80,NaN,NaN,80,84,NaN,89,78,75,NaN,82,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,90,NaN,74,92,81,89,NaN,NaN,86,NaN,NaN,NaN,NaN,87,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120011,74,73,89,85,76,NaN,NaN,86,83,NaN,84,83,79,NaN,80,81,88,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,92,NaN,87,80,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,86,85,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,87,90,NaN,NaN,86,NaN,75,87,NaN,86,NaN,NaN,75,NaN,NaN,88,NaN,93,87,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
