id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202231@台灣史（一）@1@1,1202691@藏族史（一）@1@1,1202821@日文（一）@1@1,1203161@史學方法（一）@1@1,1203341@隋唐史（一）@1@1,1203531@日本史（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203981@戰爭與記憶（一）@1@1,1204641@中國庶民文化史（一）@1@1,1204691@西洋藝術史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202232@台灣史（二）@2@1,1202412@世界中古史（二）@2@1,1202822@日文（二）@2@1,1202823@日文（三）@2@1,1203342@隋唐史（二）@2@1,1203359@明史@2@1,1203379@春秋戰國史@2@1,1203422@世界近世文明史（二）@2@1,1203564@德國文化史（二）@2@1,1203852@滿文閱讀入門（二）@2@1,1203982@戰爭與記憶（二）@2@1,1204439@世界上古史：古埃及卷@2@1,1204642@中國庶民文化史（二）@2@1,1202141@中國近代史（一）@1@1,1202151@世界現代史（一）@1@1,1202331@中國現代史（一）@1@1,1202449@美國現代文化史@1@1,1202901@古希臘文（一）@1@1,1203351@明史（一）@1@1,1203419@文藝復興史@1@1,1203563@德國文化史（一）@1@1,1204611@中國藝術史（一）@1@1,1204871@滿文文獻閱讀進階（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202152@世界現代史（二）@2@1,1202329@清史@2@1,1202332@中國現代史（二）@2@1,1203162@史學方法（二）@2@1,1203311@遼夏金史（一）@2@1,1203352@明史(二)@2@1,1203449@古代羅馬史@2@1,1203532@日本史（二）@2@1,1203969@西域文明與敦煌文化@2@1,1204612@中國藝術史（二）@2@1,1204759@世界現代建築史與文化理論@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202311@魏晉南北朝史（一）@1@1,1202329@清史@1@1,1202411@世界中古史（一）@1@1,1202583@俄國史(一)@1@1,1203312@遼夏金史（二）@1@1,1203421@世界近世文明史（一）@1@1,1203439@古代希臘史@1@1,1203532@日本史（二）@1@1,1203551@英國史（一）@1@1,1203639@世界古代法律與社會@1@1,1203711@中國史學史（一）@1@1,1203721@西洋史學史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1204929@近代中國城市文化的變遷@1@1,1202312@魏晉南北朝史（二）@2@1,1202584@俄國史(二)@2@1,1202699@中國經濟史@2@1,1203322@清史(二)@2@1,1203531@日本史（一）@2@1,1203552@英國史（二）@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1203829@鄉土史研究法@2@1,1204641@中國庶民文化史（一）@2@1,1204682@台灣藝術史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204841@中國歷史地理（一）@2@1,1204989@希臘羅馬神話與歷史@2@1,1202341@宋史（一）@1@1,1203781@歷史日文（一）@1@1,1203969@西域文明與敦煌文化@1@1,1204631@中國共產黨史（一）@1@1,1204692@西洋藝術史（二）@1@1,1204842@中國歷史地理（二）@1@1,1202821@日文（一）@2@1,1203809@三國史事與人物@2@1,1204632@中國共產黨史（二）@2@1,1204801@從出土資料看漢唐文明(一)@2@1,1204949@《資治通鑑》選讀@2@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1203431@世界上古史（一）@2@1,1203629@北亞草原民族歷史與文化@2@1
401120012,71,87,84,NaN,77,NaN,70,72,NaN,NaN,NaN,NaN,NaN,NaN,79,73,83,85,85,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,85,80,81,75,NaN,60,NaN,NaN,85,NaN,NaN,74,89,NaN,89,84,78,NaN,85,74,NaN,88,NaN,NaN,NaN,91,NaN,87,NaN,NaN,NaN,NaN,NaN,84,71,94,86,83,NaN,NaN,83,NaN,90,NaN,NaN,86,90,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120013,88,72,81,85,71,NaN,NaN,83,NaN,NaN,87,NaN,83,NaN,80,82,82,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,74,83,75,NaN,NaN,NaN,85,NaN,82,NaN,NaN,65,81,NaN,84,73,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,85,NaN,84,70,NaN,76,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,71,84,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,-1
401120015,82,97,82,85,75,NaN,86,79,83,NaN,86,NaN,NaN,NaN,88,95,86,NaN,90,76,NaN,NaN,79,NaN,NaN,NaN,NaN,86,NaN,NaN,91,NaN,88,87,78,NaN,NaN,84,NaN,85,90,NaN,NaN,89,NaN,85,76,72,NaN,NaN,NaN,90,81,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,89,93,NaN,80,92,86,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120016,74,76,86,NaN,76,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,86,75,79,85,88,NaN,NaN,NaN,68,65,NaN,70,NaN,NaN,NaN,NaN,87,NaN,93,83,71,NaN,NaN,NaN,NaN,93,NaN,90,NaN,93,NaN,86,75,NaN,NaN,NaN,NaN,NaN,94,94,82,NaN,NaN,80,89,85,NaN,NaN,88,NaN,NaN,72,87,NaN,87,NaN,NaN,86,NaN,90,NaN,NaN,88,88,NaN,NaN,NaN,80,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120017,60,70,77,85,64,NaN,NaN,79,73,NaN,NaN,NaN,NaN,NaN,65,76,72,NaN,70,60,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,63,NaN,NaN,75,NaN,NaN,65,NaN,NaN,NaN,81,NaN,86,67,72,65,NaN,86,82,71,NaN,NaN,84,NaN,67,NaN,68,78,NaN,NaN,75,NaN,62,81,NaN,82,NaN,77,NaN,NaN,NaN,89,80,85,81,NaN,69,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120018,68,84,81,NaN,72,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,81,81,73,85,85,90,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,90,83,76,NaN,70,NaN,NaN,85,NaN,NaN,NaN,91,NaN,87,86,83,NaN,86,NaN,NaN,83,NaN,NaN,NaN,90,NaN,83,NaN,NaN,NaN,NaN,NaN,81,75,86,86,89,NaN,NaN,82,NaN,NaN,93,NaN,87,86,NaN,NaN,88,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120019,85,91,90,85,86,NaN,NaN,91,80,NaN,NaN,96,NaN,NaN,91,94,94,NaN,100,97,NaN,NaN,87,NaN,NaN,NaN,94,NaN,NaN,NaN,91,86,95,89,NaN,NaN,NaN,95,NaN,88,NaN,NaN,68,92,NaN,90,94,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,97,93,NaN,NaN,NaN,NaN,95,NaN,88,95,93,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,94,94,NaN,NaN,94,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120020,77,73,81,NaN,71,NaN,NaN,74,61,NaN,NaN,NaN,80,NaN,70,65,81,85,86,64,NaN,NaN,69,NaN,90,NaN,88,NaN,NaN,NaN,80,NaN,92,60,49,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,84,NaN,72,64,NaN,NaN,64,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,71,NaN,66,76,NaN,80,NaN,NaN,NaN,NaN,NaN,89,77,84,83,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120021,79,89,88,85,80,NaN,NaN,85,83,87,NaN,NaN,83,NaN,87,95,84,NaN,86,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,94,79,81,NaN,68,NaN,NaN,89,NaN,NaN,NaN,87,NaN,90,93,88,NaN,86,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,86,85,75,90,87,89,NaN,NaN,90,NaN,NaN,NaN,NaN,90,91,85,NaN,92,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120022,60,86,71,NaN,72,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,66,70,78,85,72,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,75,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,82,72,NaN,75,NaN,78,88,NaN,NaN,NaN,86,NaN,NaN,NaN,81,NaN,80,NaN,86,NaN,72,88,NaN,88,NaN,84,NaN,NaN,NaN,86,82,86,83,NaN,75,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120023,60,90,72,85,82,NaN,NaN,84,NaN,NaN,NaN,NaN,86,NaN,79,86,79,NaN,90,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,82,84,78,91,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,84,NaN,89,90,71,NaN,NaN,83,87,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,83,NaN,NaN,82,NaN,71,84,NaN,90,NaN,NaN,NaN,NaN,NaN,88,80,86,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120024,83,96,72,NaN,73,70,NaN,87,NaN,NaN,NaN,NaN,86,NaN,87,88,75,85,89,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,93,84,93,89,85,72,NaN,NaN,NaN,NaN,84,NaN,NaN,90,85,NaN,85,94,84,NaN,86,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,89,NaN,73,95,88,89,NaN,NaN,NaN,NaN,NaN,93,89,88,94,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120028,70,81,88,NaN,73,89,NaN,82,74,NaN,NaN,NaN,NaN,NaN,77,80,84,85,88,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,89,80,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,90,NaN,86,77,82,NaN,82,NaN,89,77,NaN,NaN,NaN,NaN,NaN,83,NaN,89,86,86,86,83,69,88,85,NaN,NaN,NaN,NaN,NaN,NaN,89,84,83,87,NaN,NaN,89,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120029,62,69,79,85,65,NaN,NaN,75,72,84,NaN,90,NaN,NaN,63,84,81,NaN,80,50,NaN,NaN,60,65,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,80,61,NaN,NaN,50,NaN,NaN,12,NaN,NaN,NaN,83,NaN,78,74,66,NaN,82,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,67,NaN,84,75,NaN,62,NaN,67,64,68,75,NaN,NaN,NaN,NaN,NaN,NaN,79,84,87,NaN,NaN,74,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120030,71,67,85,NaN,85,91,NaN,90,92,NaN,NaN,NaN,87,NaN,82,78,89,85,93,NaN,NaN,NaN,86,NaN,NaN,95,91,NaN,NaN,NaN,NaN,NaN,96,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,92,NaN,80,83,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,84,NaN,77,NaN,80,89,NaN,90,NaN,91,NaN,NaN,NaN,93,NaN,93,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120031,77,93,82,85,NaN,NaN,NaN,77,NaN,NaN,NaN,86,78,NaN,72,67,84,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120032,66,91,84,NaN,81,NaN,NaN,91,NaN,NaN,NaN,NaN,93,NaN,87,93,80,85,94,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,94,84,96,87,NaN,NaN,NaN,94,NaN,93,NaN,NaN,93,93,NaN,84,99,90,NaN,85,NaN,NaN,96,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,86,95,NaN,83,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,94,90,94,NaN,NaN,NaN,NaN,87,78,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120033,50,70,72,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120035,87,93,85,85,72,90,NaN,78,NaN,NaN,NaN,NaN,85,NaN,83,82,85,NaN,80,95,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,91,NaN,90,94,82,68,NaN,85,NaN,NaN,NaN,NaN,NaN,86,89,NaN,89,84,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,86,NaN,93,NaN,NaN,82,NaN,78,86,NaN,86,NaN,NaN,NaN,90,NaN,NaN,NaN,89,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120036,77,76,79,NaN,66,NaN,NaN,84,NaN,NaN,NaN,83,NaN,NaN,75,78,88,85,86,87,NaN,NaN,NaN,NaN,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,88,80,78,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,85,76,79,83,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,91,84,NaN,NaN,NaN,NaN,84,NaN,77,82,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,86,79,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120037,66,71,86,85,71,NaN,97,67,NaN,NaN,NaN,NaN,NaN,85,72,66,84,NaN,85,85,92,95,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,84,66,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,86,NaN,90,63,NaN,NaN,85,82,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,88,NaN,NaN,75,NaN,69,69,NaN,86,NaN,81,NaN,NaN,NaN,NaN,79,77,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN
