id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202151@世界現代史（一）@1@1,1202311@魏晉南北朝史（一）@1@1,1202331@中國現代史（一）@1@1,1202583@俄國史(一)@1@1,1202822@日文（二）@1@1,1203439@古代希臘史@1@1,1203532@日本史（二）@1@1,1203721@西洋史學史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202312@魏晉南北朝史（二）@2@1,1202332@中國現代史（二）@2@1,1202584@俄國史(二)@2@1,1202699@中國經濟史@2@1,1202823@日文（三）@2@1,1203449@古代羅馬史@2@1,1203531@日本史（一）@2@1,1203722@西洋史學史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204989@希臘羅馬神話與歷史@2@1,1202231@台灣史（一）@1@1,1202341@宋史（一）@1@1,1202351@中國上古史（一）@1@1,1203161@史學方法（一）@1@1,1203351@明史（一）@1@1,1203371@秦漢史（一）@1@1,1203421@世界近世文明史（一）@1@1,1203531@日本史（一）@1@1,1203551@英國史（一）@1@1,1203639@世界古代法律與社會@1@1,1203711@中國史學史（一）@1@1,1203781@歷史日文（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203969@西域文明與敦煌文化@1@1,1204611@中國藝術史（一）@1@1,1204631@中國共產黨史（一）@1@1,1204692@西洋藝術史（二）@1@1,1204929@近代中國城市文化的變遷@1@1,1202152@世界現代史（二）@2@1,1202232@台灣史（二）@2@1,1202821@日文（一）@2@1,1203162@史學方法（二）@2@1,1203352@明史(二)@2@1,1203372@秦漢史（二）@2@1,1203422@世界近世文明史（二）@2@1,1203532@日本史（二）@2@1,1203552@英國史（二）@2@1,1203712@中國史學史（二）@2@1,1203809@三國史事與人物@2@1,1203852@滿文閱讀入門（二）@2@1,1204632@中國共產黨史（二）@2@1,1204801@從出土資料看漢唐文明(一)@2@1,1204949@《資治通鑑》選讀@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202141@中國近代史（一）@1@1,1202342@宋史（二）@1@1,1202352@中國上古史（二）@1@1,1202901@古希臘文（一）@1@1,1203419@文藝復興史@1@1,1203509@古代地中海史@1@1,1203513@臺灣近代史(一)@1@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1204691@西洋藝術史（一）@1@1,1204802@從出土資料看漢唐文明(二)@1@1,1204871@滿文文獻閱讀進階（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202531@美洲史(一)@2@1,1202651@中國政治制度史(一)@2@1,1202902@古希臘文(二)@2@1,1203431@世界上古史（一）@2@1,1203514@臺灣近代史(二)@2@1,1203629@北亞草原民族歷史與文化@2@1,1204612@中國藝術史（二）@2@1,1204682@台灣藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1,1204872@滿文文獻閱讀進階（二）@2@1,1204999@西洋政治思想史@2@1
403120011,80,63,85,90,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,69,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,72,NaN,94,75,NaN,NaN,NaN,90,93,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,75,NaN,84,NaN,NaN,93,NaN,81,-1,-1,NaN,NaN,NaN,NaN,93,NaN,83,100,90,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120012,72,68,86,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,78,NaN,83,67,68,76,90,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,71,76,NaN,80,NaN,NaN,51,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,78,NaN,-1,NaN,NaN,50,61,66,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403120013,89,87,85,90,NaN,NaN,81,NaN,NaN,NaN,NaN,91,92,89,73,75,83,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,75,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,74,NaN,NaN,82,69,NaN,NaN,NaN,NaN,81,73,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120014,62,67,83,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,83,NaN,NaN,68,65,85,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,77,80,NaN,76,NaN,NaN,49,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,-1,NaN,NaN,84,NaN,66,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403120015,67,86,89,90,NaN,NaN,NaN,NaN,NaN,86,NaN,95,NaN,NaN,84,81,89,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,-1,NaN,NaN,92,86,76,95,89,NaN,NaN,83,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,74,NaN,90,NaN,NaN,97,NaN,94,NaN,NaN,NaN,NaN,NaN,91,98,NaN,NaN,100,90,NaN,96,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403120016,73,70,86,NaN,84,NaN,89,NaN,NaN,NaN,NaN,72,84,89,70,72,85,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,83,NaN,92,NaN,NaN,70,NaN,84,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,79,NaN,NaN,73,79,NaN,71,NaN,-1,82,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120017,76,76,86,90,NaN,NaN,68,NaN,NaN,NaN,NaN,88,88,87,76,77,81,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,67,NaN,NaN,85,85,NaN,NaN,86,85,NaN,NaN,NaN,NaN,76,NaN,72,NaN,NaN,NaN,79,95,-1,78,NaN,80,77,83,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
403120018,67,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,86,67,64,84,90,NaN,-1,64,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,78,NaN,NaN,60,55,88,NaN,87,81,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,68,NaN,-1,NaN,80,NaN,74,70,NaN,NaN,NaN,78,88,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403120019,91,88,85,90,NaN,NaN,88,NaN,NaN,NaN,NaN,88,NaN,NaN,73,86,92,NaN,NaN,NaN,85,NaN,NaN,NaN,90,-1,NaN,NaN,NaN,81,NaN,95,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,93,NaN,83,80,NaN,NaN,NaN,74,95,-1,NaN,NaN,85,94,82,NaN,NaN,96,81,NaN,NaN,94,NaN,NaN,100,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
403120021,73,78,84,90,NaN,NaN,79,NaN,NaN,NaN,NaN,84,81,73,72,75,83,NaN,NaN,80,NaN,88,NaN,NaN,NaN,-1,NaN,NaN,NaN,63,84,NaN,74,80,NaN,78,70,87,NaN,NaN,NaN,80,NaN,74,NaN,NaN,NaN,NaN,68,NaN,-1,NaN,NaN,70,NaN,78,NaN,79,90,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,85,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN
