id,5201001@企業概論@1@1,5201001@企業概論@1@3,5201010@初級會計學(一)@1@2,5202007@民法概要@1@1,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5201002@管理學@2@1,5201002@管理學@2@3,5201007@線性代數@2@1,5201009@商用軟體應用與設計@2@1,5201011@初級會計學(二)@2@2,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@2,5203083@領導學@2@1
404330041,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330010,NaN,84,74,85,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404330028,NaN,NaN,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330021,90,NaN,93,NaN,92,90,-1,NaN,-1,-1,NaN,-1,NaN,-1,-1
404330045,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404330018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404330039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
