id,1105753@我是誰?：自傳文學專題研究@2@1,1106948@故事學專題@2@1,1105343@漢語詞彙學專題研究@1@1,1105925@現代文學專題：存在體驗與現代性@1@1,1105969@近現代婦女文學與報刊文化專題研究@1@1,1106591@死亡視域與文學書寫專題研究@1@1,1106947@通俗文學與文化@1@1,1106951@六朝志怪小說專題@1@1,1105756@敘事文學專題研究@2@1,1105757@「旅行與地景」文學專題研究@2@1,1105945@近現代小說理論專題@2@1,1106189@中國哲學專題研究@2@1,1106409@春秋學專題研究@2@1,1105493@經學史研究@1@1,1105924@現代文學專題：愛慾、傷廢與暴力@1@1,1106810@中國文學史專題研究@1@1,1106877@中國小說史專題研究@1@1,1105024@歐美漢學文獻專題@2@1,1105263@西周金文專題研究@2@1,1105656@宋明理學史專題研究@2@1,1105970@俗文學專題研究@2@1
604110006,88,90,NaN,NaN,NaN,84,89,88,91,NaN,NaN,90,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604110002,NaN,NaN,93,NaN,89,NaN,NaN,92,90,NaN,87,NaN,NaN,92,NaN,91,92,NaN,-1,NaN,-1
604110004,NaN,NaN,NaN,80,NaN,NaN,83,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604110011,NaN,NaN,NaN,88,NaN,78,87,72,90,90,80,NaN,NaN,92,NaN,93,NaN,NaN,NaN,-1,NaN
604110012,NaN,NaN,NaN,88,90,88,91,NaN,90,NaN,91,86,NaN,92,88,90,NaN,-1,NaN,NaN,NaN
