id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@2,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@2,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5152020@統計學（一）@1@1,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153173@金融倫理學@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154210@投資組合分析@1@1,5154400@風險管理與保險@1@1,5151013@經濟學原理（二）@2@1,5152021@統計學（二）@2@1,5152101@財務管理（二）@2@3,5152200@投資學@2@1,5152300@貨幣銀行@2@1,5152400@商用軟體應用與設計@2@2,5153174@企業價值評估@2@1,5154180@國際財務管理@2@2,5154313@資本市場與基金組合管理@2@1,5154320@投資銀行@2@1,5154340@實質選擇權@2@1,5154661@財務預測@2@1,5153010@總體經濟學@1@2,5153300@金融市場與機構@1@1,5153340@期貨與選擇權@1@2,5154170@財務管理個案研究@1@1,5154170@財務管理個案研究@1@2,5154171@高階財務管理@1@1,5154441@不動產概論@1@1,5152101@財務管理（二）@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@1,5154411@人身風險與退休規畫@2@1,5154172@財務金融個案研究@1@1,5154172@財務金融個案研究@1@2,5154220@證券分析@1@1,5154314@金融風險與金控公司管理@1@1,5154171@高階財務管理@2@1,5154350@國際金融市場@1@1
400515040,60,NaN,NaN,NaN,77,60,82,NaN,NaN,70,NaN,NaN,80,NaN,NaN,78,80,67,NaN,67,NaN,73,60,72,60,NaN,76,NaN,67,NaN,76,NaN,84,NaN,NaN,NaN,69,81,NaN,NaN,NaN,NaN,NaN,81,95,NaN,87,NaN,89,NaN,NaN,NaN,NaN
400515041,49,NaN,83,NaN,79,60,NaN,NaN,NaN,70,NaN,71,74,NaN,NaN,78,76,79,90,NaN,NaN,76,69,NaN,67,NaN,84,NaN,NaN,NaN,69,NaN,78,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,66,88,NaN,NaN,NaN,83,NaN,NaN,77,NaN
400515042,64,NaN,NaN,73,68,64,80,NaN,89,55,NaN,NaN,NaN,NaN,NaN,74,75,88,NaN,78,71,78,NaN,NaN,NaN,NaN,70,NaN,65,NaN,NaN,NaN,NaN,NaN,92,NaN,64,NaN,NaN,NaN,NaN,NaN,80,78,77,77,84,NaN,88,73,NaN,NaN,NaN
400515043,60,NaN,80,84,79,67,NaN,NaN,75,74,NaN,NaN,NaN,NaN,NaN,73,76,83,67,69,67,68,NaN,NaN,NaN,NaN,81,NaN,88,NaN,76,NaN,67,94,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,81,84,NaN,NaN,NaN,NaN,NaN
400515044,76,NaN,NaN,60,57,62,NaN,82,35,47,NaN,NaN,NaN,NaN,NaN,50,71,87,NaN,NaN,60,NaN,60,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400515045,80,NaN,80,NaN,77,62,NaN,NaN,NaN,66,NaN,73,70,NaN,NaN,85,76,86,NaN,73,70,NaN,60,66,67,NaN,84,NaN,NaN,NaN,NaN,98,75,90,66,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,91,NaN,NaN,NaN,83,NaN
400515046,84,NaN,NaN,92,84,84,80,NaN,93,88,NaN,NaN,NaN,NaN,NaN,99,86,100,NaN,85,92,NaN,NaN,NaN,NaN,NaN,94,NaN,88,NaN,95,NaN,NaN,NaN,94,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN
400515047,74,NaN,80,65,NaN,68,NaN,NaN,65,73,83,NaN,NaN,72,NaN,76,75,68,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,64,NaN,80,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,75,NaN,89,NaN,NaN,NaN,68,NaN
400515048,68,NaN,NaN,NaN,73,62,80,NaN,69,69,NaN,61,84,NaN,NaN,75,69,81,NaN,66,NaN,79,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,78,72,NaN,NaN,NaN,NaN,NaN,66,91,NaN,80,NaN,77,NaN,NaN,NaN,NaN
400515049,64,80,NaN,70,NaN,42,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,72,NaN,54,41,NaN,NaN,NaN,NaN,68,70,NaN,77,NaN,NaN,62,NaN,NaN,NaN,61,62,60,NaN,NaN,NaN,61,NaN,NaN,NaN,60,NaN,NaN,76,NaN,60,NaN,72
