id,1101084@寫作指導：散文@1@1,1101211@詩選及習作（一）@1@1,1101311@語言學概論（一）@1@1,1101411@國學導讀（一）@1@1,1101618@臺灣民俗（一）@1@1,1101811@文學概論（一）@1@1,1101846@戲劇概論@1@1,1101888@學系服務學習@1@1,1101934@書法基礎入門@1@1,1102052@水墨創作：山水@1@1,1102270@神話學@1@1,1102527@封神演義@1@1,1103260@魯迅文學作品選讀@1@1,1103311@聲韻學（一）@1@1,1103826@周易@1@1,1101085@寫作指導：小說@2@1,1101113@中國哲學概論@2@1,1101212@詩選及習作（二）@2@1,1101312@語言學概論（二）@2@1,1101412@國學導讀（二）@2@1,1101619@臺灣民俗（二）@2@1,1101812@文學概論（二）@2@1,1101888@學系服務學習@2@1,1101933@書道與日常應用@2@1,1102043@篆刻藝術@2@1,1102153@史記@2@1,1102162@孟子：雄辯身影@2@1,1102510@曲選及習作@2@1,1102661@台灣現代主義小說選讀@2@1,1103255@西方現代文學理論@2@1,1103312@聲韻學（二）@2@1,1103421@左傳@2@1,1103834@法家與時代轉型@2@1,1104152@畢業製作與展演@2@1,1104218@東周列國志@2@1
405110030,86,83,88,84,74,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110031,82,74,76,68,NaN,82,83,70,93,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110036,86,81,91,72,79,89,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110037,87,79,NaN,88,NaN,85,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
405110042,86,84,NaN,73,NaN,70,58,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405110050,87,77,NaN,68,73,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110003,NaN,82,91,65,NaN,89,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110005,NaN,83,NaN,86,83,92,95,85,NaN,93,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
405110008,NaN,80,NaN,79,NaN,92,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110009,NaN,76,NaN,70,NaN,89,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405110010,NaN,81,91,83,NaN,84,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110012,NaN,84,NaN,87,95,87,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110013,NaN,80,71,71,NaN,86,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110015,NaN,78,93,76,63,80,NaN,84,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110017,NaN,76,NaN,73,73,84,NaN,83,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405110018,NaN,69,NaN,54,NaN,79,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110019,NaN,79,NaN,69,NaN,89,75,80,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110024,NaN,72,86,61,NaN,80,56,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110025,NaN,58,NaN,73,NaN,70,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110026,NaN,78,91,78,75,88,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110028,NaN,81,NaN,87,NaN,89,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110032,NaN,92,91,83,NaN,93,NaN,NaN,93,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110034,NaN,76,NaN,75,61,79,NaN,NaN,NaN,80,86,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405110035,NaN,79,NaN,72,53,80,NaN,85,89,78,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110039,NaN,78,NaN,94,NaN,86,NaN,80,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110040,NaN,78,NaN,74,NaN,90,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110041,NaN,82,93,85,67,84,NaN,86,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110043,NaN,84,83,78,NaN,86,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110044,NaN,84,NaN,88,78,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110045,NaN,55,60,55,NaN,65,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405110046,NaN,80,88,49,61,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110047,NaN,83,NaN,77,69,83,NaN,84,91,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110048,NaN,83,NaN,82,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110049,NaN,78,NaN,74,69,89,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110052,NaN,84,NaN,81,NaN,94,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110053,NaN,85,NaN,92,NaN,84,NaN,83,92,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405110051,NaN,NaN,NaN,86,NaN,85,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
