id,1101084@寫作指導：散文@1@1,1101211@詩選及習作（一）@1@1,1101311@語言學概論（一）@1@1,1101411@國學導讀（一）@1@1,1101618@臺灣民俗（一）@1@1,1101811@文學概論（一）@1@1,1101846@戲劇概論@1@1,1101888@學系服務學習@1@1,1101934@書法基礎入門@1@1,1102052@水墨創作：山水@1@1,1102270@神話學@1@1,1102527@封神演義@1@1,1103260@魯迅文學作品選讀@1@1,1103311@聲韻學（一）@1@1,1103826@周易@1@1,1101085@寫作指導：小說@2@1,1101113@中國哲學概論@2@1,1101212@詩選及習作（二）@2@1,1101312@語言學概論（二）@2@1,1101412@國學導讀（二）@2@1,1101619@臺灣民俗（二）@2@1,1101812@文學概論（二）@2@1,1101888@學系服務學習@2@1,1101933@書道與日常應用@2@1,1102043@篆刻藝術@2@1,1102153@史記@2@1,1102162@孟子：雄辯身影@2@1,1102510@曲選及習作@2@1,1102661@台灣現代主義小說選讀@2@1,1103255@西方現代文學理論@2@1,1103312@聲韻學（二）@2@1,1103421@左傳@2@1,1103834@法家與時代轉型@2@1,1104152@畢業製作與展演@2@1,1104218@東周列國志@2@1
405110001,85,80,89,82,NaN,92,NaN,83,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110004,70,78,NaN,68,65,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110006,86,75,NaN,84,64,84,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110007,76,79,81,63,NaN,74,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110011,82,83,NaN,80,NaN,85,NaN,90,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405110014,84,73,NaN,70,73,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110021,80,75,90,69,NaN,84,NaN,70,NaN,NaN,86,NaN,NaN,77,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
405110023,75,75,NaN,24,NaN,85,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110027,86,76,89,85,71,87,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405110029,85,83,NaN,70,71,89,NaN,85,92,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
