id,4301004@邏輯設計實驗@1@1,4302002@電子學（一）@1@2,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302018@數位系統設計@1@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303013@電腦網路導論@1@1,4304002@通訊系統專題（二）@1@1,4304003@電磁積體電路專題（二）@1@1,4304004@工程倫理@1@1,4304007@智慧型手機程式設計@1@1,4301001@線性代數@2@2,4301003@程式設計@2@1,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302015@機率@2@1,4302016@計算機組織@2@1,4302016@計算機組織@2@2,4302017@電磁學（一）@2@1,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303027@計算機結構@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303034@通訊工程導論@2@1,4301005@邏輯設計@1@2,4303035@演算法導論@1@1,4301001@線性代數@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4301002@計算機概論@1@1,4301005@邏輯設計@1@1,4301007@通訊工程導論@1@1,4301006@程式設計實習@2@1,4301002@計算機概論@1@2,4302001@電路學（一）@1@1,4302001@電路學（一）@1@2,4302002@電子學（一）@1@1,4302003@電工實驗（一）@1@1,4302004@微分方程@1@2,4302009@FPGA數位設計實驗@1@1,4301003@程式設計@2@2,4301006@程式設計實習@2@2,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302013@電工實驗（二）@2@1,4303016@電磁積體電路專題（一）@2@1
497430023,76,NaN,NaN,83,NaN,50,75,NaN,NaN,93,NaN,NaN,61,94,NaN,70,65,NaN,69,70,60,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,83,NaN,92,NaN,NaN,NaN,68,75,NaN,65,72,77,86,NaN,72,NaN,60,80,85,77,NaN,NaN,60,NaN,89,NaN
497430024,78,NaN,NaN,66,NaN,NaN,71,71,80,79,NaN,NaN,86,85,NaN,64,70,60,NaN,74,35,64,NaN,NaN,NaN,83,NaN,NaN,NaN,81,NaN,90,NaN,NaN,NaN,60,69,NaN,80,65,76,69,NaN,70,NaN,75,81,73,78,NaN,NaN,NaN,61,90,NaN
497430030,80,NaN,NaN,81,NaN,NaN,62,69,76,74,NaN,NaN,77,94,NaN,72,62,60,NaN,64,NaN,NaN,81,NaN,NaN,76,71,NaN,88,NaN,NaN,NaN,NaN,69,NaN,60,NaN,NaN,43,47,73,90,69,NaN,84,84,65,76,NaN,NaN,NaN,NaN,68,76,NaN
497430035,65,NaN,NaN,NaN,92,NaN,88,70,NaN,82,NaN,NaN,84,97,NaN,60,NaN,68,NaN,82,NaN,NaN,NaN,NaN,NaN,93,97,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,94,68,NaN,91,75,80,60,NaN,NaN,67,68,72,62,84,NaN,NaN,NaN,79,70,NaN
497430037,62,NaN,NaN,95,NaN,NaN,74,NaN,NaN,92,NaN,NaN,65,85,NaN,79,NaN,NaN,60,96,78,NaN,NaN,74,NaN,85,NaN,NaN,NaN,78,NaN,92,NaN,NaN,NaN,65,77,NaN,90,60,80,87,NaN,68,NaN,84,90,94,93,NaN,NaN,NaN,99,94,NaN
497430041,92,80,71,88,NaN,76,82,NaN,80,86,NaN,NaN,84,93,NaN,84,81,NaN,85,82,80,NaN,85,NaN,NaN,93,NaN,NaN,NaN,82,NaN,90,NaN,NaN,NaN,70,NaN,NaN,91,88,88,89,NaN,73,NaN,NaN,90,NaN,96,NaN,NaN,NaN,90,96,NaN
497430048,63,NaN,NaN,66,NaN,NaN,64,73,84,75,NaN,NaN,79,94,NaN,63,72,60,NaN,66,NaN,NaN,NaN,NaN,NaN,63,68,NaN,90,NaN,NaN,NaN,NaN,69,NaN,88,76,NaN,25,45,69,81,60,NaN,82,67,66,79,NaN,NaN,NaN,NaN,67,76,NaN
497430005,60,64,71,NaN,62,NaN,66,NaN,77,66,NaN,NaN,NaN,NaN,NaN,62,41,81,11,52,NaN,32,68,NaN,NaN,71,70,NaN,88,NaN,NaN,NaN,NaN,55,NaN,68,NaN,NaN,60,66,80,87,NaN,NaN,62,NaN,85,42,NaN,NaN,NaN,66,NaN,81,NaN
497430004,70,NaN,NaN,67,NaN,NaN,71,80,NaN,85,NaN,NaN,81,NaN,NaN,60,76,60,NaN,74,NaN,85,78,71,NaN,89,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,60,60,77,65,NaN,NaN,68,60,60,68,84,NaN,NaN,NaN,70,77,NaN
497430009,81,NaN,NaN,81,NaN,57,79,NaN,78,82,NaN,NaN,84,NaN,NaN,68,69,NaN,83,70,71,NaN,NaN,77,NaN,92,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,77,75,NaN,61,75,75,63,NaN,NaN,76,74,90,80,95,NaN,NaN,NaN,79,94,NaN
497430015,77,88,47,62,NaN,NaN,NaN,NaN,NaN,38,NaN,NaN,76,NaN,NaN,73,13,73,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,90,NaN,81,NaN,60,83,NaN,67,20,72,84,NaN,74,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN
497430017,69,NaN,72,66,NaN,51,65,63,86,73,NaN,NaN,82,NaN,NaN,60,80,NaN,66,68,NaN,NaN,NaN,NaN,NaN,69,86,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,60,69,NaN,45,60,64,47,69,73,NaN,82,83,NaN,89,NaN,79,75,NaN,89,NaN
497430018,76,NaN,NaN,66,NaN,NaN,73,86,78,74,NaN,NaN,NaN,NaN,NaN,60,79,60,NaN,66,NaN,NaN,NaN,NaN,94,79,83,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,73,84,NaN,60,68,80,60,NaN,72,NaN,62,92,71,97,NaN,NaN,60,NaN,98,NaN
497430019,77,NaN,NaN,71,NaN,68,65,73,72,66,NaN,NaN,NaN,NaN,NaN,64,77,70,NaN,90,49,95,NaN,NaN,NaN,94,94,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,87,80,NaN,70,73,74,70,NaN,70,NaN,69,78,73,84,NaN,NaN,74,NaN,88,NaN
497430032,71,NaN,NaN,60,NaN,NaN,66,61,72,68,NaN,NaN,NaN,NaN,NaN,70,78,60,NaN,62,NaN,NaN,NaN,NaN,NaN,84,87,NaN,90,NaN,NaN,NaN,NaN,48,NaN,78,68,NaN,40,62,76,86,NaN,60,NaN,60,75,71,NaN,NaN,NaN,65,NaN,74,NaN
497430036,91,81,71,82,NaN,67,88,NaN,93,90,NaN,NaN,86,NaN,NaN,71,85,NaN,84,68,85,NaN,93,NaN,NaN,97,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,92,84,81,77,NaN,78,NaN,NaN,90,NaN,96,NaN,NaN,NaN,84,96,NaN
497430043,87,NaN,NaN,91,NaN,65,92,NaN,95,92,NaN,NaN,86,NaN,NaN,65,98,NaN,86,78,74,NaN,87,NaN,NaN,99,93,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,75,74,78,64,NaN,NaN,90,78,85,93,94,NaN,NaN,84,NaN,94,NaN
497430049,89,71,77,76,NaN,67,75,77,83,81,NaN,NaN,83,NaN,NaN,69,80,NaN,85,76,78,NaN,86,NaN,NaN,92,89,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,60,79,85,68,NaN,73,NaN,NaN,92,NaN,97,NaN,NaN,NaN,77,98,NaN
