id,4301002@計算機概論@1@1,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4302005@資料結構@2@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302016@計算機組織@2@2,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302020@通訊工程導論@2@1
404430040,63,77,62,NaN,-1,NaN,74,NaN,NaN,NaN,90,81,60,NaN,65,75,60,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430042,39,76,NaN,NaN,60,62,NaN,56,NaN,NaN,NaN,84,61,NaN,65,74,60,NaN,47,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430043,66,89,62,80,69,NaN,62,NaN,89,NaN,NaN,NaN,79,52,NaN,92,66,51,NaN,93,69,-1,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430044,88,91,61,NaN,69,71,NaN,NaN,NaN,68,NaN,81,83,60,NaN,85,76,NaN,67,90,50,NaN,-1,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1
404430045,67,68,78,75,62,69,NaN,61,NaN,NaN,NaN,NaN,67,NaN,42,79,71,NaN,NaN,90,49,-1,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1
404430046,94,90,97,NaN,90,NaN,89,NaN,NaN,NaN,92,85,93,93,NaN,92,84,NaN,77,94,85,NaN,-1,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1
404430047,75,82,73,75,48,NaN,71,NaN,88,NaN,NaN,NaN,62,48,NaN,76,62,63,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430048,41,75,NaN,NaN,60,NaN,64,NaN,72,NaN,NaN,80,66,19,NaN,76,51,NaN,32,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430049,77,92,61,80,73,85,NaN,NaN,NaN,84,NaN,NaN,77,52,NaN,92,73,86,NaN,95,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430050,36,69,64,NaN,-1,57,-1,35,NaN,NaN,-1,75,73,37,NaN,91,52,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430051,74,73,64,80,73,70,NaN,62,NaN,NaN,NaN,NaN,68,33,NaN,80,61,NaN,50,93,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430052,60,68,63,NaN,60,63,NaN,NaN,NaN,-1,NaN,82,76,NaN,30,81,37,12,NaN,95,24,-1,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1
404430055,75,83,88,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
404430056,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,96,NaN,95,97,NaN,NaN,95,83,-1,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,-1
