id,2605211@高等有機化學（一）@1@1,2605237@生化分子@1@1,2605266@有機反應與機制@1@1,2605307@高等無機化學@1@1,2605317@固態化學@1@1,2605417@高等量子化學@1@1,2605441@光譜應用（一）@1@1,2605507@光譜化學分析與化學計量學@1@1,2605527@分離方法@1@1,2605717@工業觸媒化學@1@1,2605901@有機化學書報討論（一）@1@1,2605905@無機化學書報討論（一）@1@1,2605909@物理化學書報討論（一）@1@1,2605913@分析化學書報討論（一）@1@1,2605202@有機合成（二）@2@1,2605242@有機光譜分析化學（二）@2@1,2605257@綠色合成化學@2@1,2605269@藥物生化@2@1,2605328@有機金屬化學@2@1,2605338@無機光譜化學@2@1,2605422@化學動力學（二）@2@1,2605457@計算化學@2@1,2605519@電分析與感測器@2@1,2605531@生物分析化學（一）@2@1,2605707@奈米材料科學@2@1,2605728@應用化學專論@2@1,2605921@有機化學書報討論（二）@2@1,2605925@無機化學書報討論（二）@2@1,2605929@物理化學書報討論（二）@2@1,2605933@分析化學書報討論（二）@2@1,2605242@有機光譜分析化學（二）@1@1,2605328@有機金屬化學@1@1,2605528@化學生物學@1@1,2605902@有機化學書報討論（三）@1@1,2605906@無機化學書報討論（三）@1@1,2605910@物理化學書報討論（三）@1@1,2605914@分析化學書報討論（三）@1@1,2605211@高等有機化學（一）@2@1,2605317@固態化學@2@1,2605922@有機化學書報討論（四）@2@1,2605926@無機化學書報討論（四）@2@1,2605930@物理化學書報討論（四）@2@1,2605934@分析化學書報討論（四）@2@1
604260020,NaN,NaN,NaN,NaN,76,NaN,84,NaN,NaN,73,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,86,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,-1,NaN
604260056,NaN,NaN,NaN,NaN,81,NaN,84,NaN,NaN,78,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,91,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,NaN
604260023,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,80,77,77,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604260041,NaN,NaN,NaN,NaN,NaN,84,81,NaN,NaN,74,NaN,NaN,85,NaN,NaN,NaN,NaN,67,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,82,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,NaN
604260051,NaN,NaN,NaN,NaN,NaN,74,83,NaN,NaN,79,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,83,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,-1,NaN
604260053,NaN,NaN,NaN,NaN,NaN,76,85,NaN,NaN,85,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,78,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,NaN
604260064,NaN,NaN,NaN,31,NaN,87,83,NaN,NaN,81,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,88,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,70,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,-1,NaN
604260070,NaN,82,NaN,NaN,NaN,84,82,NaN,NaN,85,NaN,NaN,85,NaN,NaN,NaN,76,51,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,NaN
604260008,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604260003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,96,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,91,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1
604260004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,97,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1
604260007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,94,NaN,NaN,NaN,83,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,90,79,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,-1
604260011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,96,76,NaN,NaN,NaN,84,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,-1
604260013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,91,91,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,71,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,-1
604260014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,97,86,NaN,NaN,NaN,79,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,88,79,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,-1
604260017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,78,89,81,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604260018,NaN,89,NaN,NaN,NaN,NaN,NaN,86,80,74,NaN,NaN,NaN,77,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,73,86,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,-1
604260032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,99,95,NaN,NaN,NaN,80,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,95,94,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,-1
604260050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,96,80,NaN,NaN,NaN,84,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,76,94,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1
604260059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,92,93,80,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604260071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,73,70,NaN,NaN,NaN,79,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,77,78,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,-1
604260010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,-1
604260072,NaN,NaN,84,NaN,NaN,NaN,NaN,84,NaN,87,84,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
604260066,NaN,NaN,NaN,45,NaN,NaN,NaN,NaN,NaN,65,NaN,72,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
