id,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351888@學系服務學習@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351016@創意與設計概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2,3351021@媒介與社會@2@1,3351888@學系服務學習@2@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352023@廣告概論@1@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352026@科普媒體實習@2@1,3352027@科普媒體設計@2@1,3352028@廣告心理與行銷@2@1,3353005@虛擬傳播專題@2@1,3352022@流行音樂與社會@1@1,3352029@影像寫作@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353004@數位整合媒介專題@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3354013@另類媒體研究@1@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353018@音樂、影像與展演@2@1,3353020@公共關係實務@2@1,3353021@紀錄片與專題製作@2@1,3354002@推廣製作專題@1@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3351029@基礎聲音製作@2@1,3352032@國際傳播@2@1,3354016@畢業製作@2@1,3353022@華人電影專題研究@1@1
400335032,76,NaN,77,85,81,75,80,NaN,84,78,74,83,NaN,89,76,80,NaN,76,NaN,94,83,NaN,NaN,71,84,NaN,84,75,NaN,NaN,NaN,76,NaN,NaN,NaN,91,91,NaN,NaN,88,NaN,84,NaN,99,94,85,NaN,NaN,94,NaN,88,84,NaN,NaN,NaN,NaN,NaN
400335033,89,83,NaN,85,NaN,85,85,80,86,77,81,NaN,87,NaN,86,NaN,76,NaN,85,NaN,87,NaN,NaN,84,NaN,89,86,84,NaN,NaN,NaN,NaN,92,80,NaN,95,95,NaN,NaN,88,NaN,NaN,NaN,92,95,84,NaN,NaN,96,NaN,NaN,86,83,NaN,NaN,84,NaN
400335034,80,NaN,81,87,NaN,NaN,87,NaN,91,78,80,83,NaN,89,77,80,NaN,73,NaN,92,85,NaN,89,75,NaN,87,87,83,80,86,91,NaN,NaN,NaN,NaN,92,92,NaN,NaN,89,84,NaN,NaN,84,93,84,NaN,NaN,94,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
400335035,81,84,NaN,86,80,NaN,87,80,89,77,80,83,89,NaN,87,NaN,NaN,91,84,NaN,87,87,84,81,NaN,91,86,90,86,88,88,NaN,NaN,NaN,NaN,96,96,NaN,NaN,87,NaN,NaN,87,90,96,NaN,87,NaN,NaN,NaN,NaN,86,86,NaN,NaN,86,NaN
400335036,78,83,NaN,85,80,81,84,NaN,84,72,NaN,83,NaN,90,70,80,NaN,84,NaN,92,86,81,NaN,76,NaN,91,84,78,NaN,NaN,NaN,77,NaN,78,NaN,97,97,NaN,NaN,88,NaN,NaN,NaN,83,95,84,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
400335037,73,80,NaN,85,NaN,83,83,80,85,75,81,82,86,NaN,94,NaN,84,NaN,83,NaN,85,NaN,NaN,77,NaN,91,87,85,NaN,NaN,NaN,NaN,NaN,78,NaN,97,97,NaN,NaN,88,NaN,NaN,NaN,100,92,85,NaN,NaN,NaN,88,NaN,85,83,NaN,NaN,84,NaN
400335040,73,NaN,81,86,NaN,84,84,NaN,89,77,76,84,NaN,87,63,80,NaN,81,NaN,93,83,85,NaN,79,NaN,90,87,76,NaN,NaN,NaN,77,NaN,85,NaN,95,95,NaN,NaN,84,NaN,NaN,NaN,99,94,82,NaN,NaN,95,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
400335041,85,85,NaN,89,NaN,NaN,88,80,90,75,NaN,85,60,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400335042,91,NaN,81,88,84,NaN,90,NaN,91,79,81,87,86,NaN,88,80,NaN,88,NaN,91,80,NaN,NaN,NaN,NaN,83,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400335043,74,81,NaN,87,80,82,84,80,85,82,NaN,88,86,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400335044,81,NaN,80,88,NaN,NaN,77,NaN,86,71,77,83,NaN,87,82,80,NaN,76,NaN,92,82,NaN,78,82,NaN,87,84,84,NaN,87,92,80,NaN,NaN,NaN,95,95,NaN,NaN,89,NaN,NaN,NaN,92,91,85,NaN,NaN,94,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
400335045,88,83,NaN,88,82,NaN,84,80,85,84,78,88,84,NaN,83,NaN,79,NaN,85,NaN,85,NaN,NaN,82,NaN,86,NaN,87,81,NaN,89,NaN,NaN,89,NaN,96,96,NaN,NaN,89,NaN,NaN,79,95,93,NaN,87,89,NaN,NaN,NaN,85,85,NaN,NaN,86,NaN
400335046,75,NaN,84,88,NaN,NaN,89,NaN,89,79,NaN,84,NaN,88,85,80,NaN,87,NaN,92,84,82,88,81,NaN,89,87,86,NaN,86,91,82,NaN,NaN,NaN,95,95,NaN,NaN,89,88,NaN,NaN,92,96,85,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
400335047,81,84,NaN,86,NaN,84,80,80,89,81,82,NaN,87,NaN,77,NaN,NaN,86,82,NaN,84,NaN,80,80,NaN,92,84,83,NaN,NaN,91,79,NaN,NaN,NaN,95,95,72,NaN,88,NaN,NaN,NaN,92,95,84,86,NaN,NaN,NaN,88,83,NaN,NaN,NaN,NaN,NaN
400335048,90,NaN,82,85,NaN,86,91,NaN,86,79,77,88,85,NaN,72,80,79,NaN,83,NaN,82,NaN,70,81,87,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,85,NaN,93,93,85,NaN,86,NaN,NaN,NaN,93,93,NaN,84,NaN,94,NaN,NaN,84,82,NaN,NaN,NaN,NaN
400335049,89,84,NaN,88,NaN,84,86,80,85,88,81,87,87,NaN,83,NaN,72,NaN,85,NaN,87,NaN,73,NaN,NaN,87,NaN,82,85,NaN,88,NaN,NaN,90,NaN,97,97,NaN,NaN,90,NaN,NaN,NaN,97,93,NaN,87,NaN,94,NaN,NaN,86,87,NaN,NaN,89,NaN
