id,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351013@戲劇概論@1@1,3351015@文選@1@1,3351022@社會學與傳播@1@1,3351023@基礎影像製作@1@1,3351023@基礎影像製作@1@2,3351024@傳播概論@1@1,3351888@學系服務學習@1@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351025@創意短片製作@2@1,3351026@新聞採訪寫作@2@1,3351027@基礎資訊製作@2@1,3351027@基礎資訊製作@2@2,3351028@心理學與傳播@2@1,3351029@基礎聲音製作@2@1,3351888@學系服務學習@2@1,3352032@國際傳播@2@1,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352028@廣告心理與行銷@1@1,3352033@傳播倫理@1@1,3352035@政治學與傳播@1@1,3352036@影音新聞製作@1@1,3352038@進階影像製作@1@1,3353022@華人電影專題研究@1@1,3351026@新聞採訪寫作@2@2,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352039@經濟學與傳播@2@1,3352040@整合新聞製作@2@1,3353018@音樂、影像與展演@2@1
404335028,NaN,83,89,NaN,NaN,NaN,88,90,NaN,84,NaN,NaN,84,NaN,90,85,86,88,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335030,NaN,80,NaN,NaN,88,NaN,84,88,NaN,83,80,84,78,83,NaN,90,80,82,NaN,69,NaN,NaN,NaN,86,80,84,NaN,80,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404335032,NaN,82,NaN,NaN,NaN,NaN,88,87,NaN,78,82,82,NaN,NaN,90,86,91,91,NaN,79,NaN,80,NaN,95,84,NaN,NaN,84,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
404335036,NaN,77,88,NaN,82,NaN,86,76,NaN,82,74,84,83,NaN,39,81,86,60,NaN,79,88,81,NaN,NaN,78,NaN,83,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN
404335038,NaN,81,NaN,NaN,85,NaN,83,76,NaN,86,77,NaN,72,NaN,80,87,75,88,NaN,84,NaN,76,NaN,93,88,80,85,81,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
404335040,NaN,82,87,83,82,NaN,83,81,NaN,81,82,83,84,NaN,87,NaN,80,88,NaN,84,86,NaN,74,NaN,80,NaN,82,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
404335042,NaN,83,NaN,NaN,84,NaN,88,89,NaN,88,83,84,-1,86,NaN,99,89,89,NaN,77,NaN,81,NaN,95,82,NaN,NaN,84,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
404335044,NaN,82,NaN,85,NaN,NaN,87,86,NaN,82,82,83,83,NaN,90,77,88,82,NaN,78,NaN,NaN,NaN,84,87,NaN,81,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
404335046,NaN,82,90,NaN,86,NaN,86,88,NaN,85,84,83,84,89,NaN,78,82,80,NaN,88,NaN,NaN,NaN,91,90,NaN,NaN,82,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404335048,NaN,82,88,NaN,80,NaN,83,79,NaN,76,81,82,NaN,NaN,85,79,82,60,NaN,86,NaN,79,NaN,89,85,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
404335050,NaN,81,89,NaN,84,NaN,85,92,NaN,77,83,87,78,84,NaN,81,84,88,NaN,73,86,NaN,NaN,86,88,NaN,NaN,80,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
404335052,NaN,84,NaN,85,85,NaN,81,87,NaN,77,NaN,NaN,81,83,NaN,NaN,88,88,81,NaN,86,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335054,NaN,82,87,85,81,NaN,85,69,NaN,82,NaN,88,83,NaN,84,81,80,88,NaN,80,88,NaN,NaN,NaN,83,NaN,84,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
404335001,51,NaN,NaN,NaN,NaN,78,NaN,85,80,77,NaN,NaN,-1,NaN,83,67,-1,NaN,NaN,60,NaN,NaN,64,NaN,86,NaN,68,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
