id,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3353004@數位整合媒介專題@1@1,3351016@創意與設計概論@2@1,3351021@媒介與社會@2@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352020@傳播心理與效果@2@1,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3353005@虛擬傳播專題@2@1,3351019@傳播外文@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3353018@音樂、影像與展演@1@1,3354001@傳播倫理@1@1,3354002@推廣製作專題@1@1,3354013@另類媒體研究@1@1,3351014@電影概論@2@1,3352026@科普媒體實習@2@1,3352028@廣告心理與行銷@2@1,3353006@深度報導@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353014@網路文化@2@1,3353015@媒體思辨@2@1,3353019@健康傳播@2@1,3352029@影像寫作@1@1,3354003@資訊製作專題@1@1,3354011@傳播產業經營與管埋@1@1,3354015@畢業製作（一）@1@1,3352031@廣告創意與製作@2@1,3353020@公共關係實務@2@1,3354016@畢業製作@2@1,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351017@廣告概論@1@1,3352011@電腦中介傳播@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351011@音樂概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2
499335037,86,NaN,85,93,NaN,84,NaN,87,NaN,NaN,80,77,NaN,84,83,NaN,89,68,86,79,85,NaN,73,95,95,NaN,85,NaN,NaN,NaN,NaN,80,NaN,NaN,84,96,96,87,NaN,NaN,NaN,NaN,77,97,NaN,85,NaN,NaN,87,80,85,NaN,NaN,NaN,87,83,NaN,86,NaN
499335045,83,NaN,NaN,70,NaN,84,NaN,82,NaN,NaN,NaN,79,NaN,84,46,NaN,90,71,81,79,83,NaN,67,91,91,84,81,NaN,NaN,NaN,NaN,80,NaN,NaN,82,93,93,85,NaN,NaN,NaN,NaN,NaN,91,76,84,NaN,NaN,87,78,83,NaN,NaN,NaN,75,80,NaN,85,NaN
499335047,84,NaN,NaN,74,NaN,82,NaN,76,90,NaN,NaN,76,NaN,84,64,NaN,90,68,84,81,NaN,63,61,91,91,85,87,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,93,93,86,NaN,NaN,NaN,NaN,NaN,91,76,88,NaN,NaN,89,76,82,NaN,NaN,NaN,74,78,NaN,84,NaN
499335004,87,NaN,NaN,NaN,76,NaN,91,81,90,NaN,NaN,78,NaN,NaN,76,NaN,91,70,85,83,86,90,65,91,91,NaN,88,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,94,94,87,NaN,NaN,NaN,89,NaN,97,78,NaN,NaN,NaN,NaN,79,NaN,81,NaN,NaN,87,89,NaN,NaN,80
499335006,90,NaN,NaN,NaN,90,86,NaN,88,92,87,NaN,NaN,NaN,NaN,82,NaN,93,79,90,83,NaN,NaN,79,94,94,NaN,91,NaN,NaN,NaN,NaN,84,NaN,NaN,82,95,95,91,NaN,NaN,84,NaN,NaN,97,NaN,87,NaN,NaN,88,83,NaN,85,88,NaN,82,86,NaN,NaN,81
499335008,84,NaN,NaN,NaN,78,NaN,88,80,91,80,NaN,NaN,NaN,87,76,NaN,90,68,82,73,NaN,NaN,71,92,92,NaN,85,NaN,NaN,NaN,NaN,75,NaN,NaN,84,94,94,84,NaN,NaN,NaN,NaN,NaN,93,NaN,84,NaN,NaN,84,74,NaN,79,NaN,NaN,70,83,NaN,NaN,81
499335010,85,NaN,NaN,NaN,88,NaN,85,84,NaN,82,NaN,69,NaN,88,84,NaN,93,64,85,75,NaN,NaN,60,95,95,NaN,77,85,NaN,NaN,NaN,83,NaN,NaN,84,97,97,84,NaN,NaN,NaN,NaN,93,98,NaN,88,NaN,NaN,90,78,NaN,77,NaN,NaN,85,84,NaN,NaN,80
499335014,86,NaN,NaN,NaN,85,NaN,86,80,NaN,86,NaN,83,NaN,83,82,NaN,90,85,88,78,84,NaN,78,93,93,NaN,88,NaN,NaN,NaN,NaN,82,NaN,NaN,84,95,95,88,NaN,NaN,78,NaN,NaN,98,NaN,87,NaN,NaN,86,81,NaN,82,NaN,NaN,88,84,NaN,NaN,80
499335016,85,NaN,NaN,NaN,83,NaN,87,84,NaN,78,NaN,75,NaN,86,79,NaN,91,76,85,85,81,NaN,70,98,98,82,89,NaN,NaN,NaN,NaN,81,NaN,NaN,84,98,98,87,NaN,93,81,NaN,94,94,NaN,87,NaN,NaN,88,78,NaN,77,NaN,NaN,82,82,NaN,NaN,83
499335019,86,NaN,NaN,NaN,83,NaN,90,82,90,86,NaN,NaN,NaN,84,61,NaN,91,60,87,80,86,80,67,95,95,80,86,NaN,NaN,NaN,NaN,82,NaN,NaN,82,95,95,85,NaN,NaN,NaN,NaN,NaN,91,77,87,NaN,NaN,87,77,85,NaN,67,NaN,79,83,NaN,85,NaN
499335020,87,NaN,NaN,NaN,84,NaN,89,86,91,87,NaN,NaN,NaN,86,79,86,NaN,79,88,89,86,94,76,96,96,NaN,89,NaN,NaN,NaN,NaN,80,NaN,NaN,84,98,98,90,NaN,NaN,74,NaN,NaN,96,80,84,NaN,NaN,86,78,NaN,77,74,NaN,88,81,77,NaN,81
499335022,88,NaN,78,NaN,83,NaN,89,86,91,86,NaN,NaN,NaN,NaN,79,NaN,90,84,86,82,81,NaN,73,96,96,NaN,NaN,NaN,85,NaN,NaN,82,NaN,NaN,84,97,97,87,NaN,NaN,NaN,NaN,NaN,97,80,NaN,NaN,NaN,NaN,77,NaN,81,NaN,NaN,87,89,NaN,NaN,86
499335023,86,NaN,73,NaN,80,85,NaN,84,NaN,NaN,NaN,74,NaN,86,77,NaN,92,74,88,80,85,NaN,65,92,92,NaN,90,NaN,NaN,83,85,83,NaN,NaN,NaN,93,93,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,80,87,NaN,NaN,74,85,82,NaN,87,NaN
499335024,88,NaN,NaN,NaN,88,86,NaN,85,91,94,NaN,NaN,NaN,NaN,45,NaN,93,NaN,NaN,88,83,NaN,75,91,91,NaN,89,NaN,NaN,NaN,NaN,80,NaN,NaN,85,95,95,91,NaN,NaN,72,NaN,NaN,97,NaN,86,NaN,NaN,86,78,NaN,74,82,NaN,70,84,NaN,NaN,81
499335025,87,NaN,NaN,NaN,94,86,NaN,86,93,84,NaN,NaN,NaN,NaN,77,NaN,93,79,89,87,NaN,NaN,66,92,92,NaN,91,NaN,NaN,NaN,NaN,84,NaN,NaN,81,94,94,91,NaN,NaN,NaN,NaN,NaN,98,NaN,89,NaN,NaN,90,79,85,NaN,90,NaN,87,86,NaN,88,NaN
499335026,89,NaN,91,NaN,84,NaN,87,89,NaN,NaN,NaN,NaN,97,NaN,45,88,NaN,80,NaN,87,85,91,73,91,91,NaN,93,NaN,NaN,NaN,88,82,NaN,NaN,NaN,92,92,88,NaN,NaN,87,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,82,NaN,80,77,NaN,78,82,NaN,NaN,80
499335028,87,NaN,71,NaN,82,NaN,89,84,NaN,NaN,NaN,83,NaN,85,47,NaN,92,NaN,NaN,81,86,NaN,73,95,95,88,93,NaN,NaN,NaN,NaN,80,NaN,NaN,85,94,94,85,NaN,NaN,87,NaN,NaN,98,83,NaN,NaN,NaN,NaN,77,NaN,80,NaN,76,80,86,81,NaN,87
499335029,87,NaN,NaN,NaN,82,77,NaN,78,92,92,NaN,NaN,NaN,87,67,NaN,92,73,86,74,87,NaN,68,92,92,86,85,NaN,NaN,NaN,NaN,75,NaN,NaN,82,94,94,85,NaN,75,64,NaN,NaN,91,78,85,NaN,NaN,85,73,84,NaN,75,NaN,80,86,NaN,85,NaN
499335031,88,NaN,79,NaN,96,86,NaN,88,NaN,87,NaN,NaN,NaN,NaN,81,NaN,90,NaN,89,87,81,NaN,71,95,95,84,92,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,94,94,87,NaN,NaN,NaN,85,NaN,98,NaN,88,NaN,NaN,86,80,85,NaN,86,NaN,92,87,85,88,NaN
499335035,85,NaN,83,NaN,88,81,NaN,91,91,76,NaN,NaN,86,NaN,82,84,NaN,NaN,NaN,74,NaN,38,77,91,91,NaN,88,NaN,NaN,87,NaN,82,NaN,NaN,NaN,92,92,NaN,91,NaN,NaN,85,NaN,NaN,86,NaN,87,94,NaN,82,83,NaN,NaN,NaN,90,87,NaN,86,NaN
499335038,86,NaN,NaN,NaN,78,NaN,83,83,NaN,78,NaN,81,NaN,NaN,70,84,NaN,78,85,85,NaN,NaN,55,95,95,NaN,85,NaN,NaN,87,NaN,78,NaN,NaN,NaN,94,94,88,NaN,NaN,NaN,89,NaN,NaN,87,NaN,87,94,NaN,76,NaN,72,NaN,NaN,78,79,NaN,NaN,81
499335040,86,NaN,NaN,NaN,99,NaN,84,89,NaN,87,NaN,84,98,NaN,88,93,NaN,94,91,90,84,91,77,96,96,NaN,92,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,94,94,92,NaN,94,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,85,83,NaN,83,NaN,NaN,89,89,NaN,NaN,80
499335041,87,NaN,NaN,NaN,78,79,NaN,84,NaN,NaN,NaN,79,NaN,83,77,NaN,86,80,84,82,86,91,69,93,93,78,89,NaN,NaN,85,NaN,82,NaN,NaN,80,90,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,85,NaN,NaN,NaN,81,87,NaN,84,NaN
499335042,86,NaN,NaN,NaN,89,NaN,87,86,NaN,NaN,NaN,76,NaN,83,78,NaN,87,83,86,85,86,91,67,92,92,80,86,NaN,NaN,84,NaN,84,NaN,NaN,80,90,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,81,NaN,NaN,82,84,NaN,NaN,80
499335043,86,NaN,NaN,NaN,76,86,NaN,80,93,82,NaN,NaN,NaN,89,84,NaN,92,56,84,84,NaN,NaN,73,96,96,NaN,92,NaN,NaN,NaN,NaN,82,NaN,NaN,84,95,95,88,NaN,90,NaN,NaN,NaN,97,NaN,86,NaN,NaN,86,82,85,NaN,NaN,NaN,86,85,NaN,87,NaN
499335044,87,NaN,85,NaN,91,NaN,83,88,NaN,90,NaN,76,NaN,NaN,88,93,NaN,82,NaN,84,86,NaN,78,93,93,88,NaN,NaN,NaN,NaN,87,80,NaN,NaN,NaN,96,96,NaN,86,NaN,86,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,83,NaN,82,NaN,NaN,88,90,NaN,NaN,81
499335011,84,NaN,NaN,84,NaN,84,NaN,85,NaN,NaN,NaN,75,NaN,87,82,NaN,88,82,84,84,83,87,76,93,93,80,87,NaN,NaN,NaN,NaN,80,NaN,NaN,84,94,94,84,NaN,NaN,NaN,NaN,NaN,93,NaN,90,NaN,NaN,90,75,83,NaN,NaN,NaN,74,81,NaN,86,NaN
499335015,85,NaN,NaN,87,NaN,86,NaN,84,NaN,86,NaN,NaN,NaN,85,80,NaN,90,77,86,87,85,NaN,77,95,95,88,90,NaN,NaN,NaN,86,84,NaN,NaN,81,96,96,92,NaN,NaN,NaN,NaN,NaN,97,NaN,90,NaN,NaN,91,82,85,NaN,86,NaN,86,84,NaN,86,NaN
499335005,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,84,NaN,NaN,NaN,90,89,NaN,85,NaN
499335049,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,84,NaN,NaN,NaN,86,80,NaN,87,NaN
