id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102025@民法親屬@1@1,6103071@法制史（一）@1@1,6104026@法律規訓與專業倫理（三）@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101057@法學英文@2@1,6101888@學系服務學習@2@1,6102026@民法繼承@2@1,6104028@多元文化與全球社會@2@1,6104075@法律倫理學@2@1,6101095@拉丁法諺（一）@1@1,6102001@法學方法論@1@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6102062@德文（一）@1@1,6103096@國際公法案例研究@1@1,6104076@多元文化與全球正義（一）@1@1,6101096@拉丁法諺(二)@2@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102061@日文（二）@2@1,6102063@德文（二）@2@1,6102065@法學英文 (二)@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6104009@法理學（二）@2@1,6104029@多元文化與全球社會 (二)@2@1,6104036@生命、自由與尊嚴的思辨 (二)@2@1,6103022@票據法@1@1,6103025@民法債編各論（一）@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103057@日文法學名著選讀（一）@1@1,6103083@公平交易法@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6104061@刑法實例演習（一）@1@1,6104080@網際網路：全球文化及跨國規範@1@1,6104084@新移民、弱勢族群與人性尊嚴（一）@1@1,6103026@民法債編各論（二）@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103090@國際環境法@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104062@刑法實例演習（二）@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1,6102050@刑法總則理論演習@1@1,6104014@國際私法@1@1,6102082@日文（二）@2@1,6104093@法律實習@2@1,6102064@法學英文（一）@1@1,6103077@刑法總則理論演習（二）@1@1
401610035,68,78,73,87,91,83,NaN,NaN,82,88,80,81,NaN,NaN,78,90,82,NaN,91,68,74,79,79,63,86,95,NaN,NaN,NaN,80,77,78,65,NaN,92,NaN,95,79,78,NaN,NaN,76,NaN,82,80,NaN,NaN,70,78,78,NaN,NaN,NaN,NaN,82,86,83,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610036,90,85,95,95,NaN,96,NaN,NaN,94,90,85,86,NaN,91,89,92,87,90,93,100,90,91,92,87,86,NaN,93,NaN,85,98,87,91,87,NaN,NaN,NaN,92,89,92,NaN,NaN,88,84,84,87,NaN,99,95,92,92,94,NaN,NaN,NaN,93,90,97,94,88,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN
401610037,85,77,67,80,95,79,89,NaN,74,70,80,60,NaN,NaN,81,78,NaN,NaN,88,62,68,78,76,60,75,92,NaN,NaN,NaN,54,70,81,60,NaN,NaN,NaN,85,72,70,NaN,NaN,60,71,78,79,NaN,69,64,85,76,90,NaN,NaN,NaN,73,77,83,NaN,68,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN
401610038,68,74,60,76,NaN,61,NaN,NaN,82,80,73,71,NaN,90,72,37,63,NaN,79,78,71,78,73,50,NaN,91,NaN,NaN,NaN,45,65,76,55,NaN,86,NaN,70,68,80,NaN,NaN,74,60,74,66,NaN,94,69,84,76,97,NaN,NaN,NaN,80,83,79,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610039,68,74,78,79,91,87,NaN,94,76,89,80,66,NaN,NaN,84,91,81,NaN,87,84,80,80,80,61,90,98,NaN,NaN,NaN,65,87,80,75,NaN,91,NaN,86,83,72,NaN,NaN,70,NaN,79,84,NaN,NaN,90,80,76,NaN,NaN,NaN,NaN,90,85,81,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610040,63,73,60,78,NaN,83,NaN,NaN,78,70,68,67,NaN,91,68,NaN,81,68,85,70,67,74,66,61,86,94,NaN,75,NaN,85,70,79,60,NaN,93,NaN,NaN,69,85,NaN,NaN,83,68,81,73,NaN,NaN,63,87,86,87,NaN,NaN,NaN,77,84,94,NaN,60,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
401610041,60,69,60,79,90,64,55,NaN,80,60,70,72,NaN,NaN,75,NaN,80,NaN,76,70,67,76,71,69,72,NaN,NaN,NaN,NaN,39,72,76,66,NaN,NaN,NaN,79,74,78,NaN,NaN,72,70,80,82,NaN,82,72,80,81,87,NaN,NaN,NaN,84,76,80,NaN,67,NaN,NaN,NaN,89,83,NaN,NaN,NaN
401610042,66,77,62,80,NaN,73,NaN,NaN,76,88,83,66,NaN,90,65,90,61,87,88,76,76,87,78,60,80,NaN,NaN,NaN,NaN,63,70,83,81,NaN,NaN,NaN,96,70,85,NaN,NaN,70,67,80,82,NaN,90,87,92,91,90,NaN,NaN,NaN,79,89,93,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610043,68,79,75,86,90,64,74,94,86,84,78,80,NaN,NaN,62,83,NaN,NaN,81,69,72,81,62,67,83,90,NaN,NaN,NaN,52,78,85,60,NaN,NaN,NaN,88,79,74,NaN,NaN,63,69,79,82,NaN,NaN,60,80,77,91,NaN,NaN,NaN,76,79,89,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN
401610005,NaN,83,77,71,90,61,NaN,92,80,NaN,79,74,NaN,NaN,60,85,79,70,84,78,76,77,74,66,86,88,NaN,91,NaN,56,64,80,65,NaN,NaN,NaN,70,60,78,90,87,74,61,83,NaN,NaN,NaN,77,70,83,80,NaN,93,88,76,85,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401610046,NaN,NaN,NaN,62,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,64,NaN,79,NaN,84,71,86,69,79,62,NaN,NaN,80,NaN,NaN,60,91,79,60,NaN,NaN,NaN,70,60,86,NaN,NaN,40,69,76,60,NaN,81,61,85,62,85,NaN,NaN,NaN,77,78,79,33,65,NaN,NaN,80,74,NaN,97,NaN,86
