id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102001@法學方法論@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6102062@德文（一）@1@1,6104080@網際網路：全球文化及跨國規範@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101888@學系服務學習@2@1,6102026@民法繼承@2@1,6102063@德文（二）@2@1,6102082@日文（二）@2@1,6103023@保險法@2@1,6104075@法律倫理學@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102025@民法親屬@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102050@刑法總則理論演習@1@1,6102064@法學英文（一）@1@1,6103022@票據法@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102101@全球正義及永續發展@2@1,6103024@海商法@2@1,6103068@日文法學名著選讀 (四)@2@1,6103090@國際環境法@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104009@法理學（二）@2@1,6102089@羅馬法史導論@1@1,6103025@民法債編各論（一）@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103057@日文法學名著選讀（一）@1@1,6103071@法制史（一）@1@1,6103077@刑法總則理論演習（二）@1@1,6103096@國際公法案例研究@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6101097@法學緒論@2@1,6102065@法學英文 (二)@2@1,6103026@民法債編各論（二）@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103087@企業併購法@2@1,6104062@刑法實例演習（二）@2@1
403610001,80,75,61,58,90,60,61,NaN,NaN,NaN,78,71,68,73,NaN,35,NaN,NaN,62,75,NaN,69,70,51,70,78,74,NaN,60,NaN,NaN,60,72,79,74,NaN,-1,NaN,NaN,NaN,NaN,NaN,76,74,84,NaN,76,NaN,NaN,NaN,62,NaN,NaN,-1,-1,-1,NaN,NaN
403610004,60,62,55,60,NaN,63,61,NaN,88,88,NaN,80,-1,56,90,63,80,NaN,NaN,72,88,74,70,91,85,76,NaN,NaN,65,NaN,NaN,46,67,87,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,80,75,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,-1,-1,NaN,NaN
403610005,97,83,86,88,99,80,67,NaN,96,NaN,85,81,86,80,NaN,86,93,NaN,NaN,-1,NaN,85,80,93,85,82,NaN,NaN,70,NaN,84,60,72,81,79,NaN,80,NaN,NaN,NaN,-1,82,82,78,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
403610006,97,76,77,90,NaN,87,71,NaN,NaN,NaN,98,85,80,88,90,33,NaN,NaN,83,75,NaN,83,80,93,78,82,85,NaN,76,NaN,85,62,70,77,73,NaN,87,NaN,94,NaN,-1,80,78,80,85,NaN,NaN,89,NaN,NaN,86,NaN,NaN,-1,-1,-1,NaN,-1
403610007,77,62,61,78,90,73,89,NaN,91,NaN,82,80,64,55,NaN,51,87,70,NaN,77,91,84,71,66,83,73,NaN,NaN,69,NaN,78,-1,70,85,60,83,-1,NaN,NaN,NaN,-1,NaN,87,80,79,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,-1,-1,NaN
403610008,97,87,88,93,NaN,86,69,NaN,99,NaN,83,89,88,81,90,88,96,NaN,NaN,73,NaN,94,86,87,85,85,89,NaN,78,92,85,88,83,87,77,NaN,80,NaN,NaN,-1,-1,NaN,78,80,81,NaN,NaN,86,NaN,NaN,88,NaN,NaN,-1,-1,-1,-1,NaN
403610009,60,60,61,60,90,74,84,88,90,NaN,61,74,63,63,NaN,44,82,-1,NaN,71,NaN,84,64,64,82,72,82,NaN,60,NaN,70,47,66,78,60,NaN,61,NaN,NaN,NaN,-1,NaN,82,76,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,-1,-1,NaN,NaN,NaN
403610012,74,61,10,63,NaN,63,NaN,NaN,NaN,NaN,63,78,46,38,85,19,NaN,NaN,NaN,-1,NaN,30,56,NaN,77,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403610014,94,94,95,96,NaN,94,90,NaN,98,NaN,87,90,91,83,90,85,NaN,NaN,NaN,89,91,100,95,92,84,85,86,NaN,90,NaN,91,95,92,87,89,NaN,90,NaN,NaN,NaN,-1,NaN,89,83,98,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,-1,-1,-1,-1,NaN
403610015,95,76,85,91,90,81,63,NaN,99,NaN,75,89,89,84,NaN,71,99,NaN,NaN,-1,NaN,94,74,82,85,80,85,NaN,78,NaN,83,86,80,87,64,NaN,NaN,NaN,NaN,NaN,-1,NaN,75,78,84,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,-1,-1,-1,NaN,NaN
