id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102001@法學方法論@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6102062@德文（一）@1@1,6104080@網際網路：全球文化及跨國規範@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101888@學系服務學習@2@1,6102026@民法繼承@2@1,6102063@德文（二）@2@1,6102082@日文（二）@2@1,6103023@保險法@2@1,6104075@法律倫理學@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102025@民法親屬@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102050@刑法總則理論演習@1@1,6102064@法學英文（一）@1@1,6103022@票據法@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102101@全球正義及永續發展@2@1,6103024@海商法@2@1,6103068@日文法學名著選讀 (四)@2@1,6103090@國際環境法@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104009@法理學（二）@2@1,6102089@羅馬法史導論@1@1,6103025@民法債編各論（一）@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103057@日文法學名著選讀（一）@1@1,6103071@法制史（一）@1@1,6103077@刑法總則理論演習（二）@1@1,6103096@國際公法案例研究@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6101097@法學緒論@2@1,6102065@法學英文 (二)@2@1,6103026@民法債編各論（二）@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103087@企業併購法@2@1,6104062@刑法實例演習（二）@2@1
403610016,80,72,86,84,NaN,81,80,NaN,95,93,87,88,78,86,95,73,97,NaN,-1,80,NaN,89,79,80,88,78,83,NaN,75,NaN,82,89,80,85,86,NaN,-1,NaN,NaN,NaN,-1,NaN,81,80,91,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,-1,NaN,NaN
403610017,81,83,60,88,90,77,71,NaN,99,NaN,83,78,70,79,NaN,43,93,NaN,70,75,NaN,88,74,76,79,83,75,NaN,69,NaN,82,65,72,78,73,NaN,-1,NaN,93,NaN,-1,NaN,71,75,73,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
403610018,95,71,63,89,NaN,85,60,91,98,NaN,86,86,70,62,90,85,94,88,NaN,84,91,87,77,85,87,80,71,NaN,73,NaN,80,72,70,87,78,NaN,-1,NaN,NaN,NaN,-1,NaN,86,80,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,-1,-1,NaN,NaN,NaN
403610019,75,64,63,71,90,42,62,NaN,NaN,NaN,70,74,61,76,NaN,45,NaN,NaN,63,63,NaN,77,67,46,74,69,NaN,NaN,55,NaN,NaN,-1,60,78,69,NaN,-1,NaN,NaN,NaN,NaN,NaN,70,70,60,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,-1,-1,-1,NaN,NaN
403610021,98,81,67,85,90,80,78,94,92,93,83,86,70,65,NaN,78,94,NaN,-1,92,NaN,93,88,84,85,78,84,NaN,71,NaN,79,78,86,83,85,NaN,82,NaN,NaN,NaN,-1,NaN,82,75,89,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,-1,-1,NaN,NaN
403610022,77,68,71,79,NaN,71,63,NaN,90,NaN,72,80,62,80,90,29,NaN,NaN,70,80,NaN,69,78,54,78,68,NaN,NaN,60,NaN,NaN,-1,63,76,66,NaN,77,NaN,NaN,NaN,NaN,68,68,73,81,NaN,85,NaN,NaN,NaN,78,NaN,NaN,-1,-1,-1,NaN,NaN
403610023,89,85,96,75,90,81,69,NaN,93,NaN,NaN,85,86,85,NaN,72,86,NaN,85,81,NaN,84,78,94,81,73,87,79,77,NaN,79,79,74,79,79,NaN,87,NaN,NaN,NaN,-1,90,87,80,86,NaN,NaN,89,NaN,NaN,85,NaN,-1,-1,-1,-1,NaN,-1
403610024,92,60,49,66,NaN,73,74,NaN,NaN,NaN,64,65,67,60,95,-1,NaN,-1,-1,72,NaN,65,76,76,79,65,NaN,NaN,49,NaN,60,60,66,79,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,73,72,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,-1,-1,-1,NaN,NaN
403610025,62,63,46,74,90,68,60,88,95,NaN,60,85,60,62,NaN,70,88,NaN,-1,NaN,89,76,62,76,79,66,NaN,80,60,NaN,NaN,60,75,79,63,92,-1,NaN,NaN,NaN,NaN,NaN,77,78,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
403610026,76,78,70,82,NaN,77,84,NaN,88,NaN,74,72,65,68,90,21,79,NaN,-1,-1,NaN,69,72,66,81,68,73,NaN,61,NaN,NaN,-1,55,79,60,NaN,-1,NaN,88,NaN,NaN,NaN,71,75,79,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,-1,NaN,NaN
403610027,82,64,60,71,90,79,76,NaN,NaN,NaN,74,70,69,53,NaN,-1,NaN,NaN,-1,84,NaN,60,66,41,69,68,NaN,NaN,50,NaN,NaN,-1,64,78,-1,NaN,NaN,NaN,NaN,NaN,NaN,70,66,73,81,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,-1,-1,-1,NaN,NaN
403610028,86,67,68,85,NaN,77,75,NaN,94,92,65,82,74,78,90,76,88,NaN,NaN,85,NaN,78,78,82,84,76,80,NaN,71,NaN,81,60,80,86,79,NaN,-1,NaN,NaN,NaN,-1,NaN,82,76,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,NaN
403610029,90,81,67,81,90,81,74,NaN,NaN,NaN,86,80,78,67,NaN,82,NaN,NaN,-1,82,NaN,85,74,92,80,77,77,NaN,66,NaN,82,64,73,80,71,NaN,NaN,NaN,NaN,NaN,-1,NaN,81,79,82,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,-1,-1,-1,NaN,NaN
403610030,81,72,84,90,NaN,74,60,NaN,93,NaN,84,65,79,81,90,-1,NaN,NaN,-1,73,NaN,86,72,66,81,75,NaN,NaN,64,NaN,68,69,70,80,64,NaN,75,NaN,NaN,NaN,NaN,NaN,62,77,70,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,-1,NaN,NaN
403610031,96,68,50,80,90,68,76,NaN,87,NaN,79,70,63,70,NaN,70,85,NaN,NaN,73,NaN,67,66,71,75,71,NaN,NaN,62,NaN,76,-1,66,78,-1,NaN,65,NaN,NaN,NaN,-1,71,80,77,73,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,-1,NaN,NaN
403610032,94,84,65,86,NaN,79,68,NaN,NaN,NaN,89,94,89,70,95,-1,NaN,NaN,-1,76,NaN,76,75,77,80,78,87,NaN,64,NaN,70,-1,70,79,66,NaN,-1,100,NaN,NaN,NaN,NaN,74,80,NaN,100,NaN,NaN,NaN,NaN,93,NaN,NaN,-1,-1,NaN,NaN,NaN
403610033,91,69,80,87,90,82,67,NaN,NaN,NaN,80,79,65,72,NaN,76,NaN,NaN,-1,88,88,89,75,81,83,81,NaN,NaN,72,NaN,78,77,72,82,79,NaN,-1,NaN,NaN,NaN,NaN,68,74,76,NaN,NaN,79,NaN,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,NaN
403610034,88,65,52,66,NaN,56,63,71,NaN,NaN,78,78,68,77,90,64,NaN,NaN,72,71,NaN,93,80,67,82,79,NaN,NaN,67,NaN,NaN,73,78,81,79,NaN,-1,NaN,NaN,NaN,NaN,NaN,75,78,86,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,-1,-1,-1,NaN,NaN
403610035,86,73,65,82,90,82,66,90,NaN,NaN,87,85,73,86,NaN,69,NaN,NaN,NaN,72,NaN,82,82,93,84,87,84,NaN,NaN,NaN,NaN,74,80,83,83,NaN,81,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403610036,92,77,65,82,NaN,81,61,99,84,NaN,74,80,77,80,90,82,NaN,NaN,-1,85,95,83,74,84,81,82,NaN,NaN,70,NaN,80,62,77,82,69,NaN,81,NaN,NaN,NaN,-1,NaN,75,78,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,NaN
403610037,86,72,64,83,90,87,63,98,NaN,NaN,76,80,69,72,NaN,72,NaN,-1,NaN,92,NaN,97,72,91,88,81,NaN,NaN,67,NaN,74,63,77,84,63,NaN,74,NaN,NaN,NaN,-1,NaN,73,79,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,-1,NaN,NaN,NaN
403610038,64,82,72,77,NaN,76,66,NaN,NaN,NaN,83,84,71,80,90,60,NaN,NaN,-1,74,NaN,79,80,67,82,69,70,NaN,62,NaN,NaN,-1,70,85,63,NaN,70,NaN,94,NaN,NaN,NaN,66,73,74,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,-1,-1,-1,NaN,NaN
403610039,90,75,25,73,90,53,88,NaN,0,NaN,0,88,61,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,57,69,49,83,72,NaN,NaN,64,NaN,NaN,-1,83,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,79,NaN,62,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403610040,86,79,73,82,NaN,77,86,NaN,97,NaN,85,79,72,71,90,61,88,NaN,NaN,81,NaN,94,80,90,83,73,76,NaN,69,NaN,NaN,82,83,81,88,NaN,81,NaN,NaN,NaN,-1,80,85,78,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403610041,91,66,70,78,99,82,61,NaN,85,NaN,73,89,78,75,NaN,60,79,NaN,NaN,75,NaN,83,80,69,80,74,NaN,NaN,65,NaN,76,64,80,80,86,NaN,72,NaN,NaN,NaN,-1,85,81,78,78,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,-1,-1,-1,NaN,NaN
403610042,80,79,60,78,NaN,83,76,NaN,93,NaN,71,70,68,56,90,-1,NaN,NaN,NaN,-1,NaN,53,67,76,78,69,77,NaN,63,NaN,75,60,66,78,NaN,90,-1,NaN,NaN,NaN,NaN,NaN,72,78,67,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,-1,-1,NaN,NaN
403610044,80,69,61,79,NaN,81,69,NaN,92,90,78,70,74,74,90,74,85,NaN,NaN,76,NaN,74,72,91,82,76,88,NaN,70,NaN,78,60,72,84,77,NaN,-1,NaN,NaN,NaN,-1,NaN,84,79,74,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,-1,-1,NaN,NaN
403610045,95,73,79,88,90,78,72,99,NaN,NaN,86,87,81,78,NaN,71,NaN,-1,NaN,87,NaN,96,79,87,81,81,84,NaN,81,NaN,81,100,84,84,86,NaN,82,NaN,NaN,NaN,-1,78,90,80,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,-1,NaN,-1,NaN
403610046,85,80,50,81,NaN,80,69,95,NaN,NaN,77,78,72,62,90,73,NaN,-1,-1,79,NaN,89,82,77,79,77,NaN,NaN,74,83,70,69,78,80,79,NaN,81,99,92,-1,-1,NaN,86,77,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,-1,NaN,-1,NaN
403610047,99,82,95,95,99,95,85,NaN,99,NaN,90,90,86,89,NaN,84,99,NaN,NaN,91,NaN,97,88,91,86,83,87,NaN,76,NaN,92,94,84,85,93,NaN,85,NaN,NaN,NaN,-1,92,90,84,89,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,-1,-1,-1,NaN,NaN
403610048,96,70,20,NaN,90,60,60,NaN,NaN,NaN,-1,85,61,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,0,68,61,60,64,NaN,NaN,37,NaN,NaN,29,62,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403610049,89,53,NaN,NaN,88,68,40,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,69,44,NaN,72,NaN,NaN,51,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,74,71,NaN,NaN,NaN,NaN,NaN,91,-1,NaN,-1,-1,-1,NaN,NaN
403610050,NaN,NaN,NaN,76,90,90,61,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,81,99,NaN,82,81,NaN,88,73,87,84,76,NaN,NaN,NaN,NaN,79,88,NaN,89,81,91,NaN,NaN,NaN,NaN,-1,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1,-1,NaN,NaN,NaN
403610051,NaN,NaN,NaN,NaN,90,89,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,81,NaN,85,77,83,82,78,83,NaN,NaN,68,NaN,68,70,83,74,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403610053,NaN,NaN,NaN,72,90,85,78,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,60,88,NaN,91,72,77,87,78,NaN,NaN,73,NaN,89,85,NaN,87,86,88,NaN,NaN,NaN,NaN,-1,NaN,80,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403610054,NaN,NaN,NaN,79,NaN,89,75,76,NaN,NaN,88,NaN,NaN,NaN,90,72,NaN,NaN,NaN,81,NaN,95,NaN,92,79,86,NaN,85,72,80,79,86,NaN,83,69,NaN,NaN,NaN,NaN,71,84,NaN,NaN,80,85,NaN,81,NaN,NaN,92,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
403610052,NaN,NaN,NaN,75,90,88,81,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,-1,NaN,NaN,NaN,73,NaN,85,NaN,81,NaN,NaN,85,NaN,78,NaN,76,NaN,-1,NaN,NaN,NaN,-1,86,85,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
