id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101095@拉丁法諺（一）@1@1,6101888@學系服務學習@1@1,6102001@法學方法論@1@1,6102025@民法親屬@1@1,6102062@德文（一）@1@1,6102064@法學英文（一）@1@1,6104076@多元文化與全球正義（一）@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101096@拉丁法諺(二)@2@1,6101888@學系服務學習@2@1,6102063@德文（二）@2@1,6102065@法學英文 (二)@2@1,6104029@多元文化與全球社會 (二)@2@1,6104075@法律倫理學@2@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102031@刑法分則（一）@1@1,6102035@刑事政策@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6103022@票據法@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6104080@網際網路：全球文化及跨國規範@1@1,6104084@新移民、弱勢族群與人性尊嚴（一）@1@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102026@民法繼承@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102082@日文（二）@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6103090@國際環境法@2@1,6104009@法理學（二）@2@1,6104064@刑事政策（二）@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1,6103025@民法債編各論（一）@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103071@法制史（一）@1@1,6103096@國際公法案例研究@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6104061@刑法實例演習（一）@1@1,6101097@法學緒論@2@1,6103026@民法債編各論（二）@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103068@日文法學名著選讀 (四)@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104062@刑法實例演習（二）@2@1,6102089@羅馬法史導論@1@1,6103094@國際人權法@1@1,6104014@國際私法@1@1,6103087@企業併購法@2@1,6104045@智慧財產權法實例演習@2@1,6104093@法律實習@2@1
402610034,90,80,65,85,NaN,NaN,75,63,95,NaN,NaN,71,80,78,85,NaN,90,NaN,NaN,NaN,77,78,71,81,NaN,73,73,82,73,94,86,NaN,NaN,60,68,70,83,60,NaN,NaN,61,NaN,82,NaN,NaN,65,79,70,NaN,NaN,60,86,NaN,NaN,72,76,90,NaN,-1,NaN,NaN,NaN,70,NaN,NaN,NaN
402610035,88,83,70,71,NaN,98,90,68,96,NaN,NaN,78,69,78,85,NaN,NaN,92,NaN,NaN,72,65,85,78,NaN,78,69,82,67,78,85,NaN,NaN,64,75,78,84,78,85,77,76,NaN,76,NaN,NaN,73,80,77,NaN,NaN,88,78,NaN,NaN,71,88,87,NaN,-1,NaN,NaN,NaN,78,NaN,NaN,NaN
402610036,62,85,70,69,NaN,NaN,83,84,NaN,NaN,NaN,82,82,78,70,NaN,90,NaN,NaN,NaN,69,97,73,86,NaN,67,62,NaN,74,85,75,NaN,NaN,NaN,72,92,82,76,NaN,90,65,NaN,76,NaN,NaN,85,79,94,74,NaN,86,76,73,NaN,88,86,98,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN
402610037,64,85,75,83,NaN,90,82,79,NaN,NaN,NaN,79,78,79,88,NaN,NaN,NaN,NaN,NaN,77,87,72,80,NaN,77,60,82,79,94,75,NaN,NaN,75,76,87,81,77,NaN,93,63,NaN,72,NaN,92,71,77,86,83,NaN,71,84,77,NaN,75,80,94,NaN,-1,NaN,NaN,NaN,69,NaN,NaN,NaN
402610038,60,82,75,86,NaN,NaN,71,79,76,NaN,NaN,80,70,76,74,NaN,90,NaN,NaN,NaN,75,75,72,72,NaN,82,61,NaN,75,90,85,91,NaN,64,72,87,82,69,NaN,78,64,NaN,84,88,NaN,67,80,90,NaN,NaN,82,84,NaN,NaN,80,85,89,NaN,-1,NaN,82,NaN,NaN,NaN,NaN,NaN
402610039,78,82,65,86,78,90,81,71,NaN,NaN,NaN,71,85,78,82,NaN,NaN,NaN,NaN,NaN,86,92,78,83,NaN,68,69,70,82,83,80,NaN,NaN,NaN,84,90,86,86,NaN,90,79,NaN,75,NaN,NaN,83,80,NaN,NaN,NaN,92,81,NaN,NaN,91,87,NaN,NaN,-1,82,NaN,NaN,NaN,NaN,NaN,NaN
402610040,80,85,70,70,86,NaN,84,70,97,NaN,NaN,85,69,79,82,NaN,95,97,NaN,94,75,77,85,87,NaN,77,78,90,81,83,80,NaN,NaN,99,87,91,89,70,NaN,82,84,NaN,83,NaN,NaN,80,80,NaN,NaN,NaN,98,85,NaN,NaN,87,87,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
402610041,72,85,73,75,NaN,90,85,70,92,NaN,NaN,81,70,80,85,NaN,NaN,91,NaN,NaN,77,83,78,83,NaN,71,72,74,75,78,75,NaN,NaN,64,72,68,81,70,NaN,86,75,NaN,81,90,NaN,75,83,86,NaN,NaN,91,83,77,NaN,82,85,90,NaN,-1,83,NaN,NaN,NaN,NaN,NaN,NaN
402610042,83,84,80,85,NaN,NaN,86,68,95,NaN,87,76,80,81,80,NaN,90,90,NaN,NaN,81,76,79,81,NaN,79,60,NaN,63,72,80,NaN,NaN,61,77,76,81,61,NaN,92,75,NaN,76,NaN,NaN,71,86,85,NaN,NaN,86,80,77,NaN,80,86,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610043,75,73,70,75,NaN,90,90,68,NaN,NaN,NaN,78,80,79,80,NaN,NaN,NaN,NaN,94,81,86,81,79,NaN,83,84,85,87,81,90,NaN,NaN,86,81,83,82,78,86,95,79,NaN,83,NaN,NaN,71,79,NaN,NaN,NaN,82,79,NaN,NaN,85,86,NaN,NaN,-1,-1,NaN,NaN,77,NaN,NaN,NaN
402610044,70,81,60,63,NaN,NaN,73,61,81,NaN,NaN,63,65,77,75,NaN,90,75,NaN,NaN,69,72,79,83,NaN,61,61,NaN,73,95,93,NaN,NaN,63,66,78,79,60,NaN,78,68,NaN,75,91,NaN,66,74,80,NaN,NaN,62,82,NaN,NaN,65,81,88,93,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
402610002,NaN,92,84,86,70,NaN,93,85,98,NaN,88,75,NaN,82,82,NaN,90,96,NaN,NaN,86,83,83,85,NaN,77,70,90,85,82,86,NaN,NaN,86,83,85,88,93,NaN,96,82,NaN,85,NaN,NaN,80,80,NaN,NaN,NaN,82,82,NaN,NaN,92,86,NaN,NaN,80,-1,NaN,NaN,76,NaN,NaN,NaN
402610046,NaN,28,0,NaN,NaN,NaN,47,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,18,50,NaN,29,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402610045,NaN,NaN,NaN,81,NaN,90,90,65,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,77,NaN,81,86,NaN,78,68,82,81,78,80,NaN,NaN,NaN,77,85,86,80,NaN,NaN,89,NaN,74,NaN,NaN,73,82,NaN,NaN,NaN,78,70,78,NaN,84,85,NaN,NaN,80,85,NaN,NaN,NaN,NaN,NaN,-1
402610047,NaN,56,NaN,70,NaN,90,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,92,88,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,-1,NaN,NaN,74,80,81,NaN,NaN,71,73,79,NaN,83,78,86,NaN,-1,NaN,70,NaN,NaN,NaN,NaN,NaN
