id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3302911@公文程式與製作@1@1,3303642@當代社會分析@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302912@行政法實務專題@2@1,3303643@當前國際情勢@2@1,3304301@民主觀察@2@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302300@中國大陸政府與政治（一）@1@1,3302370@中國外交史@1@1,3302401@政治意識型態@1@1,3304311@國際政治經濟@1@1,3304333@環境政治@1@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302340@中國大陸政府與政治（二）@2@1,3302390@現代國際政治史@2@1,3302442@政策網絡與政策變遷@2@1,3302910@全球化下的跨國人口流動@2@1,3303392@英國政府與政治@2@1,3303644@當前國際情勢@2@1,3304321@國際談判與協商@2@1,3304340@台灣政經發展@2@1,3302411@國際人權與女權@1@1,3303000@政治學統計方法（一）@1@1,3303000@政治學統計方法（一）@1@2,3303010@西洋政治思想史@1@1,3303440@政策執行與評估@1@1,3303460@公共人事行政導論@1@1,3303491@國際組織與非國家組織@1@1,3303510@公共政策@1@1,3303645@當代社會分析@1@1,3303660@正義理論@1@1,3304331@行政倫理@1@1,3304370@公共管理@1@1,3304390@全球化@1@1,3304671@繪本、小說、與多元文化教育@1@1,3301511@政治社會學@2@1,3302394@危機管理@2@1,3302930@初級政治學德語(一)@2@1,3303030@政治學統計方法（二）@2@1,3303030@政治學統計方法（二）@2@2,3303040@中國政治思想史@2@1,3303502@公共人力資源管理@2@1,3304302@民主理論@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304361@政策分析@2@1,3304624@國際移民@2@1,3304680@公民社會基本觀念@2@1,3303361@組織理論與行為@1@1,3303641@當代中國社會@1@1,3304601@歐洲整合與政治思想@1@1,3304690@從電影分析著名工業污染事件@1@1,3302411@國際人權與女權@2@1,3302940@公民教育@2@1,3303394@德國政府與政治@2@1,3303610@國際關係理論導讀@2@1,3303650@當代西方政治思潮@2@1,3304641@危機管理@2@1
401330022,74,81,NaN,65,67,60,100,NaN,NaN,NaN,83,NaN,80,90,76,60,87,NaN,NaN,NaN,79,72,96,70,NaN,90,NaN,NaN,NaN,95,74,87,75,NaN,84,NaN,87,NaN,NaN,NaN,87,NaN,62,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,66,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330023,84,99,76,NaN,81,85,100,73,89,NaN,81,73,NaN,88,79,100,NaN,NaN,NaN,NaN,86,74,75,86,NaN,NaN,NaN,NaN,NaN,94,86,75,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,75,86,89,NaN,90,NaN,NaN,94,NaN,NaN,NaN,NaN,91,95,NaN,81,68,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330024,81,81,NaN,68,73,79,95,NaN,NaN,NaN,80,87,NaN,83,79,90,85,75,NaN,NaN,92,82,84,91,NaN,89,NaN,NaN,79,94,86,77,88,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,84,90,90,NaN,93,NaN,NaN,95,91,NaN,NaN,NaN,NaN,NaN,87,NaN,76,NaN,NaN,NaN,93,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330025,70,90,NaN,81,74,63,95,77,78,NaN,92,NaN,65,86,62,80,NaN,NaN,NaN,NaN,79,75,84,68,NaN,84,NaN,NaN,NaN,93,72,63,72,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,82,66,NaN,72,81,NaN,79,NaN,NaN,NaN,NaN,91,NaN,89,NaN,NaN,NaN,60,NaN,75,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92
401330026,76,78,NaN,64,73,60,60,NaN,NaN,NaN,71,NaN,60,84,64,80,86,NaN,NaN,NaN,64,68,65,81,NaN,66,NaN,NaN,NaN,92,76,67,73,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,79,60,NaN,84,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,60,NaN,71,NaN,NaN,NaN,93,93,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92
401330027,88,87,85,NaN,80,76,95,83,NaN,NaN,86,83,NaN,85,70,90,NaN,NaN,NaN,NaN,85,82,83,81,NaN,63,NaN,NaN,NaN,94,85,80,85,NaN,NaN,94,NaN,NaN,NaN,80,NaN,NaN,NaN,90,85,NaN,88,NaN,NaN,85,NaN,94,NaN,NaN,NaN,NaN,95,NaN,NaN,85,63,94,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330028,88,91,NaN,71,74,61,75,NaN,NaN,NaN,73,71,NaN,81,-1,90,85,NaN,NaN,NaN,70,68,62,67,NaN,63,NaN,NaN,NaN,93,70,60,71,NaN,77,NaN,85,NaN,NaN,88,NaN,77,44,68,66,NaN,83,84,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,63,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330029,84,94,83,NaN,81,65,100,74,NaN,NaN,80,87,NaN,88,77,90,NaN,NaN,NaN,NaN,82,81,84,80,NaN,87,NaN,NaN,NaN,92,78,81,87,NaN,87,93,NaN,72,NaN,NaN,NaN,NaN,NaN,78,87,90,83,NaN,87,NaN,NaN,90,91,NaN,NaN,NaN,88,NaN,NaN,76,70,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
401330030,80,70,80,NaN,71,71,95,NaN,NaN,NaN,70,82,NaN,77,68,60,89,NaN,85,NaN,81,71,77,68,NaN,84,NaN,85,NaN,92,80,74,68,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,83,74,NaN,80,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,28,74,67,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330031,80,92,89,NaN,77,71,95,73,NaN,NaN,84,73,NaN,88,71,80,NaN,NaN,NaN,NaN,68,73,98,77,NaN,97,NaN,NaN,NaN,94,85,85,86,NaN,88,NaN,NaN,NaN,NaN,87,NaN,80,74,NaN,91,86,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,73,NaN,88,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330032,85,86,87,NaN,74,92,85,NaN,NaN,NaN,82,89,NaN,86,87,100,90,NaN,NaN,NaN,90,79,75,86,NaN,95,NaN,NaN,NaN,88,80,67,77,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,81,90,86,NaN,88,NaN,NaN,95,NaN,NaN,NaN,NaN,90,NaN,NaN,79,88,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330033,62,77,75,NaN,76,69,85,90,NaN,NaN,61,NaN,75,82,70,70,NaN,NaN,NaN,NaN,87,76,64,76,NaN,93,NaN,NaN,NaN,90,81,72,65,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,82,84,NaN,88,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,79,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330034,79,88,82,NaN,71,75,95,NaN,79,NaN,78,69,NaN,77,74,100,86,87,NaN,NaN,82,75,74,84,NaN,88,NaN,NaN,NaN,94,78,74,78,NaN,82,94,NaN,NaN,NaN,NaN,NaN,85,75,NaN,83,84,86,NaN,NaN,NaN,NaN,94,87,NaN,93,NaN,NaN,NaN,61,NaN,72,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93
401330035,88,88,85,NaN,71,86,95,92,NaN,NaN,91,91,NaN,92,72,100,NaN,NaN,NaN,NaN,89,85,98,89,NaN,84,83,NaN,NaN,94,90,98,86,NaN,90,NaN,NaN,NaN,NaN,89,NaN,NaN,90,NaN,84,91,NaN,95,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,66,NaN,74,NaN,91,NaN,NaN,90,NaN,78,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN
401330036,84,94,85,NaN,75,81,75,NaN,89,NaN,84,81,NaN,89,75,100,86,NaN,NaN,NaN,88,86,71,85,NaN,NaN,NaN,NaN,NaN,95,85,71,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,80,86,87,NaN,92,NaN,NaN,NaN,93,NaN,NaN,NaN,93,NaN,NaN,82,72,NaN,NaN,NaN,93,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330037,74,77,NaN,60,68,67,85,87,NaN,NaN,68,NaN,62,83,61,60,NaN,NaN,NaN,NaN,72,65,87,70,NaN,82,NaN,NaN,NaN,88,68,75,72,NaN,83,NaN,NaN,NaN,NaN,85,NaN,78,60,NaN,68,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,63,NaN,70,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330038,79,80,85,NaN,76,75,95,NaN,80,NaN,81,89,NaN,89,74,80,86,89,NaN,NaN,92,74,81,72,NaN,82,NaN,NaN,NaN,96,79,96,83,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,89,91,NaN,NaN,NaN,92,93,NaN,96,89,NaN,NaN,NaN,NaN,NaN,NaN,78,95,96,NaN,NaN,95,NaN,NaN,78,90,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
401330039,80,67,78,NaN,91,64,90,86,NaN,NaN,70,68,NaN,78,62,100,NaN,68,NaN,NaN,78,74,76,68,NaN,67,NaN,NaN,NaN,89,73,65,64,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,77,76,NaN,82,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,77,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330040,84,93,NaN,81,70,80,95,NaN,NaN,82,86,NaN,85,92,81,100,86,NaN,NaN,88,87,89,98,85,82,NaN,85,NaN,85,94,82,98,88,75,NaN,NaN,NaN,84,NaN,NaN,55,NaN,94,NaN,95,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,68,NaN,NaN,90,NaN,84,NaN,NaN,NaN,93,NaN,89,NaN,90,NaN,84,NaN,96,NaN,NaN,89,NaN
