id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202751@電子電路學（一）@2@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@2,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203104@機械設計@1@2,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203065@專題研究A(二)@2@1,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204301@應用光學與實務@1@1,4204353@電腦輔助工程分析與實務運用@1@1,4203068@專題研究D（二）@2@1,4203755@機電專題實作(一)@2@1
402420050,71,NaN,84,NaN,79,NaN,NaN,60,NaN,80,NaN,86,NaN,NaN,90,73,60,NaN,63,73,60,60,66,NaN,NaN,70,-1,61,NaN,69,86,NaN,NaN,NaN,NaN,NaN,NaN,69,60,63,73,NaN,NaN,NaN,80,84,NaN,NaN,NaN,86,NaN,NaN,69,NaN,NaN,NaN,81,-1,NaN,83,NaN,82,78,NaN,NaN,NaN,NaN
402420051,67,81,NaN,60,NaN,NaN,78,17,NaN,62,85,NaN,NaN,NaN,NaN,NaN,48,67,68,45,75,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420052,61,NaN,70,NaN,69,NaN,NaN,75,NaN,75,NaN,65,NaN,95,NaN,NaN,60,77,78,82,74,76,63,-1,79,78,86,72,70,79,86,NaN,NaN,NaN,NaN,NaN,75,NaN,72,80,NaN,60,60,60,68,NaN,79,NaN,NaN,NaN,74,70,NaN,68,73,NaN,NaN,NaN,NaN,80,NaN,NaN,70,NaN,NaN,NaN,NaN
402420053,76,72,NaN,64,NaN,NaN,95,67,NaN,67,78,NaN,NaN,NaN,NaN,NaN,63,84,71,67,64,60,60,NaN,NaN,60,65,51,67,65,NaN,87,NaN,NaN,NaN,NaN,76,NaN,NaN,70,77,NaN,NaN,91,79,78,NaN,NaN,NaN,75,-1,-1,NaN,-1,79,NaN,NaN,NaN,NaN,88,NaN,83,70,NaN,NaN,NaN,NaN
402420054,70,NaN,71,NaN,74,NaN,88,60,94,54,NaN,80,NaN,NaN,59,85,60,90,75,85,66,71,69,NaN,NaN,67,85,NaN,NaN,86,NaN,86,NaN,NaN,NaN,NaN,77,NaN,NaN,80,NaN,67,71,NaN,64,78,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,66,NaN,76,-1,NaN,NaN,74,83,60,NaN,NaN,NaN,NaN
402420055,76,72,NaN,46,60,75,NaN,60,56,88,61,NaN,NaN,NaN,NaN,NaN,61,87,66,60,66,60,-1,-1,-1,61,80,-1,60,69,NaN,84,NaN,NaN,NaN,NaN,66,NaN,NaN,77,NaN,73,NaN,NaN,60,78,NaN,NaN,NaN,NaN,NaN,-1,85,NaN,69,60,NaN,72,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
402420056,71,85,58,40,50,NaN,NaN,60,NaN,-1,NaN,65,NaN,NaN,90,68,62,62,64,76,71,60,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,85,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,60,NaN,72,NaN,63,NaN,77,NaN,NaN,NaN,NaN,NaN,-1,NaN,65,NaN,NaN,NaN,NaN,63,NaN,NaN,75,NaN,NaN,NaN,NaN
402420057,61,NaN,69,65,NaN,NaN,74,60,NaN,78,67,NaN,0,NaN,NaN,64,68,86,77,63,60,74,-1,-1,NaN,60,NaN,67,NaN,69,79,NaN,NaN,NaN,NaN,86,67,NaN,88,71,76,NaN,NaN,65,63,85,NaN,NaN,89,NaN,NaN,64,-1,NaN,67,NaN,NaN,NaN,NaN,63,NaN,74,NaN,NaN,NaN,NaN,NaN
402420058,60,NaN,67,NaN,62,NaN,NaN,74,73,NaN,71,NaN,NaN,NaN,80,NaN,48,85,67,60,22,65,45,NaN,12,66,63,-1,63,63,NaN,84,NaN,NaN,NaN,NaN,73,NaN,NaN,65,67,51,NaN,NaN,62,NaN,79,NaN,NaN,NaN,-1,NaN,-1,-1,63,NaN,NaN,NaN,NaN,67,NaN,NaN,70,87,NaN,NaN,NaN
402420059,81,77,NaN,73,NaN,NaN,78,67,NaN,75,NaN,63,NaN,NaN,NaN,NaN,74,77,71,96,68,95,72,NaN,77,84,97,88,82,77,82,NaN,NaN,NaN,NaN,NaN,61,NaN,84,NaN,89,NaN,82,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,82,NaN,NaN,-1,82,NaN,75,84,76,94,NaN,NaN,NaN
402420060,68,NaN,67,NaN,65,NaN,NaN,87,NaN,77,NaN,67,NaN,70,NaN,73,73,80,77,68,64,60,60,-1,NaN,75,66,NaN,50,86,83,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,87,NaN,NaN,NaN,62,NaN,78,NaN,NaN,NaN,-1,NaN,-1,-1,76,NaN,NaN,-1,NaN,NaN,88,84,70,87,NaN,NaN,NaN
402420061,72,79,NaN,72,NaN,70,NaN,92,NaN,71,77,NaN,NaN,NaN,NaN,NaN,60,67,75,60,67,71,63,-1,NaN,66,NaN,NaN,60,60,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,34,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,41,NaN,-1,NaN,60,NaN,-1,NaN,72,NaN,86,60,NaN,NaN,NaN,NaN
402420062,71,NaN,73,NaN,74,NaN,NaN,67,73,NaN,NaN,67,NaN,95,NaN,NaN,60,87,62,60,71,60,-1,NaN,-1,-1,60,-1,60,64,NaN,85,NaN,NaN,NaN,NaN,71,NaN,NaN,72,82,31,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,64,NaN,NaN,NaN,78,-1,NaN,NaN,NaN,88,NaN,86,NaN,NaN,87,NaN,NaN
402420063,81,80,NaN,97,NaN,90,NaN,67,NaN,87,83,NaN,NaN,NaN,NaN,88,72,85,79,79,75,73,64,NaN,69,72,74,NaN,NaN,70,NaN,92,NaN,85,NaN,NaN,NaN,66,NaN,71,75,NaN,84,NaN,NaN,NaN,77,NaN,NaN,NaN,71,-1,-1,60,92,NaN,NaN,NaN,NaN,NaN,74,NaN,78,NaN,NaN,NaN,NaN
402420065,66,72,NaN,80,NaN,NaN,78,60,85,NaN,NaN,NaN,77,NaN,NaN,64,60,76,60,63,60,60,60,NaN,60,79,64,-1,NaN,81,85,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,62,74,49,71,85,84,NaN,79,NaN,NaN,NaN,NaN,-1,NaN,82,84,NaN,NaN,NaN,NaN,NaN,83,82,60,NaN,NaN,NaN,NaN
402420067,67,63,NaN,40,NaN,70,NaN,64,NaN,68,55,NaN,75,NaN,NaN,-1,53,NaN,46,69,20,60,60,NaN,NaN,-1,-1,-1,18,-1,NaN,76,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402420068,83,NaN,83,NaN,92,NaN,NaN,81,NaN,80,NaN,69,NaN,70,NaN,93,70,89,84,82,77,74,71,NaN,NaN,83,94,83,NaN,90,NaN,89,NaN,NaN,NaN,NaN,63,NaN,91,75,NaN,72,82,NaN,95,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,92,70,89,NaN,-1,NaN
402420069,72,80,NaN,86,NaN,93,NaN,70,NaN,83,NaN,NaN,78,NaN,NaN,88,68,96,81,83,78,81,69,97,77,66,72,NaN,NaN,72,87,NaN,NaN,NaN,87,NaN,68,NaN,NaN,83,NaN,72,81,NaN,79,NaN,80,NaN,85,NaN,NaN,60,NaN,67,80,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,91,NaN,NaN
402420071,77,77,NaN,95,NaN,85,NaN,60,NaN,95,NaN,79,NaN,NaN,NaN,NaN,73,98,82,79,76,71,60,NaN,60,75,68,65,71,69,90,NaN,NaN,88,NaN,NaN,64,NaN,NaN,68,77,43,80,NaN,62,NaN,78,NaN,NaN,95,-1,NaN,61,NaN,-1,71,NaN,-1,NaN,81,NaN,84,NaN,94,91,NaN,NaN
402420072,80,NaN,75,NaN,94,NaN,NaN,77,NaN,88,NaN,85,NaN,95,NaN,94,77,99,87,86,77,81,77,95,69,74,75,65,NaN,80,NaN,90,NaN,88,NaN,NaN,NaN,74,77,82,NaN,77,86,NaN,NaN,82,NaN,NaN,NaN,95,86,-1,83,72,90,-1,NaN,NaN,NaN,89,NaN,94,NaN,NaN,92,NaN,NaN
402420073,61,78,NaN,69,NaN,83,NaN,60,NaN,73,NaN,NaN,73,NaN,NaN,81,70,NaN,67,68,63,65,64,NaN,NaN,64,60,60,NaN,73,86,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,82,NaN,82,68,NaN,79,NaN,77,NaN,NaN,NaN,NaN,NaN,-1,75,80,NaN,NaN,-1,NaN,74,NaN,87,60,NaN,NaN,NaN,NaN
402420074,63,NaN,79,NaN,91,NaN,NaN,67,NaN,76,NaN,79,NaN,80,NaN,69,60,80,65,68,60,68,25,85,32,67,60,40,NaN,42,81,NaN,NaN,NaN,NaN,NaN,67,43,NaN,63,60,22,80,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,64,NaN,NaN,NaN,77,71,NaN,82,NaN,88,NaN,NaN,NaN
402420075,82,78,NaN,87,NaN,73,NaN,94,70,NaN,87,NaN,NaN,NaN,NaN,95,90,80,71,85,65,73,80,NaN,91,67,97,NaN,NaN,80,NaN,96,86,NaN,NaN,NaN,NaN,78,NaN,87,NaN,76,87,88,NaN,NaN,79,NaN,NaN,NaN,78,-1,NaN,91,89,NaN,NaN,NaN,NaN,NaN,87,NaN,84,NaN,NaN,NaN,NaN
402420076,66,NaN,79,NaN,85,NaN,NaN,72,NaN,71,NaN,NaN,74,70,NaN,NaN,64,94,83,69,70,70,84,96,NaN,71,60,61,66,66,NaN,89,NaN,84,NaN,NaN,75,NaN,NaN,72,NaN,69,82,NaN,84,81,NaN,NaN,NaN,75,-1,65,NaN,-1,93,NaN,NaN,NaN,95,88,NaN,83,NaN,NaN,NaN,NaN,NaN
402420077,62,69,NaN,83,NaN,NaN,90,67,72,NaN,NaN,70,NaN,NaN,NaN,NaN,80,88,74,83,81,85,63,-1,60,78,82,65,81,70,85,NaN,NaN,NaN,NaN,80,81,NaN,68,73,75,NaN,NaN,NaN,83,NaN,79,NaN,NaN,NaN,NaN,-1,82,71,67,NaN,NaN,NaN,85,89,NaN,80,60,NaN,NaN,NaN,NaN
402420078,66,NaN,74,NaN,71,NaN,NaN,67,76,NaN,NaN,NaN,71,NaN,90,88,64,NaN,60,66,65,60,-1,NaN,39,69,67,68,NaN,65,NaN,87,NaN,NaN,NaN,NaN,78,NaN,81,73,NaN,67,70,NaN,77,NaN,76,NaN,NaN,NaN,NaN,NaN,84,NaN,71,NaN,NaN,-1,NaN,NaN,72,80,70,84,NaN,NaN,NaN
402420079,60,NaN,69,70,NaN,NaN,74,72,NaN,84,NaN,66,NaN,NaN,NaN,83,84,83,68,70,68,68,75,-1,NaN,60,77,NaN,NaN,60,NaN,86,81,NaN,NaN,NaN,NaN,74,NaN,82,NaN,83,70,NaN,89,84,NaN,88,NaN,NaN,NaN,NaN,NaN,82,75,NaN,72,-1,NaN,79,NaN,NaN,70,NaN,NaN,NaN,NaN
402420080,80,85,NaN,NaN,72,NaN,NaN,70,92,NaN,NaN,NaN,67,90,NaN,88,67,96,70,68,66,60,-1,NaN,NaN,74,NaN,65,NaN,84,88,NaN,NaN,NaN,NaN,NaN,61,NaN,86,76,NaN,63,75,NaN,82,NaN,82,NaN,NaN,NaN,NaN,NaN,79,NaN,73,NaN,NaN,NaN,NaN,NaN,85,NaN,70,NaN,NaN,NaN,NaN
402420081,61,73,NaN,85,NaN,NaN,95,67,84,NaN,94,NaN,NaN,NaN,NaN,NaN,64,75,70,69,71,68,-1,NaN,43,72,56,50,61,67,82,NaN,NaN,NaN,NaN,NaN,66,NaN,76,NaN,72,48,80,NaN,61,82,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,79,-1,82,74,NaN,84,70,NaN,NaN,NaN,NaN
402420082,75,NaN,69,NaN,85,NaN,NaN,67,78,NaN,93,NaN,NaN,90,NaN,NaN,69,78,61,83,63,74,67,NaN,NaN,61,71,76,66,76,NaN,93,NaN,NaN,78,NaN,70,NaN,72,81,NaN,81,71,NaN,NaN,80,NaN,NaN,86,NaN,NaN,-1,NaN,61,78,NaN,NaN,NaN,88,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
402420083,70,89,NaN,97,NaN,NaN,86,77,85,NaN,87,NaN,NaN,NaN,NaN,NaN,85,87,88,85,74,77,71,NaN,65,75,83,76,77,73,NaN,91,NaN,NaN,NaN,82,63,NaN,61,83,NaN,66,84,NaN,NaN,NaN,80,NaN,NaN,NaN,73,60,81,64,86,NaN,NaN,NaN,NaN,88,NaN,86,NaN,NaN,NaN,NaN,NaN
402420084,71,NaN,67,NaN,85,NaN,NaN,67,NaN,71,81,NaN,NaN,90,NaN,NaN,67,74,90,77,77,69,77,NaN,73,90,76,74,65,87,85,NaN,NaN,NaN,NaN,NaN,63,NaN,60,79,NaN,70,76,NaN,52,NaN,80,NaN,NaN,NaN,NaN,74,NaN,NaN,79,NaN,NaN,-1,NaN,72,NaN,NaN,70,82,NaN,NaN,NaN
402420085,65,81,NaN,67,NaN,76,NaN,60,76,NaN,78,NaN,NaN,NaN,NaN,NaN,60,95,70,71,63,68,60,NaN,47,60,-1,NaN,63,-1,89,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,68,81,NaN,81,NaN,92,NaN,78,NaN,NaN,NaN,69,-1,-1,-1,75,-1,NaN,NaN,NaN,NaN,96,79,70,NaN,NaN,NaN,NaN
402420086,99,NaN,80,NaN,86,NaN,NaN,83,72,NaN,75,NaN,NaN,95,NaN,86,67,85,71,77,76,81,74,NaN,84,80,80,NaN,NaN,77,NaN,88,NaN,88,NaN,NaN,68,NaN,NaN,68,NaN,82,83,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,64,NaN,89,81,NaN,NaN,NaN,86,NaN,91,NaN,78,96,NaN,NaN,NaN
402420087,72,58,91,75,NaN,NaN,86,67,NaN,88,NaN,71,NaN,NaN,NaN,NaN,67,96,86,82,76,76,75,90,NaN,86,83,NaN,83,70,89,NaN,NaN,NaN,85,NaN,80,NaN,NaN,96,NaN,83,85,NaN,92,80,NaN,NaN,NaN,NaN,77,NaN,NaN,83,88,NaN,NaN,NaN,86,NaN,89,NaN,74,NaN,NaN,NaN,NaN
402420088,33,86,58,NaN,62,NaN,NaN,39,92,NaN,NaN,NaN,75,70,NaN,NaN,NaN,NaN,NaN,54,60,50,NaN,NaN,NaN,29,NaN,NaN,56,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420089,66,73,NaN,75,NaN,85,NaN,67,78,NaN,82,NaN,NaN,NaN,NaN,80,76,91,75,83,66,62,64,NaN,NaN,71,77,NaN,NaN,71,90,NaN,NaN,NaN,85,NaN,NaN,74,NaN,73,NaN,68,82,NaN,NaN,80,NaN,NaN,NaN,NaN,73,-1,-1,62,83,NaN,81,NaN,NaN,NaN,90,83,70,NaN,NaN,NaN,NaN
402420090,84,NaN,76,NaN,89,NaN,NaN,60,NaN,91,NaN,72,NaN,NaN,90,NaN,72,NaN,87,93,72,76,73,NaN,84,94,99,87,85,90,NaN,89,NaN,NaN,NaN,87,67,NaN,73,NaN,NaN,93,NaN,95,64,82,NaN,NaN,NaN,NaN,-1,-1,NaN,96,93,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420092,80,NaN,85,NaN,96,NaN,NaN,72,97,NaN,NaN,93,NaN,NaN,90,NaN,81,99,95,82,87,81,82,99,77,76,78,66,79,83,85,NaN,NaN,91,NaN,NaN,67,NaN,NaN,66,NaN,69,80,95,85,NaN,81,NaN,NaN,95,75,-1,60,61,-1,77,NaN,NaN,NaN,NaN,89,85,NaN,92,96,NaN,NaN
402420093,63,66,NaN,63,NaN,75,NaN,70,85,NaN,NaN,61,NaN,NaN,NaN,86,60,98,67,70,70,69,60,NaN,NaN,76,71,55,NaN,65,85,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,72,NaN,65,77,6,63,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,84,79,-1,NaN,-1,NaN,NaN,86,79,60,80,NaN,NaN,NaN
402420094,80,NaN,77,NaN,94,NaN,NaN,67,NaN,91,NaN,NaN,85,NaN,90,NaN,88,98,100,99,88,83,92,98,92,97,99,99,99,92,NaN,93,NaN,NaN,87,NaN,93,NaN,99,NaN,NaN,88,83,96,NaN,91,NaN,NaN,85,NaN,91,99,94,96,95,NaN,NaN,NaN,94,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420095,60,62,NaN,61,NaN,NaN,88,60,74,NaN,NaN,NaN,72,NaN,NaN,82,48,80,73,75,60,60,67,90,34,60,63,54,59,70,82,NaN,NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,64,NaN,NaN,58,66,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,76,69,NaN,NaN,60,NaN,NaN,NaN,NaN
402420096,61,NaN,64,NaN,69,NaN,NaN,60,NaN,65,72,NaN,NaN,NaN,90,75,60,80,63,60,66,61,60,NaN,68,67,67,65,NaN,76,84,NaN,NaN,NaN,NaN,NaN,72,NaN,47,69,NaN,60,NaN,NaN,60,NaN,78,NaN,NaN,NaN,NaN,64,-1,NaN,72,NaN,NaN,NaN,NaN,NaN,80,83,60,NaN,NaN,NaN,NaN
402420097,89,72,NaN,71,NaN,70,NaN,97,84,NaN,67,NaN,NaN,NaN,NaN,NaN,94,85,100,99,99,93,92,NaN,92,99,99,NaN,97,99,90,NaN,NaN,NaN,85,NaN,NaN,94,NaN,97,NaN,96,83,97,86,95,NaN,NaN,NaN,NaN,87,-1,NaN,99,99,NaN,NaN,NaN,88,NaN,89,NaN,80,NaN,NaN,NaN,NaN
402420099,60,61,NaN,60,NaN,NaN,86,78,63,NaN,NaN,63,NaN,NaN,NaN,NaN,60,85,72,87,71,72,60,85,69,71,82,NaN,64,63,NaN,86,NaN,NaN,NaN,NaN,64,NaN,NaN,72,NaN,60,71,NaN,94,80,NaN,NaN,NaN,NaN,80,NaN,NaN,87,91,NaN,NaN,NaN,82,NaN,88,NaN,81,NaN,NaN,NaN,NaN
402420100,73,NaN,82,NaN,86,NaN,NaN,78,NaN,78,81,NaN,NaN,NaN,90,NaN,67,91,82,80,79,74,71,-1,NaN,79,83,74,77,77,NaN,88,NaN,NaN,NaN,NaN,63,NaN,74,87,NaN,70,NaN,NaN,78,NaN,87,NaN,NaN,NaN,67,80,NaN,67,82,-1,NaN,-1,88,86,NaN,85,80,NaN,NaN,NaN,NaN
402420101,91,84,NaN,94,NaN,90,NaN,94,88,NaN,97,NaN,NaN,NaN,NaN,NaN,99,98,97,99,98,93,87,NaN,98,93,99,92,90,95,91,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,94,NaN,88,85,87,99,NaN,88,90,NaN,NaN,87,94,NaN,97,NaN,NaN,NaN,NaN,89,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN
402420102,73,NaN,78,NaN,85,NaN,NaN,60,82,NaN,NaN,80,NaN,NaN,90,NaN,61,NaN,60,60,72,75,-1,NaN,NaN,-1,-1,-1,62,-1,86,NaN,NaN,NaN,80,NaN,70,NaN,NaN,40,73,17,NaN,48,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,86,NaN,NaN
402420103,81,76,NaN,84,NaN,NaN,86,60,63,NaN,NaN,66,NaN,NaN,NaN,NaN,60,NaN,79,60,67,60,60,NaN,NaN,68,62,68,64,61,84,NaN,NaN,NaN,NaN,NaN,72,NaN,85,NaN,65,NaN,NaN,NaN,65,78,NaN,NaN,NaN,NaN,NaN,NaN,69,-1,-1,NaN,NaN,84,NaN,NaN,76,NaN,76,95,NaN,NaN,NaN
402420036,79,NaN,60,NaN,60,NaN,NaN,60,NaN,76,NaN,62,NaN,NaN,90,71,70,61,69,18,70,66,-1,NaN,NaN,76,NaN,68,NaN,75,NaN,82,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,88,72,NaN,80,NaN,75,NaN,NaN,NaN,NaN,NaN,-1,NaN,65,-1,NaN,-1,NaN,67,NaN,NaN,60,NaN,NaN,NaN,NaN
402420066,60,NaN,61,NaN,65,NaN,NaN,83,NaN,71,NaN,71,NaN,NaN,90,NaN,60,80,71,83,60,71,60,NaN,65,64,83,60,60,78,NaN,85,NaN,NaN,NaN,NaN,70,NaN,64,NaN,99,55,NaN,NaN,72,NaN,80,NaN,NaN,NaN,-1,64,-1,NaN,-1,NaN,NaN,NaN,81,NaN,93,NaN,70,NaN,NaN,NaN,NaN
