id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@2,4202001@工程數學（一）@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@3,4202051@工程數學（二）@2@1,4202251@機械製造@2@1,4202751@電子電路學（一）@2@1,4203602@流體力學（一）@2@1,4202002@物件導向程式設計@1@1,4203002@材料與力學實驗@1@2,4203104@機械設計@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203062@熱工與流力實驗@2@2,4203151@機器動力學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203755@機電專題實作(一)@2@1
403235040,74,75,60,60,71,74,87,70,81,86,73,74,77,86,74,92,84,77,80,82,-1,-1,-1,-1,-1
403235047,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
