id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103600@發展經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@3,5101003@基礎個體經濟學@1@1,5102360@數理經濟學@1@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5104811@國際經濟組織（一）@1@1,5103105@生產經濟學@2@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103370@國際貨幣制度@2@1,5103404@外人投資@2@1,5103604@公共經濟學@2@1,5104710@國際貿易實務@2@1,5103401@國際貿易理論與政策（一）@1@2,5104920@經濟政策@1@1,5103308@高等統計學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104102@總體經濟理論應用@2@1,5103366@賽局理論（二）@2@1
400510075,87,NaN,88,NaN,91,NaN,NaN,NaN,63,NaN,63,NaN,NaN,60,NaN,75,60,NaN,NaN,78,NaN,NaN,72,NaN,60,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,89,NaN,63,NaN,NaN,NaN,82,NaN,NaN,68,96,95,NaN,84,NaN,88,60,NaN,NaN,NaN,NaN
400510077,95,NaN,85,NaN,100,NaN,NaN,NaN,90,NaN,94,NaN,NaN,91,NaN,NaN,97,NaN,NaN,96,NaN,NaN,91,NaN,97,97,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,98,97,90,86,NaN,92,91,NaN,NaN,NaN,99,91,87,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510079,82,NaN,85,NaN,85,NaN,NaN,NaN,76,NaN,69,NaN,NaN,77,77,63,64,NaN,NaN,73,NaN,NaN,76,NaN,75,NaN,NaN,NaN,86,NaN,NaN,90,97,NaN,85,NaN,79,NaN,69,NaN,NaN,NaN,NaN,90,NaN,81,86,NaN,70,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN
400510081,69,NaN,85,NaN,79,NaN,NaN,NaN,NaN,60,60,NaN,63,NaN,NaN,NaN,NaN,67,86,NaN,72,73,NaN,73,NaN,73,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,83,NaN,84,NaN,90,NaN,70,NaN,91,80,79,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510082,76,NaN,NaN,NaN,64,NaN,NaN,90,54,70,60,NaN,NaN,66,NaN,NaN,50,76,83,60,NaN,NaN,77,NaN,67,89,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,67,NaN,63,NaN,67,NaN,71,NaN,NaN,NaN,72,NaN,NaN,97,NaN,87,NaN,90,NaN,NaN,NaN,85,NaN
400510083,67,NaN,87,NaN,61,NaN,NaN,NaN,16,77,60,NaN,NaN,60,75,NaN,NaN,73,80,60,NaN,NaN,65,NaN,61,79,NaN,NaN,NaN,NaN,NaN,46,NaN,NaN,71,60,72,NaN,65,NaN,NaN,NaN,NaN,70,60,NaN,83,NaN,NaN,70,NaN,NaN,NaN,89,NaN,80,NaN
400510085,86,NaN,85,NaN,76,NaN,NaN,NaN,NaN,67,70,NaN,NaN,65,NaN,92,NaN,77,99,67,NaN,80,NaN,NaN,75,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,80,82,NaN,61,NaN,70,NaN,91,NaN,86,NaN,NaN,NaN,64,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510087,69,NaN,87,NaN,72,NaN,NaN,NaN,56,71,66,NaN,NaN,65,65,NaN,NaN,65,86,63,NaN,NaN,86,NaN,63,67,NaN,NaN,NaN,NaN,NaN,47,NaN,NaN,70,46,80,NaN,63,NaN,NaN,NaN,83,72,60,NaN,NaN,NaN,65,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN
400510089,87,NaN,NaN,92,100,NaN,NaN,NaN,88,NaN,89,NaN,NaN,84,NaN,NaN,83,NaN,99,89,NaN,NaN,91,NaN,83,73,NaN,NaN,NaN,NaN,NaN,84,90,NaN,98,99,87,NaN,92,NaN,90,91,99,NaN,NaN,87,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510091,83,NaN,NaN,91,73,NaN,NaN,NaN,NaN,78,60,NaN,NaN,62,NaN,NaN,NaN,78,NaN,60,NaN,NaN,76,NaN,64,81,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,82,85,85,NaN,68,NaN,77,NaN,NaN,NaN,71,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510093,73,NaN,87,NaN,69,NaN,NaN,NaN,NaN,72,74,NaN,NaN,71,80,NaN,NaN,70,75,74,NaN,75,NaN,75,NaN,80,NaN,70,54,NaN,NaN,71,NaN,NaN,61,74,74,NaN,70,NaN,76,NaN,62,64,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510094,68,NaN,NaN,NaN,65,NaN,NaN,90,NaN,72,60,NaN,NaN,61,71,NaN,NaN,60,87,57,80,NaN,NaN,NaN,66,63,NaN,NaN,65,NaN,NaN,63,NaN,NaN,68,74,74,56,92,84,NaN,NaN,NaN,NaN,66,NaN,80,NaN,NaN,79,NaN,NaN,NaN,82,NaN,NaN,NaN
400510095,66,NaN,NaN,90,75,NaN,NaN,NaN,NaN,81,62,NaN,NaN,74,85,NaN,NaN,89,84,72,NaN,NaN,85,NaN,77,88,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,79,70,74,74,59,NaN,NaN,NaN,NaN,NaN,96,NaN,83,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510097,68,NaN,85,NaN,70,NaN,NaN,NaN,52,66,60,NaN,NaN,60,NaN,87,50,63,83,60,NaN,NaN,62,NaN,60,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,73,71,NaN,66,NaN,67,NaN,88,NaN,62,NaN,84,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510098,92,NaN,NaN,NaN,NaN,89,NaN,90,70,NaN,82,NaN,NaN,79,NaN,91,54,92,94,63,NaN,NaN,77,71,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,76,91,NaN,84,87,NaN,78,NaN,NaN,NaN,74,83,NaN,75,NaN,NaN,NaN,83,NaN,NaN,77,NaN,NaN,NaN,NaN
400510099,79,NaN,NaN,90,76,NaN,NaN,NaN,68,NaN,60,NaN,NaN,66,NaN,NaN,50,92,89,63,NaN,NaN,70,NaN,79,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,70,81,62,NaN,83,81,NaN,NaN,NaN,NaN,NaN,71,NaN,82,86,NaN,NaN,NaN,NaN,70,NaN,NaN
400510101,79,NaN,87,NaN,86,NaN,NaN,NaN,NaN,70,64,NaN,NaN,73,78,85,NaN,64,72,66,NaN,NaN,70,NaN,66,79,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,63,67,68,67,NaN,NaN,NaN,NaN,83,NaN,68,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN
400510004,NaN,77,NaN,NaN,NaN,90,90,NaN,70,NaN,60,NaN,NaN,67,86,91,65,NaN,88,67,NaN,64,NaN,NaN,75,90,86,NaN,NaN,NaN,NaN,NaN,90,92,NaN,77,82,NaN,62,NaN,89,NaN,NaN,NaN,NaN,80,NaN,99,NaN,NaN,NaN,80,93,NaN,NaN,NaN,NaN
400510006,NaN,78,NaN,NaN,NaN,63,90,NaN,53,68,60,NaN,NaN,60,NaN,NaN,45,71,NaN,68,NaN,NaN,66,66,NaN,73,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,68,NaN,69,60,NaN,82,74,NaN,81,NaN,70,NaN,NaN,NaN,60,NaN,NaN,78,NaN,NaN,NaN,89,NaN
