id,2365001@應用地球物理@1@1,2365005@應用數值分析@1@1,2365008@重磁力測勘@2@1,2365010@環境物理學@2@1,2365031@地球化學@2@1,2365009@書報討論（三）@1@1,2365013@全球定位系統原理與應用@1@1,2365017@震波物理模型與應用@1@1,2365030@質譜分析@1@1,2365004@書報討論（四）@2@1,2365022@環境污染物傳輸@2@1
604216004,85,NaN,71,81,92,NaN,NaN,83,NaN,NaN,NaN
604216001,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604216002,NaN,78,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN
604216003,73,NaN,50,81,80,86,NaN,NaN,76,-1,-1
