id,1155231@文學理論與應用@2@1,1155232@二十世紀美國小說專題@2@1,1155005@研究和寫作@1@1,1155096@文藝心理批評@1@1,1155154@馬克吐溫專題@1@1,1155236@中世紀研究專題：眼淚與哀殤@1@1,1155209@新女性小說@2@1,1155237@莎士比亞戲劇選讀專題@2@1,1155238@大眾文學@2@1
605115001,77,87,NaN,NaN,82,NaN,NaN,NaN,NaN
605115003,NaN,NaN,89,NaN,88,89,-1,NaN,NaN
605115004,-1,NaN,91,81,NaN,80,NaN,-1,-1
605115005,-1,NaN,94,90,NaN,NaN,NaN,NaN,-1
605115002,-1,NaN,NaN,80,92,NaN,-1,-1,-1
