id,1405119@殖民地旅行文學專題研究@2@1,1405150@地方知識、深度報導與紀錄片製作 (一)@2@1,1405169@女性、文化與消費@2@1,1405216@臺灣與東亞現代性專題@2@1,1406152@田野調查、文獻整理與資訊化（二）@2@1,1406170@文字、影像與策展專題@2@1
606141003,-1,-1,NaN,-1,-1,NaN
606141002,NaN,NaN,-1,NaN,NaN,-1
