id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4152014@FPGA數位設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153244@工程倫理@2@1,4153901@計算機組織@2@1,4153901@計算機組織@2@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153204@微處理機@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153250@類比積體電路設計導論@1@1,4153255@演算法導論@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4153919@影像處理導論@1@1,4152201@資料結構@2@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153251@通訊系統專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153906@數位通訊導論@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4154102@電力與能源設備檢驗實務@2@1
403415055,49,NaN,NaN,88,33,NaN,87,NaN,72,64,NaN,51,NaN,46,NaN,51,NaN,NaN,79,44,NaN,60,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN,82,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415057,60,NaN,87,NaN,NaN,65,NaN,69,68,60,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,82,60,NaN,74,NaN,80,NaN,NaN,60,NaN,57,63,73,NaN,NaN,86,82,NaN,NaN,NaN,65,NaN,-1,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
403415059,64,NaN,NaN,88,72,NaN,NaN,85,NaN,83,NaN,NaN,NaN,67,NaN,76,NaN,NaN,85,82,88,NaN,NaN,91,82,60,77,NaN,NaN,89,94,NaN,94,NaN,94,NaN,82,65,73,NaN,-1,76,NaN,95,NaN,NaN,87,NaN,93,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403415061,72,NaN,88,NaN,55,NaN,76,NaN,74,86,NaN,67,NaN,NaN,NaN,82,NaN,NaN,79,46,73,NaN,NaN,83,NaN,NaN,60,NaN,NaN,-1,NaN,-1,-1,NaN,76,NaN,72,50,NaN,68,NaN,28,NaN,NaN,NaN,NaN,74,NaN,83,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415063,75,NaN,NaN,88,NaN,NaN,83,NaN,75,76,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,67,34,65,NaN,80,NaN,NaN,NaN,53,NaN,60,63,40,-1,61,NaN,NaN,95,-1,NaN,34,-1,NaN,NaN,-1,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415065,82,NaN,NaN,87,71,NaN,NaN,51,NaN,-1,35,NaN,37,NaN,NaN,64,NaN,NaN,-1,90,67,NaN,NaN,68,36,1,74,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415067,67,NaN,NaN,88,NaN,72,NaN,75,82,67,NaN,NaN,NaN,80,NaN,65,NaN,NaN,86,60,60,NaN,78,NaN,NaN,60,72,63,NaN,60,64,NaN,90,NaN,NaN,80,72,56,41,-1,NaN,NaN,60,NaN,NaN,83,NaN,NaN,60,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415069,83,NaN,87,NaN,NaN,59,75,NaN,93,NaN,60,NaN,90,NaN,NaN,70,NaN,NaN,82,79,70,NaN,73,NaN,NaN,63,62,84,NaN,61,70,NaN,89,NaN,80,NaN,-1,67,NaN,61,-1,-1,NaN,NaN,36,82,NaN,68,73,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415071,81,NaN,88,NaN,73,NaN,71,NaN,NaN,83,NaN,NaN,NaN,80,NaN,76,NaN,NaN,82,82,NaN,75,NaN,90,74,74,61,NaN,64,86,84,NaN,77,NaN,91,NaN,NaN,67,73,NaN,-1,88,NaN,NaN,85,90,NaN,72,77,NaN,NaN,88,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN
403415073,75,NaN,NaN,88,NaN,73,79,NaN,93,73,NaN,85,NaN,NaN,NaN,81,NaN,NaN,87,80,81,NaN,NaN,95,NaN,71,83,NaN,73,94,NaN,77,NaN,100,NaN,86,-1,68,NaN,92,-1,NaN,81,NaN,73,97,NaN,77,NaN,NaN,NaN,89,NaN,NaN,77,NaN,NaN,NaN,89,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415075,53,NaN,NaN,86,19,NaN,NaN,61,74,60,48,NaN,NaN,NaN,84,64,NaN,NaN,79,73,64,NaN,63,NaN,NaN,NaN,81,NaN,NaN,51,NaN,30,NaN,60,73,NaN,NaN,37,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415077,65,NaN,NaN,87,NaN,75,69,NaN,NaN,70,NaN,59,NaN,64,NaN,46,NaN,NaN,77,48,60,NaN,NaN,80,71,60,60,NaN,NaN,60,66,NaN,97,NaN,NaN,80,-1,65,63,NaN,-1,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,62,70,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403415079,61,NaN,NaN,86,53,76,NaN,65,70,-1,NaN,NaN,NaN,74,NaN,20,NaN,NaN,87,44,44,80,73,NaN,NaN,NaN,60,NaN,NaN,62,66,NaN,NaN,100,83,NaN,-1,NaN,NaN,61,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,64,NaN,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403415081,99,NaN,NaN,88,NaN,87,NaN,88,94,NaN,81,NaN,NaN,NaN,92,92,NaN,NaN,75,89,NaN,NaN,94,NaN,NaN,75,85,NaN,86,100,NaN,88,NaN,99,NaN,89,89,81,91,NaN,-1,NaN,90,NaN,94,NaN,87,NaN,88,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
403415083,85,NaN,88,NaN,55,NaN,NaN,62,67,79,NaN,NaN,NaN,72,NaN,61,NaN,NaN,71,60,62,NaN,73,NaN,NaN,NaN,60,NaN,60,67,68,NaN,NaN,79,NaN,81,77,NaN,48,-1,NaN,51,NaN,NaN,53,NaN,73,NaN,67,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
403415002,NaN,64,NaN,NaN,64,NaN,NaN,70,81,NaN,66,NaN,81,NaN,NaN,65,NaN,92,86,60,80,NaN,76,NaN,NaN,61,65,NaN,NaN,66,72,NaN,NaN,99,81,NaN,NaN,60,70,NaN,NaN,68,NaN,NaN,76,NaN,NaN,77,NaN,65,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
