id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4152014@FPGA數位設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153244@工程倫理@2@1,4153901@計算機組織@2@1,4153901@計算機組織@2@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153204@微處理機@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153250@類比積體電路設計導論@1@1,4153255@演算法導論@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4153919@影像處理導論@1@1,4152201@資料結構@2@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153251@通訊系統專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153906@數位通訊導論@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4154102@電力與能源設備檢驗實務@2@1
403415024,NaN,76,NaN,NaN,66,NaN,83,NaN,85,86,NaN,84,NaN,NaN,NaN,70,NaN,91,84,67,90,NaN,NaN,93,NaN,66,65,NaN,66,80,NaN,84,NaN,100,NaN,91,-1,74,NaN,90,-1,NaN,72,NaN,69,93,NaN,77,NaN,NaN,NaN,83,NaN,NaN,69,NaN,NaN,NaN,89,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415026,NaN,74,NaN,NaN,76,NaN,NaN,91,NaN,NaN,73,NaN,87,NaN,NaN,66,NaN,93,83,73,79,NaN,NaN,87,76,64,74,NaN,77,87,86,NaN,94,NaN,80,NaN,75,72,73,NaN,-1,75,NaN,90,NaN,90,79,NaN,79,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403415028,NaN,66,NaN,NaN,NaN,76,NaN,86,NaN,81,NaN,79,NaN,NaN,NaN,66,93,NaN,87,60,NaN,70,88,NaN,66,NaN,65,74,NaN,73,68,NaN,NaN,87,80,NaN,72,60,70,NaN,NaN,NaN,65,NaN,NaN,87,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,75,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415030,NaN,81,NaN,NaN,NaN,49,63,NaN,NaN,64,NaN,NaN,NaN,74,NaN,74,91,NaN,80,32,52,NaN,NaN,76,77,NaN,32,NaN,31,61,73,NaN,61,NaN,80,NaN,NaN,67,NaN,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415034,NaN,79,NaN,NaN,NaN,79,70,NaN,89,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,93,81,67,69,NaN,NaN,73,NaN,60,66,NaN,NaN,88,NaN,NaN,NaN,100,NaN,82,86,70,NaN,75,NaN,NaN,NaN,87,NaN,NaN,81,NaN,NaN,60,NaN,78,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
403415036,NaN,94,NaN,NaN,77,NaN,NaN,92,NaN,97,NaN,NaN,NaN,85,NaN,71,93,NaN,86,74,NaN,83,93,NaN,93,90,74,NaN,70,89,84,NaN,76,NaN,90,NaN,74,76,66,NaN,-1,61,NaN,NaN,74,89,NaN,74,NaN,NaN,NaN,91,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN
403415038,NaN,70,NaN,NaN,67,NaN,NaN,78,72,65,NaN,NaN,NaN,63,NaN,73,93,NaN,85,60,41,84,80,NaN,NaN,60,60,NaN,NaN,60,60,NaN,93,NaN,81,NaN,86,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,87,NaN,91,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
403415040,NaN,76,NaN,NaN,NaN,71,NaN,71,67,64,NaN,78,NaN,NaN,NaN,69,93,NaN,82,75,68,NaN,NaN,81,NaN,61,74,NaN,66,73,65,NaN,86,NaN,79,NaN,82,64,65,NaN,NaN,55,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,82,NaN,91,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN
403415042,NaN,64,NaN,NaN,70,NaN,68,NaN,73,64,NaN,NaN,NaN,66,NaN,55,NaN,92,74,45,68,NaN,NaN,81,NaN,31,60,NaN,NaN,62,75,NaN,87,NaN,NaN,83,-1,NaN,61,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,83,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415048,NaN,63,NaN,NaN,62,NaN,74,NaN,76,79,NaN,67,NaN,NaN,NaN,63,NaN,93,85,45,58,90,NaN,78,NaN,60,62,NaN,NaN,80,71,NaN,99,NaN,NaN,81,-1,46,72,NaN,NaN,NaN,64,NaN,NaN,NaN,80,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
403415050,NaN,74,NaN,NaN,52,NaN,85,NaN,NaN,70,NaN,90,NaN,NaN,NaN,69,93,NaN,76,71,NaN,64,NaN,82,85,NaN,65,NaN,67,76,72,NaN,82,NaN,NaN,82,77,NaN,60,NaN,NaN,47,NaN,NaN,60,NaN,68,NaN,84,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
403415052,NaN,87,NaN,NaN,NaN,47,79,NaN,NaN,76,NaN,NaN,NaN,61,NaN,69,NaN,93,84,61,74,NaN,NaN,81,66,NaN,76,97,NaN,100,96,NaN,NaN,100,80,NaN,89,84,99,NaN,NaN,-1,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1
403415054,NaN,90,NaN,NaN,NaN,49,78,NaN,NaN,82,NaN,NaN,NaN,72,NaN,69,NaN,NaN,78,76,69,NaN,80,NaN,NaN,NaN,88,NaN,76,NaN,77,NaN,83,NaN,78,NaN,NaN,68,75,NaN,NaN,-1,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415056,NaN,65,NaN,NaN,NaN,80,NaN,70,NaN,74,NaN,NaN,NaN,60,NaN,87,NaN,92,78,60,64,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,90,99,NaN,NaN,78,86,81,NaN,99,-1,100,NaN,NaN,92,NaN,NaN,84,75,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415058,NaN,88,NaN,NaN,73,NaN,84,NaN,NaN,99,NaN,NaN,NaN,89,NaN,83,NaN,93,85,80,NaN,80,90,NaN,92,82,77,NaN,76,92,92,NaN,90,NaN,82,NaN,88,79,72,NaN,-1,92,NaN,95,90,NaN,81,NaN,83,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1
403415060,NaN,93,NaN,NaN,57,NaN,64,NaN,NaN,78,NaN,94,NaN,NaN,NaN,63,NaN,NaN,81,51,NaN,64,NaN,77,81,NaN,41,NaN,65,NaN,70,NaN,74,NaN,75,NaN,73,-1,44,-1,-1,57,-1,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,66,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415062,NaN,63,NaN,NaN,71,NaN,72,NaN,NaN,64,NaN,68,NaN,NaN,NaN,84,93,NaN,85,60,70,NaN,NaN,86,74,60,61,NaN,NaN,65,NaN,62,NaN,82,NaN,90,74,60,50,-1,NaN,NaN,-1,NaN,75,NaN,NaN,79,81,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415064,NaN,92,NaN,NaN,71,NaN,91,NaN,84,93,NaN,NaN,NaN,90,NaN,87,92,NaN,85,80,87,NaN,76,NaN,NaN,72,74,NaN,65,87,NaN,75,NaN,100,94,NaN,78,81,80,NaN,-1,88,NaN,NaN,82,87,NaN,62,NaN,NaN,NaN,88,NaN,NaN,68,NaN,NaN,NaN,87,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415066,NaN,60,NaN,NaN,70,NaN,NaN,72,88,60,NaN,67,NaN,NaN,NaN,76,92,NaN,78,75,75,NaN,NaN,81,NaN,66,74,68,51,72,NaN,64,NaN,74,71,NaN,-1,57,67,NaN,NaN,NaN,55,NaN,75,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,76,76,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
403415068,NaN,63,NaN,NaN,NaN,NaN,65,NaN,NaN,71,NaN,NaN,NaN,69,NaN,44,91,NaN,75,86,92,NaN,NaN,73,72,NaN,82,67,NaN,83,NaN,73,NaN,78,NaN,84,78,69,83,NaN,NaN,42,NaN,NaN,NaN,NaN,75,NaN,69,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1
403415070,NaN,64,NaN,NaN,NaN,66,81,NaN,73,60,NaN,82,NaN,NaN,NaN,61,92,NaN,85,61,70,NaN,NaN,82,NaN,68,72,NaN,63,80,NaN,74,NaN,90,NaN,91,76,70,NaN,60,-1,67,NaN,NaN,NaN,95,92,NaN,95,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
403415072,72,45,NaN,NaN,NaN,NaN,87,NaN,70,62,NaN,63,NaN,NaN,NaN,34,NaN,91,79,81,65,NaN,NaN,93,NaN,61,73,73,NaN,77,NaN,72,NaN,73,NaN,80,-1,44,61,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,65,NaN,60,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415074,65,47,NaN,NaN,31,67,NaN,71,67,63,NaN,58,NaN,69,NaN,NaN,NaN,93,78,46,61,NaN,86,NaN,NaN,NaN,60,NaN,NaN,74,77,NaN,NaN,85,67,NaN,-1,62,74,NaN,-1,NaN,60,NaN,64,NaN,71,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403415078,NaN,65,NaN,NaN,NaN,NaN,73,NaN,87,78,NaN,NaN,NaN,83,NaN,86,NaN,93,76,60,81,NaN,88,NaN,NaN,NaN,75,NaN,73,82,NaN,75,NaN,96,94,NaN,87,71,82,NaN,NaN,63,NaN,NaN,79,86,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,97,NaN,92,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
403415080,NaN,80,NaN,NaN,NaN,63,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,93,60,67,NaN,NaN,87,NaN,60,55,NaN,NaN,77,84,NaN,NaN,92,NaN,93,88,70,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,69,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
403415082,NaN,86,NaN,NaN,63,NaN,NaN,80,87,NaN,76,NaN,90,NaN,NaN,70,NaN,93,83,60,81,NaN,NaN,93,NaN,74,75,64,NaN,72,NaN,71,71,NaN,NaN,96,78,73,67,NaN,NaN,75,NaN,NaN,68,81,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,67,NaN,83,NaN,91,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
403415032,NaN,NaN,NaN,NaN,NaN,55,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415044,77,NaN,NaN,NaN,NaN,66,87,NaN,NaN,NaN,63,NaN,87,NaN,NaN,NaN,NaN,93,84,43,NaN,64,NaN,82,NaN,NaN,46,NaN,20,63,82,NaN,97,NaN,82,NaN,82,-1,NaN,60,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,74,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
403415086,67,NaN,NaN,NaN,NaN,77,NaN,79,NaN,NaN,66,NaN,90,NaN,NaN,73,NaN,NaN,90,NaN,NaN,NaN,NaN,73,93,64,60,NaN,74,75,NaN,68,NaN,72,-1,NaN,77,-1,74,NaN,NaN,-1,NaN,NaN,82,NaN,66,73,NaN,NaN,NaN,57,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
403415085,NaN,NaN,NaN,NaN,NaN,80,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
