id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152014@FPGA數位設計實驗@1@2,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4153204@微處理機@1@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153901@計算機組織@2@1,4153901@計算機組織@2@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4153919@影像處理導論@1@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153017@電磁工程實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153244@工程倫理@2@1,4153251@通訊系統專題（一）@2@1,4153252@電磁積體電路專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153906@數位通訊導論@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4152015@工數（三）︰複變@1@1,4153250@類比積體電路設計導論@1@1,4153255@演算法導論@1@1,4153304@電磁積體電路專題（二）@1@1,4154035@數位訊號處理專題（二）@1@1,4154036@超大型積體電路專題（二）@1@1,4154038@網路技術與應用專題（二）@1@1,4154039@通訊系統專題（二）@1@1,4154040@綠色能源專題（二）@1@1,4154041@能源與電力系統專題(二)@1@1,4152201@資料結構@2@1,4154102@電力與能源設備檢驗實務@2@1
402415002,15,NaN,NaN,NaN,NaN,17,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415003,74,NaN,90,NaN,NaN,66,60,NaN,NaN,70,NaN,56,NaN,82,52,NaN,NaN,67,60,NaN,65,NaN,70,NaN,NaN,NaN,47,73,NaN,NaN,NaN,NaN,61,71,NaN,NaN,49,60,-1,NaN,67,42,-1,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415007,75,NaN,NaN,88,NaN,44,70,NaN,60,NaN,62,NaN,NaN,NaN,45,NaN,NaN,69,68,65,NaN,NaN,83,78,NaN,60,65,75,NaN,NaN,75,NaN,61,79,NaN,73,NaN,-1,67,NaN,-1,69,NaN,NaN,NaN,NaN,76,62,NaN,NaN,70,76,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415008,82,NaN,NaN,NaN,86,NaN,78,NaN,78,NaN,NaN,NaN,77,NaN,92,NaN,90,73,75,70,NaN,NaN,89,87,NaN,75,76,NaN,85,NaN,86,NaN,61,89,NaN,94,NaN,81,77,NaN,73,95,NaN,NaN,NaN,72,NaN,71,NaN,NaN,83,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,-1,NaN,NaN,90,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,-1
402415010,81,NaN,NaN,NaN,NaN,64,62,NaN,NaN,62,NaN,74,NaN,NaN,60,90,NaN,70,66,NaN,71,75,NaN,80,NaN,66,60,NaN,66,NaN,81,73,NaN,95,NaN,NaN,79,82,60,NaN,73,NaN,65,NaN,NaN,68,NaN,84,NaN,NaN,93,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
402415013,80,NaN,NaN,NaN,NaN,66,76,NaN,65,NaN,79,NaN,NaN,NaN,60,62,NaN,77,72,64,NaN,NaN,84,84,NaN,75,70,76,NaN,NaN,90,NaN,72,NaN,73,NaN,77,79,60,76,NaN,74,NaN,75,60,NaN,70,NaN,NaN,NaN,70,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,88,NaN,80,NaN,NaN,NaN,NaN,NaN,80,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415014,68,NaN,NaN,NaN,NaN,60,NaN,83,NaN,63,NaN,84,NaN,NaN,68,NaN,90,75,63,NaN,70,76,NaN,NaN,82,60,84,NaN,60,NaN,73,40,-1,86,NaN,NaN,80,77,48,NaN,60,NaN,74,NaN,NaN,86,NaN,60,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,68,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN
402415017,75,NaN,NaN,88,NaN,70,NaN,78,68,NaN,74,NaN,NaN,NaN,65,NaN,NaN,67,60,60,NaN,NaN,79,NaN,82,69,63,63,NaN,NaN,82,NaN,80,NaN,63,63,NaN,69,60,69,NaN,NaN,70,NaN,NaN,NaN,74,NaN,56,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,78,77,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,82,NaN,74,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402415024,61,NaN,NaN,NaN,NaN,76,75,NaN,NaN,60,NaN,78,NaN,NaN,62,NaN,90,84,60,60,NaN,77,NaN,79,NaN,NaN,66,NaN,64,NaN,68,71,45,NaN,62,NaN,79,75,69,60,NaN,NaN,54,NaN,NaN,NaN,NaN,60,NaN,NaN,94,86,NaN,91,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1
402415025,84,NaN,NaN,88,NaN,79,NaN,85,75,NaN,90,NaN,NaN,NaN,84,NaN,NaN,66,64,92,NaN,86,NaN,88,NaN,80,72,NaN,82,83,84,NaN,80,93,NaN,78,NaN,73,84,NaN,85,95,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,86,NaN,90,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,-1,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
