id,4151004@計算機概論@1@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152009@電工實驗（一）@1@2,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152018@微分方程@1@1,4151008@程式設計@2@1,4151010@程式設計實習@2@3,4151011@線性代數@2@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152010@電工實驗（二）@2@1,4152019@電機工程導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4152014@FPGA數位設計實驗@1@2,4152017@數位系統設計@1@1,4152201@資料結構@1@2,4153206@超大型積體電路設計導論@1@1,4153211@電腦網路導論@1@1,4153219@電力電子導論@1@1,4153918@電磁科技導論@1@1,4152201@資料結構@2@1,4153014@IC設計實驗@2@1,4153213@數位訊號處理導論@2@1,4153244@工程倫理@2@1,4153301@作業系統導論@2@1,4153901@計算機組織@2@1,4153901@計算機組織@2@2,4154028@超大型積體電路專題（一）@2@1
403220030,72,71,82,88,68,84,73,74,62,75,85,82,96,82,83,-1,72,93,73,NaN,71,NaN,83,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1
403220040,89,86,92,95,83,87,70,82,71,NaN,96,84,91,94,89,84,92,93,73,74,80,67,NaN,99,NaN,-1,-1,NaN,-1,-1,NaN,-1
403220012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
