id,1255111@哲學基本問題討論（二）@2@1,1257241@感知理論@2@1,1257267@形上學專題：自由意志與相關議題@2@1,1255112@哲學基本問題討論（三）@1@1,1255403@進階邏輯@1@1,1257334@科學圖像@1@1,1257502@理由論@1@1,1257565@關懷倫理學@1@1,1255113@哲學基本問題討論（四）@2@1,1256532@個別主義與理由@2@1,1257225@心智理論@2@1,1257271@笛卡爾：懷疑論與知態可能性@2@1,1257316@科學史與科學哲學@2@1,1255110@哲學基本問題討論（一）@1@1,1255202@認知科學導論@1@1,1256267@形式知識論@1@1,1256330@科技、倫理與社會@1@1,1256335@科學實在論@1@1,1256505@政治哲學專題：民主@1@1,1255403@進階邏輯@2@1,1256276@心靈態度的規範性@2@1,1256537@德性、理由、規則@2@1,1256542@行動與主體@2@1,1257343@生物哲學專題：天擇單位@2@1
604125001,85,88,90,82,71,NaN,NaN,NaN,83,88,90,NaN,NaN,82,NaN,78,82,NaN,NaN,NaN,NaN,-1,NaN,NaN
604125002,NaN,NaN,NaN,80,45,NaN,50,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604125003,NaN,NaN,NaN,80,71,81,NaN,NaN,84,NaN,NaN,80,86,NaN,71,87,NaN,NaN,85,NaN,-1,NaN,-1,NaN
604125007,NaN,NaN,NaN,80,NaN,NaN,70,80,82,NaN,60,75,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604125008,-1,NaN,NaN,84,NaN,NaN,NaN,NaN,84,89,NaN,88,84,88,80,NaN,NaN,90,80,-1,NaN,NaN,NaN,-1
604125009,-1,NaN,NaN,82,NaN,NaN,87,NaN,84,89,88,NaN,88,88,NaN,90,NaN,NaN,86,-1,NaN,-1,NaN,NaN
