id,1255111@哲學基本問題討論（二）@2@1,1257134@布倫塔諾@2@1,1257537@規範倫理學@2@1,1257552@倫理學專題：自主性、身份認同與自我@2@1,1255112@哲學基本問題討論（三）@1@1,1255403@進階邏輯@1@1,1256404@模態邏輯@1@1,1256531@道德個別主義與相關議題@1@1,1257535@道德哲學專題：價值論@1@1,1255113@哲學基本問題討論（四）@2@1,1256228@宗教哲學@2@1,1257346@生物學哲學專題：物種問題@2@1,1257556@倫理學專題：社會事實與結構@2@1,1255110@哲學基本問題討論（一）@1@1,1255202@認知科學導論@1@1,1257415@邏輯專題：後設數學(一)@1@1,1257504@政治哲學專題：平等@1@1,1257570@女性主義專題@1@1,1257416@邏輯專題：後設數學(二)@2@1,1257562@道德心理學專題：道德與情感@2@1
602125003,82,60,60,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602125005,81,NaN,NaN,NaN,90,85,84,71,NaN,88,90,75,85,NaN,NaN,94,NaN,NaN,94,85
602125008,85,NaN,NaN,NaN,92,85,NaN,NaN,86,86,NaN,86,84,86,88,NaN,85,89,NaN,NaN
602125004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN
